data,ticker_1,ticker_2,janela,correlacao
2015-01-02,^BVSP,^GSPC,6m,
2015-01-05,^BVSP,^GSPC,6m,
2015-01-06,^BVSP,^GSPC,6m,
2015-01-07,^BVSP,^GSPC,6m,
2015-01-08,^BVSP,^GSPC,6m,
2015-01-09,^BVSP,^GSPC,6m,
2015-01-12,^BVSP,^GSPC,6m,
2015-01-13,^BVSP,^GSPC,6m,
2015-01-14,^BVSP,^GSPC,6m,
2015-01-15,^BVSP,^GSPC,6m,
2015-01-16,^BVSP,^GSPC,6m,
2015-01-19,^BVSP,^GSPC,6m,
2015-01-20,^BVSP,^GSPC,6m,
2015-01-21,^BVSP,^GSPC,6m,
2015-01-22,^BVSP,^GSPC,6m,
2015-01-23,^BVSP,^GSPC,6m,
2015-01-26,^BVSP,^GSPC,6m,
2015-01-27,^BVSP,^GSPC,6m,
2015-01-28,^BVSP,^GSPC,6m,
2015-01-29,^BVSP,^GSPC,6m,
2015-01-30,^BVSP,^GSPC,6m,
2015-02-02,^BVSP,^GSPC,6m,
2015-02-03,^BVSP,^GSPC,6m,
2015-02-04,^BVSP,^GSPC,6m,
2015-02-05,^BVSP,^GSPC,6m,
2015-02-06,^BVSP,^GSPC,6m,
2015-02-09,^BVSP,^GSPC,6m,
2015-02-10,^BVSP,^GSPC,6m,
2015-02-11,^BVSP,^GSPC,6m,
2015-02-12,^BVSP,^GSPC,6m,
2015-02-13,^BVSP,^GSPC,6m,
2015-02-16,^BVSP,^GSPC,6m,
2015-02-17,^BVSP,^GSPC,6m,
2015-02-18,^BVSP,^GSPC,6m,
2015-02-19,^BVSP,^GSPC,6m,
2015-02-20,^BVSP,^GSPC,6m,
2015-02-23,^BVSP,^GSPC,6m,
2015-02-24,^BVSP,^GSPC,6m,
2015-02-25,^BVSP,^GSPC,6m,
2015-02-26,^BVSP,^GSPC,6m,
2015-02-27,^BVSP,^GSPC,6m,
2015-03-02,^BVSP,^GSPC,6m,
2015-03-03,^BVSP,^GSPC,6m,
2015-03-04,^BVSP,^GSPC,6m,
2015-03-05,^BVSP,^GSPC,6m,
2015-03-06,^BVSP,^GSPC,6m,
2015-03-09,^BVSP,^GSPC,6m,
2015-03-10,^BVSP,^GSPC,6m,
2015-03-11,^BVSP,^GSPC,6m,
2015-03-12,^BVSP,^GSPC,6m,
2015-03-13,^BVSP,^GSPC,6m,
2015-03-16,^BVSP,^GSPC,6m,
2015-03-17,^BVSP,^GSPC,6m,
2015-03-18,^BVSP,^GSPC,6m,
2015-03-19,^BVSP,^GSPC,6m,
2015-03-20,^BVSP,^GSPC,6m,
2015-03-23,^BVSP,^GSPC,6m,
2015-03-24,^BVSP,^GSPC,6m,
2015-03-25,^BVSP,^GSPC,6m,
