ticker,retorno_medio_crise_5,retorno_mediano_crise_5,pct_positivo_crise_5,retorno_medio_crise_10,retorno_mediano_crise_10,pct_positivo_crise_10,nome_ativo,classe,regiao,tipo_ativo
^AXJO,-0.012154197375238505,-0.010639756674702183,0.22972972972972974,-0.008420677936803745,-0.00723831086383564,0.28135593220338984,ASX 200,Equity Index,Oceania,indice
GC=F,-0.012228467196761513,-0.014359999922580358,0.17567567567567569,-0.009996962185379465,-0.010852533890075455,0.22372881355932203,Ouro Spot/Front,Commodity,Global,commodity
^KS11,-0.012350301969297891,-0.01111700595349796,0.19594594594594594,-0.008890956271441623,-0.008616405325912901,0.24067796610169492,Kospi,Equity Index,Asia,indice
BRL=X,-0.012511489878447628,-0.010584701934879148,0.12162162162162163,-0.01111484152403102,-0.010548812177602396,0.13559322033898305,USDBRL,FX,Brasil,cambio
^HSI,-0.012820086966843863,-0.01260250608627983,0.1891891891891892,-0.009857012978071227,-0.00815475143340616,0.21694915254237288,Hang Seng,Equity Index,Asia,indice
GLD,-0.013015993447712537,-0.014013435185121381,0.16891891891891891,-0.010676469433274379,-0.011648839889813578,0.20677966101694914,SPDR Gold Shares,ETF,Global,etf
^NZ50,-0.013297247343406166,-0.011634493006520974,0.12162162162162163,-0.009648612146361013,-0.009072636619035013,0.18983050847457628,NZX 50,Equity Index,Oceania,indice
^TWII,-0.013491092177160113,-0.01069133872415301,0.14864864864864866,-0.010501559013529883,-0.008693124239306793,0.18305084745762712,Taiwan Weighted,Equity Index,Asia,indice
^BVSP,-0.013790120135867157,-0.00894420839808785,0.18243243243243243,-0.008954850001823526,-0.006936677399310809,0.2576271186440678,Ibovespa,Equity Index,Brasil,indice
BOVA11.SA,-0.013794980634879779,-0.008950925825313927,0.1891891891891892,-0.009021361227118756,-0.006584635301926878,0.2440677966101695,iShares Ibovespa ETF,ETF,Brasil,etf
000001.SS,-0.013810207781448288,-0.01306630451994878,0.18243243243243243,-0.010975764642588476,-0.00962422892377035,0.20677966101694914,Shanghai Composite,Equity Index,Asia,indice
^N225,-0.013856992021972752,-0.01300591573046428,0.12837837837837837,-0.01083064810846798,-0.01024517752546461,0.1864406779661017,Nikkei 225,Equity Index,Asia,indice
SMAL11.SA,-0.013865722485625625,-0.007462967372724616,0.21621621621621623,-0.009109143791598526,-0.006283169798541155,0.29152542372881357,iShares Small Caps ETF,ETF,Brasil,etf
^NSEI,-0.015328955290981822,-0.012931523335481476,0.16216216216216217,-0.012088037297710104,-0.011751466055671678,0.18305084745762712,Nifty 50,Equity Index,Asia,indice
^MXX,-0.018186819377653637,-0.017644526792871262,0.08783783783783784,-0.01314318818707948,-0.012726764265537871,0.16271186440677965,Mexico IPC,Equity Index,America Latina,indice
^FTSE,-0.01985560909810692,-0.017696939699979652,0.033783783783783786,-0.014677132940964874,-0.012965014520292972,0.1152542372881356,FTSE 100,Equity Index,Europa,indice
^GDAXI,-0.02085624705856833,-0.01865820892079395,0.08108108108108109,-0.015766886096132835,-0.01456079009401301,0.14915254237288136,DAX,Equity Index,Europa,indice
^STOXX50E,-0.020954474649401776,-0.0201125390069124,0.07432432432432433,-0.01606571000833098,-0.014948809988112988,0.13559322033898305,Euro Stoxx 50,Equity Index,Europa,indice
EWH,-0.024717106686517474,-0.023789601748489486,0.033783783783783786,-0.020134126081148014,-0.02003619469466511,0.04745762711864407,iShares MSCI Hong Kong ETF,ETF,Asia,etf
BZ=F,-0.025139168087726302,-0.02310528103702819,0.1554054054054054,-0.018069819129692553,-0.016790842502019676,0.23389830508474577,Brent Crude Oil,Commodity,Global,commodity
EWJ,-0.027095574267466206,-0.02533852430462774,0.006756756756756757,-0.021817805137013674,-0.020427652588475564,0.01694915254237288,iShares MSCI Japan ETF,ETF,Asia,etf
USO,-0.02777354799163095,-0.02668210818484601,0.14189189189189189,-0.02002172758779865,-0.018813945393728715,0.2135593220338983,United States Oil Fund,ETF,Global,etf
ENZL,-0.02819637840387039,-0.0269820288678842,0.02702702702702703,-0.021192300488921983,-0.020847184291118204,0.06779661016949153,iShares MSCI New Zealand ETF,ETF,Oceania,etf
ECH,-0.028373535365650394,-0.02694408696659434,0.08108108108108109,-0.02175479982276742,-0.02007717627869643,0.0847457627118644,iShares MSCI Chile ETF,ETF,America Latina,etf
MCHI,-0.028886735585808617,-0.028719194168290052,0.060810810810810814,-0.02401534968650272,-0.023752591495607933,0.06779661016949153,iShares MSCI China ETF,ETF,Asia,etf
INDA,-0.02901427210216516,-0.02460574672441851,0.013513513513513514,-0.022984015606086462,-0.01986523802360285,0.030508474576271188,iShares MSCI India ETF,ETF,Asia,etf
EWT,-0.029045243413911334,-0.026596846650426886,0.013513513513513514,-0.024093033450213696,-0.022367128946257586,0.02711864406779661,iShares MSCI Taiwan ETF,ETF,Asia,etf
VEA,-0.029579606447089554,-0.02660465019251007,0.0,-0.023106124459334992,-0.021152177931730298,0.003389830508474576,Vanguard FTSE Developed Markets ETF,ETF,Global,etf
IEMG,-0.029907026322884923,-0.02830032068122007,0.006756756756756757,-0.024113490428686386,-0.022079847453044588,0.010169491525423728,iShares Core MSCI Emerging Markets ETF,ETF,Emergentes,etf
EWU,-0.030494817503898087,-0.027325598842048826,0.0,-0.022951638080496477,-0.020198505001746914,0.013559322033898305,iShares MSCI United Kingdom ETF,ETF,Europa,etf
EWG,-0.03103738528474936,-0.027610550804660072,0.013513513513513514,-0.024189661866523795,-0.021581484377401705,0.020338983050847456,iShares MSCI Germany ETF,ETF,Europa,etf
ACWI,-0.031161952384975995,-0.02724541175036016,0.0,-0.02481892072480481,-0.02157612478534643,0.0,iShares MSCI ACWI ETF,ETF,Global,etf
VT,-0.031309870472252505,-0.027990443070456894,0.0,-0.024880075664100703,-0.02166920205899514,0.0,Vanguard Total World Stock ETF,ETF,Global,etf
EWY,-0.03133173105184364,-0.029464886640234556,0.02027027027027027,-0.025197954498426822,-0.02298143219888371,0.030508474576271188,iShares MSCI South Korea ETF,ETF,Asia,etf
FEZ,-0.031529158890261075,-0.02871650380258106,0.013513513513513514,-0.024619541882013762,-0.021846361385150725,0.020338983050847456,SPDR EURO STOXX 50 ETF,ETF,Europa,etf
SPY,-0.03217543146525654,-0.0275836326743385,0.0,-0.02570944496193811,-0.02199765267015308,0.0,SPDR S&P 500 ETF,ETF,America do Norte,etf
EWW,-0.03230750699065324,-0.02833028882542843,0.02027027027027027,-0.023823513094574988,-0.021260926767232013,0.06779661016949153,iShares MSCI Mexico ETF,ETF,America Latina,etf
^GSPC,-0.03236146742405281,-0.027767812607387476,0.0,-0.02584504795007333,-0.022081697304828896,0.0,S&P 500,Equity Index,America do Norte,indice
EWA,-0.03347792269298137,-0.030102680551280125,0.006756756756756757,-0.025293768930787247,-0.022549260403266547,0.02711864406779661,iShares MSCI Australia ETF,ETF,Oceania,etf
ARGT,-0.034435153185298446,-0.03133875183914703,0.02702702702702703,-0.026108645851480303,-0.023572438421932573,0.061016949152542375,Global X MSCI Argentina ETF,ETF,America Latina,etf
QQQ,-0.03517840958812097,-0.032547697459210545,0.0,-0.028898579521001024,-0.026219164488766933,0.0,Invesco QQQ Trust,ETF,America do Norte,etf
^NDX,-0.035395995360965396,-0.03273824706053974,0.0,-0.029101253951669757,-0.026436361778343964,0.0,Nasdaq 100,Equity Index,America do Norte,indice
EZA,-0.03563958649601871,-0.0322935104973508,0.013513513513513514,-0.027976527187820815,-0.025585657396770656,0.04067796610169491,iShares MSCI South Africa ETF,ETF,Africa,etf
XLE,-0.035689030648844336,-0.03186546332183804,0.0472972972972973,-0.024663534357937927,-0.02336371764827716,0.1016949152542373,Energy Select Sector SPDR Fund,ETF,America do Norte,etf
BTC-USD,-0.03808848304132336,-0.028964175466349273,0.17567567567567569,-0.025511683599420694,-0.022819562156819462,0.25084745762711863,Bitcoin USD,Crypto,Global,cripto
