carteira,tipo,carteira_tipo,ativo,peso_%
etfs_america_norte,hrp,etfs_america_norte__hrp,SPY,39.6197
etfs_america_norte,hrp,etfs_america_norte__hrp,XLE,32.1752
etfs_america_norte,hrp,etfs_america_norte__hrp,QQQ,28.2051
etfs_asia,hrp,etfs_asia__hrp,EWJ,29.3521
etfs_asia,hrp,etfs_asia__hrp,EWH,22.684
etfs_asia,hrp,etfs_asia__hrp,INDA,15.8484
etfs_asia,hrp,etfs_asia__hrp,EWT,12.7171
etfs_asia,hrp,etfs_asia__hrp,MCHI,10.9276
etfs_asia,hrp,etfs_asia__hrp,EWY,8.4709
etfs_brasil,hrp,etfs_brasil__hrp,BOVA11.SA,50.0
etfs_brasil,hrp,etfs_brasil__hrp,SMAL11.SA,50.0
etfs_com_btc,hrp,etfs_com_btc__hrp,EWW,7.2508
etfs_com_btc,hrp,etfs_com_btc__hrp,EWH,6.7723
etfs_com_btc,hrp,etfs_com_btc__hrp,BOVA11.SA,6.2183
etfs_com_btc,hrp,etfs_com_btc__hrp,ECH,6.1837
etfs_com_btc,hrp,etfs_com_btc__hrp,INDA,4.8006
etfs_com_btc,hrp,etfs_com_btc__hrp,SMAL11.SA,4.7607
etfs_com_btc,hrp,etfs_com_btc__hrp,ARGT,4.7494
etfs_com_btc,hrp,etfs_com_btc__hrp,EWG,4.6131
etfs_com_btc,hrp,etfs_com_btc__hrp,ENZL,4.5416
etfs_com_btc,hrp,etfs_com_btc__hrp,EZA,4.441
etfs_com_btc,hrp,etfs_com_btc__hrp,XLE,3.9255
etfs_com_btc,hrp,etfs_com_btc__hrp,QQQ,3.8041
etfs_com_btc,hrp,etfs_com_btc__hrp,IEMG,3.5796
etfs_com_btc,hrp,etfs_com_btc__hrp,EWU,3.4945
etfs_com_btc,hrp,etfs_com_btc__hrp,VEA,3.4333
etfs_com_btc,hrp,etfs_com_btc__hrp,EWJ,3.357
etfs_com_btc,hrp,etfs_com_btc__hrp,EWY,3.1421
etfs_com_btc,hrp,etfs_com_btc__hrp,ACWI,3.084
etfs_com_btc,hrp,etfs_com_btc__hrp,MCHI,3.0361
etfs_com_btc,hrp,etfs_com_btc__hrp,VT,3.0224
etfs_com_btc,hrp,etfs_com_btc__hrp,EWA,2.9919
etfs_com_btc,hrp,etfs_com_btc__hrp,SPY,2.8372
etfs_com_btc,hrp,etfs_com_btc__hrp,FEZ,2.6444
etfs_com_btc,hrp,etfs_com_btc__hrp,EWT,2.2231
etfs_com_btc,hrp,etfs_com_btc__hrp,BTC-USD,1.0929
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,ECH,8.3955
