carteira,tipo,carteira_tipo,soma_pesos_%,desvio_vs_100
etfs_america_norte,hrp,etfs_america_norte__hrp,100.0,0.0
etfs_asia,hrp,etfs_asia__hrp,100.0,0.0
etfs_brasil,hrp,etfs_brasil__hrp,100.0,0.0
etfs_com_btc,hrp,etfs_com_btc__hrp,100.0,0.0
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,100.0,0.0
etfs_com_ouro,hrp,etfs_com_ouro__hrp,100.0,0.0
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,100.0,0.0
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,100.0,0.0
etfs_com_petroleo,hrp,etfs_com_petroleo__hrp,100.0,0.0
etfs_com_tudo,hrp,etfs_com_tudo__hrp,100.0,0.0
etfs_desenvolvidos_emergentes,hrp,etfs_desenvolvidos_emergentes__hrp,100.0,0.0
etfs_europa,hrp,etfs_europa__hrp,100.0,0.0
etfs_exterior,hrp,etfs_exterior__hrp,100.0,0.0
etfs_global,hrp,etfs_global__hrp,100.0,0.0
etfs_latam,hrp,etfs_latam__hrp,100.0,0.0
etfs_oceania,hrp,etfs_oceania__hrp,100.0,0.0
etfs_todos,hrp,etfs_todos__hrp,100.0,0.0
