carteira,tipo,coluna_retorno,n_ativos_universo,n_ativos_validos,n_ativos_com_peso,periodo_inicio,periodo_fim,n_meses,ativos_universo,ativos_validos
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,3,3,2,2015-02-28,2026-04-30,135,QQQ | SPY | XLE,QQQ | SPY | XLE
etfs_america_norte,min_vol,etfs_america_norte__min_vol,3,3,2,2015-02-28,2026-04-30,135,QQQ | SPY | XLE,QQQ | SPY | XLE
etfs_asia,max_sharpe,etfs_asia__max_sharpe,6,6,2,2015-02-28,2026-04-30,135,EWH | EWJ | EWT | EWY | INDA | MCHI,EWH | EWJ | EWT | EWY | INDA | MCHI
etfs_asia,min_vol,etfs_asia__min_vol,6,6,4,2015-02-28,2026-04-30,135,EWH | EWJ | EWT | EWY | INDA | MCHI,EWH | EWJ | EWT | EWY | INDA | MCHI
etfs_brasil,max_sharpe,etfs_brasil__max_sharpe,2,2,1,2015-02-28,2026-04-30,135,BOVA11.SA | SMAL11.SA,BOVA11.SA | SMAL11.SA
etfs_brasil,min_vol,etfs_brasil__min_vol,2,2,1,2015-02-28,2026-04-30,135,BOVA11.SA | SMAL11.SA,BOVA11.SA | SMAL11.SA
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,25,25,6,2015-02-28,2026-04-30,135,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | BTC-USD,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | BTC-USD
etfs_com_btc,min_vol,etfs_com_btc__min_vol,25,25,6,2015-02-28,2026-04-30,135,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | BTC-USD,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | BTC-USD
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,26,26,7,2015-02-28,2026-04-30,135,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | BTC-USD | USO,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | BTC-USD | USO
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,26,26,7,2015-02-28,2026-04-30,135,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | BTC-USD | USO,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | BTC-USD | USO
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,25,25,5,2015-02-28,2026-04-30,135,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD
etfs_com_ouro,min_vol,etfs_com_ouro__min_vol,25,25,8,2015-02-28,2026-04-30,135,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD
etfs_com_ouro_btc,max_sharpe,etfs_com_ouro_btc__max_sharpe,26,26,6,2015-02-28,2026-04-30,135,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | BTC-USD,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | BTC-USD
etfs_com_ouro_btc,min_vol,etfs_com_ouro_btc__min_vol,26,26,8,2015-02-28,2026-04-30,135,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | BTC-USD,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | BTC-USD
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,26,26,5,2015-02-28,2026-04-30,135,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | USO,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | USO
