data,carteira,base100
2015-02-28,etfs_com_tudo__max_sharpe,116.10347411576554
2015-03-31,etfs_com_tudo__max_sharpe,124.46961708882618
2015-04-30,etfs_com_tudo__max_sharpe,120.49610259860451
2015-05-31,etfs_com_tudo__max_sharpe,125.27621121271588
2015-06-30,etfs_com_tudo__max_sharpe,123.03328082518298
2015-07-31,etfs_com_tudo__max_sharpe,128.18544328537797
2015-08-31,etfs_com_tudo__max_sharpe,125.04788983936159
2015-09-30,etfs_com_tudo__max_sharpe,134.71931891079038
2015-10-31,etfs_com_tudo__max_sharpe,141.12377668410082
2015-11-30,etfs_com_tudo__max_sharpe,140.3568107170359
2015-12-31,etfs_com_tudo__max_sharpe,141.65439646156642
2016-01-31,etfs_com_tudo__max_sharpe,136.2523990635642
2016-02-29,etfs_com_tudo__max_sharpe,137.81573296604785
2016-03-31,etfs_com_tudo__max_sharpe,137.17403964578597
2016-04-30,etfs_com_tudo__max_sharpe,138.21720447579756
2016-05-31,etfs_com_tudo__max_sharpe,141.13969716688817
2016-06-30,etfs_com_tudo__max_sharpe,137.78991024702182
2016-07-31,etfs_com_tudo__max_sharpe,144.913861311494
2016-08-31,etfs_com_tudo__max_sharpe,142.36780966088043
2016-09-30,etfs_com_tudo__max_sharpe,146.56015404212175
2016-10-31,etfs_com_tudo__max_sharpe,147.4248824985215
2016-11-30,etfs_com_tudo__max_sharpe,153.59987956496158
2016-12-31,etfs_com_tudo__max_sharpe,150.52223775422925
2017-01-31,etfs_com_tudo__max_sharpe,153.16496708966324
2017-02-28,etfs_com_tudo__max_sharpe,159.49434760042084
2017-03-31,etfs_com_tudo__max_sharpe,161.47977933040244
2017-04-30,etfs_com_tudo__max_sharpe,169.2534036152902
2017-05-31,etfs_com_tudo__max_sharpe,186.2576733896536
2017-06-30,etfs_com_tudo__max_sharpe,189.683996759024
2017-07-31,etfs_com_tudo__max_sharpe,193.83082646532617
2017-08-31,etfs_com_tudo__max_sharpe,209.17536600271268
2017-09-30,etfs_com_tudo__max_sharpe,211.37647019970865
2017-10-31,etfs_com_tudo__max_sharpe,231.38189400029609
2017-11-30,etfs_com_tudo__max_sharpe,242.19697192653175
2017-12-31,etfs_com_tudo__max_sharpe,264.08110806584943
2018-01-31,etfs_com_tudo__max_sharpe,263.2212550430163
2018-02-28,etfs_com_tudo__max_sharpe,260.2618375603901
2018-03-31,etfs_com_tudo__max_sharpe,255.8592660995354
2018-04-30,etfs_com_tudo__max_sharpe,274.4959940314704
2018-05-31,etfs_com_tudo__max_sharpe,278.4054644901361
2018-06-30,etfs_com_tudo__max_sharpe,277.93178558334375
2018-07-31,etfs_com_tudo__max_sharpe,283.8140505927072
2018-08-31,etfs_com_tudo__max_sharpe,302.5789492850442
2018-09-30,etfs_com_tudo__max_sharpe,293.7614605264046
2018-10-31,etfs_com_tudo__max_sharpe,264.19089781754343
2018-11-30,etfs_com_tudo__max_sharpe,265.62698646520136
2018-12-31,etfs_com_tudo__max_sharpe,257.0045588921379
2019-01-31,etfs_com_tudo__max_sharpe,264.4257811563083
2019-02-28,etfs_com_tudo__max_sharpe,272.07822786343263
2019-03-31,etfs_com_tudo__max_sharpe,286.2666805921861
2019-04-30,etfs_com_tudo__max_sharpe,303.75426109708917
2019-05-31,etfs_com_tudo__max_sharpe,313.0238647787262
2019-06-30,etfs_com_tudo__max_sharpe,328.6121980214918
2019-07-31,etfs_com_tudo__max_sharpe,324.2930685404427
2019-08-31,etfs_com_tudo__max_sharpe,341.8967042950876
