ativo,etfs_america_norte__max_sharpe,etfs_america_norte__min_vol,etfs_asia__max_sharpe,etfs_asia__min_vol,etfs_brasil__max_sharpe,etfs_brasil__min_vol,etfs_com_btc__max_sharpe,etfs_com_btc__min_vol,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__min_vol,etfs_com_ouro__max_sharpe,etfs_com_ouro__min_vol,etfs_com_ouro_btc__max_sharpe,etfs_com_ouro_btc__min_vol,etfs_com_ouro_petroleo__max_sharpe,etfs_com_ouro_petroleo__min_vol,etfs_com_petroleo__max_sharpe,etfs_com_petroleo__min_vol,etfs_com_tudo__max_sharpe,etfs_com_tudo__min_vol,etfs_desenvolvidos_emergentes__max_sharpe,etfs_desenvolvidos_emergentes__min_vol,etfs_europa__max_sharpe,etfs_europa__min_vol,etfs_exterior__max_sharpe,etfs_exterior__min_vol,etfs_global__max_sharpe,etfs_global__min_vol,etfs_latam__max_sharpe,etfs_latam__min_vol,etfs_oceania__max_sharpe,etfs_oceania__min_vol,etfs_todos__max_sharpe,etfs_todos__min_vol
ACWI,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.8949,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.3643,2.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,5.0235,33.3333,33.3333,0.0,0.0,0.0,0.0,6.0,7.2844
ARGT,0.0,0.0,0.0,0.0,0.0,0.0,7.2552,2.0,6.0877,2.0,9.4028,2.0,5.2265,2.0,8.4383,2.0,10.0,2.0,3.455,2.0,0.0,0.0,0.0,0.0,10.0,5.8221,0.0,0.0,33.3333,33.3333,0.0,0.0,10.0,2.0
BOVA11.SA,0.0,0.0,0.0,0.0,50.0,50.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
BTC-USD,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,10.0,2.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECH,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0093,2.0,3.4201,2.0,2.2238,2.0,2.0,2.0,2.8786,2.0,3.8794,2.0,2.4894,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,33.3333,33.3333,0.0,0.0,2.0,2.5668
ENZL,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,50.0,50.0,2.0,2.0
EWA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,50.0,50.0,2.0,2.0
EWG,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,33.3333,33.3333,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
EWH,0.0,0.0,16.6667,16.6667,0.0,0.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,9.6955,2.0,9.7489,2.0,10.0,2.0,10.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0
EWJ,0.0,0.0,16.6667,16.6667,0.0,0.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0
EWT,0.0,0.0,16.6667,16.6667,0.0,0.0,10.0,2.0,10.0,2.0,8.247,2.0,8.2256,2.0,8.3041,2.0,10.0,2.0,5.9058,2.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0
EWU,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,4.5091,2.0,10.0,2.0,2.3906,0.0,0.0,33.3333,33.3333,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0
EWW,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.4716,2.0,2.0,2.0,3.1092,2.0,2.0545,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.5161,10.0,0.0,0.0,33.3333,33.3333,0.0,0.0,2.0,4.1361
