carteira,tipo,carteira_tipo,peso_min_observado,peso_max_observado,n_ativos_total,peso_min_base,peso_max_base,peso_min_efetivo,peso_max_efetivo,ajuste_limites,respeita_min,respeita_max
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,0.3333333333333333,0.3333333333333333,3,0.02,0.1,0.02,0.3333333333333333,ajuste_max_para_viabilidade,True,True
etfs_america_norte,min_vol,etfs_america_norte__min_vol,0.3333333333333333,0.3333333333333333,3,0.02,0.1,0.02,0.3333333333333333,ajuste_max_para_viabilidade,True,True
etfs_asia,max_sharpe,etfs_asia__max_sharpe,0.16666666666666669,0.16666666666666669,6,0.02,0.1,0.02,0.16666666666666666,ajuste_max_para_viabilidade,True,True
etfs_asia,min_vol,etfs_asia__min_vol,0.16666666666666669,0.16666666666666669,6,0.02,0.1,0.02,0.16666666666666666,ajuste_max_para_viabilidade,True,True
etfs_brasil,max_sharpe,etfs_brasil__max_sharpe,0.5,0.5,2,0.02,0.1,0.02,0.5,ajuste_max_para_viabilidade,True,True
etfs_brasil,min_vol,etfs_brasil__min_vol,0.5,0.5,2,0.02,0.1,0.02,0.5,ajuste_max_para_viabilidade,True,True
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,0.019999999999999983,0.09999999999999992,25,0.02,0.1,0.02,0.1,nenhum,True,True
etfs_com_btc,min_vol,etfs_com_btc__min_vol,0.02,0.1,25,0.02,0.1,0.02,0.1,nenhum,True,True
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,0.01999999999999997,0.09999999999999985,26,0.02,0.1,0.02,0.1,nenhum,True,True
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,0.01999999999999999,0.09999999999999996,26,0.02,0.1,0.02,0.1,nenhum,True,True
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,0.019999999999999837,0.09999999999999919,25,0.02,0.1,0.02,0.1,nenhum,True,True
etfs_com_ouro,min_vol,etfs_com_ouro__min_vol,0.02,0.1,25,0.02,0.1,0.02,0.1,nenhum,True,True
etfs_com_ouro_btc,max_sharpe,etfs_com_ouro_btc__max_sharpe,0.01999999999999999,0.09999999999999996,26,0.02,0.1,0.02,0.1,nenhum,True,True
etfs_com_ouro_btc,min_vol,etfs_com_ouro_btc__min_vol,0.019999999999999997,0.09999999999999998,26,0.02,0.1,0.02,0.1,nenhum,True,True
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,0.01999999999999988,0.09999999999999941,26,0.02,0.1,0.02,0.1,nenhum,True,True
etfs_com_ouro_petroleo,min_vol,etfs_com_ouro_petroleo__min_vol,0.02,0.1,26,0.02,0.1,0.02,0.1,nenhum,True,True
etfs_com_petroleo,max_sharpe,etfs_com_petroleo__max_sharpe,0.019999999999999987,0.09999999999999994,25,0.02,0.1,0.02,0.1,nenhum,True,True
etfs_com_petroleo,min_vol,etfs_com_petroleo__min_vol,0.019999999999999983,0.09999999999999992,25,0.02,0.1,0.02,0.1,nenhum,True,True
etfs_com_tudo,max_sharpe,etfs_com_tudo__max_sharpe,0.01999999999999997,0.09999999999999985,27,0.02,0.1,0.02,0.1,nenhum,True,True
etfs_com_tudo,min_vol,etfs_com_tudo__min_vol,0.019999999999999997,0.09999999999999998,27,0.02,0.1,0.02,0.1,nenhum,True,True
etfs_desenvolvidos_emergentes,max_sharpe,etfs_desenvolvidos_emergentes__max_sharpe,0.5,0.5,2,0.02,0.1,0.02,0.5,ajuste_max_para_viabilidade,True,True
etfs_desenvolvidos_emergentes,min_vol,etfs_desenvolvidos_emergentes__min_vol,0.5,0.5,2,0.02,0.1,0.02,0.5,ajuste_max_para_viabilidade,True,True
etfs_europa,max_sharpe,etfs_europa__max_sharpe,0.3333333333333333,0.3333333333333333,3,0.02,0.1,0.02,0.3333333333333333,ajuste_max_para_viabilidade,True,True
etfs_europa,min_vol,etfs_europa__min_vol,0.3333333333333333,0.3333333333333333,3,0.02,0.1,0.02,0.3333333333333333,ajuste_max_para_viabilidade,True,True
etfs_exterior,max_sharpe,etfs_exterior__max_sharpe,0.01999999999999999,0.09999999999999996,22,0.02,0.1,0.02,0.1,nenhum,True,True
