carteira,tipo,carteira_tipo,soma_pesos_%,desvio_vs_100
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,100.0,0.0
etfs_america_norte,min_vol,etfs_america_norte__min_vol,100.0,0.0
etfs_asia,max_sharpe,etfs_asia__max_sharpe,100.0,0.0
etfs_asia,min_vol,etfs_asia__min_vol,100.0,0.0
etfs_brasil,max_sharpe,etfs_brasil__max_sharpe,100.0,0.0
etfs_brasil,min_vol,etfs_brasil__min_vol,100.0,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,100.0,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,100.0,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,100.0,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,100.0,0.0
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,100.0,0.0
etfs_com_ouro,min_vol,etfs_com_ouro__min_vol,100.0,0.0
etfs_com_ouro_btc,max_sharpe,etfs_com_ouro_btc__max_sharpe,100.0,0.0
etfs_com_ouro_btc,min_vol,etfs_com_ouro_btc__min_vol,100.0,0.0
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,100.0,0.0
etfs_com_ouro_petroleo,min_vol,etfs_com_ouro_petroleo__min_vol,100.0,0.0
etfs_com_petroleo,max_sharpe,etfs_com_petroleo__max_sharpe,100.0,0.0
etfs_com_petroleo,min_vol,etfs_com_petroleo__min_vol,100.0,0.0
etfs_com_tudo,max_sharpe,etfs_com_tudo__max_sharpe,100.0,0.0
etfs_com_tudo,min_vol,etfs_com_tudo__min_vol,100.0,0.0
etfs_desenvolvidos_emergentes,max_sharpe,etfs_desenvolvidos_emergentes__max_sharpe,100.0,0.0
etfs_desenvolvidos_emergentes,min_vol,etfs_desenvolvidos_emergentes__min_vol,100.0,0.0
etfs_europa,max_sharpe,etfs_europa__max_sharpe,100.0,0.0
etfs_europa,min_vol,etfs_europa__min_vol,100.0,0.0
etfs_exterior,max_sharpe,etfs_exterior__max_sharpe,100.0,0.0
etfs_exterior,min_vol,etfs_exterior__min_vol,100.0,0.0
etfs_global,max_sharpe,etfs_global__max_sharpe,100.0,0.0
etfs_global,min_vol,etfs_global__min_vol,100.0,0.0
etfs_latam,max_sharpe,etfs_latam__max_sharpe,100.0,0.0
etfs_latam,min_vol,etfs_latam__min_vol,100.0,0.0
etfs_oceania,max_sharpe,etfs_oceania__max_sharpe,100.0,0.0
etfs_oceania,min_vol,etfs_oceania__min_vol,100.0,0.0
etfs_todos,max_sharpe,etfs_todos__max_sharpe,100.0,0.0
etfs_todos,min_vol,etfs_todos__min_vol,100.0,0.0
