carteira,metodo,tipo,estrategia,cenario_alternativos,detalhe_alternativos,grupo_familia,retorno_total,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,peso_max,top3_peso,hhi,n_efetivo_ativos,n_clusters_finais,rank_sharpe,rank_cagr,rank_mdd,rank_calmar,rank_vol,score_final
etfs_america_norte,markowitz_puro,min_vol,etfs_america_norte__min_vol,sem_alternativos,nenhum,regional,5.609314760226697,0.18425941180352923,0.17770162824033123,1.1205980313021124,2.1727968190959417,-0.20196273323549407,0.9123436232598303,0.5777777777777777,0.870156110606876,1.0,0.7740310924392197,1.2919377655084627,,48.0,19.0,27.0,17.0,79.0,190.0
etfs_asia,markowitz_puro,min_vol,etfs_asia__min_vol,sem_alternativos,nenhum,regional,2.734580477691539,0.12524096979493415,0.16395909612974938,0.8850544162334677,1.3469894054807483,-0.2989098759054295,0.4189924117280035,0.6444444444444445,0.4788625944420695,0.9111525108197209,0.334909536478845,2.985880935233286,,82.0,85.0,78.0,78.0,66.0,389.0
etfs_brasil,markowitz_puro,max_sharpe,etfs_brasil__max_sharpe,sem_alternativos,nenhum,amplo_base,2.8764248573645657,0.12900365149258874,0.21860480937115256,0.7038128560832033,0.968175538935241,-0.3765171592094706,0.3426235653202174,0.6,1.0,1.0,1.0,1.0,,97.0,78.0,96.0,94.0,97.0,462.0
etfs_com_btc,markowitz_puro,min_vol,etfs_com_btc__min_vol,com_alternativos,btc,alternativos,3.339377127465749,0.14046785893361036,0.11785215467574922,1.2764263465972474,2.1352092819479473,-0.18090298176513397,0.776481722761096,0.6962962962962963,0.36941086568517845,0.7736520941225808,0.24552688300272868,4.072873763435862,,28.0,64.0,16.0,38.0,12.0,158.0
etfs_com_btc_petroleo,markowitz_puro,min_vol,etfs_com_btc_petroleo__min_vol,com_alternativos,btc+petroleo,alternativos,3.3578412452911968,0.14090159037410221,0.11675983424334445,1.2888266646973694,1.9236695814463824,-0.16123343893063158,0.8738980654920047,0.6888888888888889,0.3609634792788407,0.7913829333224753,0.2489948657367786,4.016147068097123,,26.0,62.0,9.0,21.0,9.0,127.0
etfs_com_ouro,markowitz_puro,min_vol,etfs_com_ouro__min_vol,com_alternativos,ouro,alternativos,4.388584028239967,0.1628004559477414,0.10071111470438303,1.6356856786476999,3.060853786490857,-0.12334707727908689,1.3198566154866136,0.674074074074074,0.3440789469274394,0.8051691846791754,0.2602243320551976,3.84283818543104,,10.0,35.0,4.0,7.0,3.0,59.0
etfs_com_ouro_btc,markowitz_puro,min_vol,etfs_com_ouro_btc__min_vol,com_alternativos,ouro+btc,alternativos,4.388584094925775,0.16280045723640746,0.10071111470438669,1.6356856890154325,3.0608538950144006,-0.12334707983573623,1.3198565985770565,0.674074074074074,0.3440789723104754,0.8051693009130495,0.2602243628451515,3.842837730743365,,9.0,34.0,5.0,8.0,4.0,60.0
etfs_com_ouro_petroleo,markowitz_puro,min_vol,etfs_com_ouro_petroleo__min_vol,com_alternativos,ouro+petroleo,alternativos,4.482128099240307,0.1645940136397337,0.09744423224171167,1.6988720089600398,2.8495464990270403,-0.08923470807254474,1.8445066633257143,0.6518518518518519,0.3632151047536003,0.7900094773251505,0.26172977131680264,3.8207346262859074,,8.0,32.0,1.0,2.0,2.0,45.0
etfs_com_petroleo,markowitz_puro,min_vol,etfs_com_petroleo__min_vol,com_alternativos,petroleo,alternativos,3.3578416164797487,0.14090159907667754,0.11675983424332628,1.288826730333371,1.9236696455452207,-0.16123335311940945,0.8738985845709343,0.6888888888888889,0.3609634677324018,0.7913823621873184,0.24899464627050313,4.016150607967766,,25.0,61.0,8.0,20.0,8.0,122.0
etfs_com_tudo,markowitz_puro,min_vol,etfs_com_tudo__min_vol,com_alternativos,ouro+btc+petroleo,alternativos,4.547163246927932,0.16582461079001032,0.09743559689707872,1.710074596341904,2.864529470189996,-0.08986717682621659,1.8452188735235195,0.6518518518518519,0.36349229468751937,0.791090691836934,0.2615953353283714,3.8226981331480365,,6.0,31.0,2.0,1.0,1.0,41.0
