ticker_yahoo,n_na_adj_close_raw,pct_na_adj_close_raw,nome_ativo,tipo_ativo,grupo_universo,moeda_original,n_na_adj_close_ffill,pct_na_adj_close_ffill,n_preenchidos_ffill,pct_preenchidos_ffill
000001.SS,205,0.06968048946295037,Shanghai Composite,indice,indices,CNY,9,0.0030591434398368456,196,0.9560975609756097
^N225,186,0.06322229775662815,Nikkei 225,indice,indices,JPY,2,0.0006798096532970768,184,0.989247311827957
^TWII,206,0.07002039428959891,Taiwan Weighted,indice,indices,TWD,24,0.008157715839564922,182,0.883495145631068
^KS11,177,0.0601631543167913,Kospi,indice,indices,KRW,1,0.0003399048266485384,176,0.9943502824858758
^HSI,169,0.057443915703602993,Hang Seng,indice,indices,HKD,0,0.0,169,1.0
^NSEI,166,0.05642420122365738,Nifty 50,indice,indices,INR,0,0.0,166,1.0
SMAL11.SA,163,0.05540448674371176,iShares Small Caps ETF,etf,etfs,BRL,0,0.0,163,1.0
BOVA11.SA,161,0.05472467709041468,iShares Ibovespa ETF,etf,etfs,BRL,0,0.0,161,1.0
^BVSP,142,0.04826648538409246,Ibovespa,indice,indices,BRL,0,0.0,142,1.0
^NZ50,118,0.04010876954452753,NZX 50,indice,indices,NZD,1,0.0003399048266485384,117,0.9915254237288136
^STOXX50E,108,0.036709721278042146,Euro Stoxx 50,indice,indices,EUR,1,0.0003399048266485384,107,0.9907407407407407
GC=F,106,0.03602991162474507,Ouro Spot/Front,commodity,alternativos,USD,0,0.0,106,1.0
^MXX,106,0.03602991162474507,Mexico IPC,indice,indices,MXN,0,0.0,106,1.0
ACWI,105,0.03569000679809653,iShares MSCI ACWI ETF,etf,etfs,USD,0,0.0,105,1.0
ARGT,105,0.03569000679809653,Global X MSCI Argentina ETF,etf,etfs,USD,0,0.0,105,1.0
ECH,105,0.03569000679809653,iShares MSCI Chile ETF,etf,etfs,USD,0,0.0,105,1.0
ENZL,105,0.03569000679809653,iShares MSCI New Zealand ETF,etf,etfs,USD,0,0.0,105,1.0
EWA,105,0.03569000679809653,iShares MSCI Australia ETF,etf,etfs,USD,0,0.0,105,1.0
EWG,105,0.03569000679809653,iShares MSCI Germany ETF,etf,etfs,USD,0,0.0,105,1.0
EWH,105,0.03569000679809653,iShares MSCI Hong Kong ETF,etf,etfs,USD,0,0.0,105,1.0
EWJ,105,0.03569000679809653,iShares MSCI Japan ETF,etf,etfs,USD,0,0.0,105,1.0
EWT,105,0.03569000679809653,iShares MSCI Taiwan ETF,etf,etfs,USD,0,0.0,105,1.0
EWU,105,0.03569000679809653,iShares MSCI United Kingdom ETF,etf,etfs,USD,0,0.0,105,1.0
EWW,105,0.03569000679809653,iShares MSCI Mexico ETF,etf,etfs,USD,0,0.0,105,1.0
EWY,105,0.03569000679809653,iShares MSCI South Korea ETF,etf,etfs,USD,0,0.0,105,1.0
EZA,105,0.03569000679809653,iShares MSCI South Africa ETF,etf,etfs,USD,0,0.0,105,1.0
FEZ,105,0.03569000679809653,SPDR EURO STOXX 50 ETF,etf,etfs,USD,0,0.0,105,1.0
GLD,105,0.03569000679809653,SPDR Gold Shares,etf,etfs,USD,0,0.0,105,1.0
IEMG,105,0.03569000679809653,iShares Core MSCI Emerging Markets ETF,etf,etfs,USD,0,0.0,105,1.0
INDA,105,0.03569000679809653,iShares MSCI India ETF,etf,etfs,USD,0,0.0,105,1.0
MCHI,105,0.03569000679809653,iShares MSCI China ETF,etf,etfs,USD,0,0.0,105,1.0
QQQ,105,0.03569000679809653,Invesco QQQ Trust,etf,etfs,USD,0,0.0,105,1.0
SPY,105,0.03569000679809653,SPDR S&P 500 ETF,etf,etfs,USD,0,0.0,105,1.0
USO,105,0.03569000679809653,United States Oil Fund,etf,etfs,USD,0,0.0,105,1.0
VEA,105,0.03569000679809653,Vanguard FTSE Developed Markets ETF,etf,etfs,USD,0,0.0,105,1.0
VT,105,0.03569000679809653,Vanguard Total World Stock ETF,etf,etfs,USD,0,0.0,105,1.0
XLE,105,0.03569000679809653,Energy Select Sector SPDR Fund,etf,etfs,USD,0,0.0,105,1.0
^GSPC,105,0.03569000679809653,S&P 500,indice,indices,USD,0,0.0,105,1.0
^NDX,105,0.03569000679809653,Nasdaq 100,indice,indices,USD,0,0.0,105,1.0
BZ=F,104,0.03535010197144799,Brent Crude Oil,commodity,alternativos,USD,0,0.0,104,1.0
^FTSE,92,0.03127124405166554,FTSE 100,indice,indices,GBP,0,0.0,92,1.0
^AXJO,90,0.030591434398368457,ASX 200,indice,indices,AUD,0,0.0,90,1.0
^GDAXI,80,0.027192386131883073,DAX,indice,indices,EUR,0,0.0,80,1.0
BRL=X,9,0.0030591434398368456,USDBRL,cambio,alternativos,BRL,0,0.0,9,1.0
BTC-USD,0,0.0,Bitcoin USD,cripto,alternativos,USD,0,0.0,0,0.0
