ativo,classe_ativo
000001.SS,etf
ACWI,etf
ARGT,etf
BOVA11.SA,etf
BRL=X,etf
BTC-USD,alternativo
BZ=F,alternativo
ECH,etf
ENZL,etf
EWA,etf
EWG,etf
EWH,etf
EWJ,etf
EWT,etf
EWU,etf
EWW,etf
EWY,etf
EZA,etf
FEZ,etf
GC=F,alternativo
GLD,alternativo
IEMG,etf
INDA,etf
MCHI,etf
QQQ,etf
SMAL11.SA,etf
SPY,etf
USO,alternativo
VEA,etf
VT,etf
XLE,alternativo
^AXJO,indice
^BVSP,indice
^FTSE,indice
^GDAXI,indice
^GSPC,indice
^HSI,indice
^KS11,indice
^MXX,indice
^N225,indice
^NDX,indice
^NSEI,indice
^NZ50,indice
^STOXX50E,indice
^TWII,indice
