carteira_ancora,crise,familia_estrategia,retorno_periodo
etfs_todos,stress_2015_2016,equal_weight,0.06220449677035078
etfs_todos,stress_2015_2016,markowitz_puro__min_vol,-0.02294938261296886
etfs_todos,stress_2015_2016,markowitz_puro__max_sharpe,0.04631253777375699
etfs_todos,stress_2015_2016,markowitz_restrito__min_vol,0.01920237379967582
etfs_todos,stress_2015_2016,markowitz_restrito__max_sharpe,0.0540198109999559
etfs_todos,stress_2015_2016,hrp,0.04440670457394269
etfs_todos,covid_2020,equal_weight,-0.09796649215398923
etfs_todos,covid_2020,markowitz_puro__min_vol,-0.1314095870869626
etfs_todos,covid_2020,markowitz_puro__max_sharpe,-0.10894278312882788
etfs_todos,covid_2020,markowitz_restrito__min_vol,-0.117301178109816
etfs_todos,covid_2020,markowitz_restrito__max_sharpe,-0.12071455239497231
etfs_todos,covid_2020,hrp,-0.11234533547766512
etfs_todos,inflacao_2022,equal_weight,-0.17205003362494964
etfs_todos,inflacao_2022,markowitz_puro__min_vol,-0.11298257428580982
etfs_todos,inflacao_2022,markowitz_puro__max_sharpe,-0.16728068865991552
etfs_todos,inflacao_2022,markowitz_restrito__min_vol,-0.15289722266005934
etfs_todos,inflacao_2022,markowitz_restrito__max_sharpe,-0.15001138277483006
etfs_todos,inflacao_2022,hrp,-0.14925916781865634
etfs_com_tudo,stress_2015_2016,equal_weight,0.09293575716169866
etfs_com_tudo,stress_2015_2016,markowitz_puro__min_vol,0.05062639184593776
etfs_com_tudo,stress_2015_2016,markowitz_puro__max_sharpe,0.15399413051708022
etfs_com_tudo,stress_2015_2016,markowitz_restrito__min_vol,0.026993927333869294
etfs_com_tudo,stress_2015_2016,markowitz_restrito__max_sharpe,0.14380454775689588
etfs_com_tudo,stress_2015_2016,hrp,0.09910597997823634
etfs_com_tudo,covid_2020,equal_weight,-0.10533955793678118
etfs_com_tudo,covid_2020,markowitz_puro__min_vol,-0.08156699966348913
etfs_com_tudo,covid_2020,markowitz_puro__max_sharpe,-0.07225496311980606
etfs_com_tudo,covid_2020,markowitz_restrito__min_vol,-0.12646527002159436
etfs_com_tudo,covid_2020,markowitz_restrito__max_sharpe,-0.1196737828383202
etfs_com_tudo,covid_2020,hrp,-0.08154498868250093
etfs_com_tudo,inflacao_2022,equal_weight,-0.17415913225813917
etfs_com_tudo,inflacao_2022,markowitz_puro__min_vol,-0.04284961550700628
etfs_com_tudo,inflacao_2022,markowitz_puro__max_sharpe,-0.10039424156851995
etfs_com_tudo,inflacao_2022,markowitz_restrito__min_vol,-0.1230253915891294
etfs_com_tudo,inflacao_2022,markowitz_restrito__max_sharpe,-0.18993802132155058
etfs_com_tudo,inflacao_2022,hrp,-0.12108974832735286
