ativo,pc1,pc2
000001.SS,-3.94865182794229,-6.496683177306371
ACWI,-2.9965443715513134,2.191898355305425
ARGT,6.546336877555119,11.776411538435609
BOVA11.SA,16.21622725599267,-2.4121607362156765
BRL=X,-5.96815281060254,0.888147784246485
ECH,6.5847716651715045,-2.2352674651512237
ENZL,-2.0039116825167853,1.0308443517746126
EWA,-0.8565635875845835,1.785889597083038
EWG,-1.5976099829008858,2.451948066595046
EWH,-2.8876503222439314,-5.406640357728337
EWJ,-3.960262222310713,1.4168834639131125
EWT,-2.9283283711726247,-2.1192977992078204
EWU,-2.4200535656615894,1.8332376174864258
EWW,1.4251033821159829,3.0199145126405864
EWY,-0.17190009738851852,-3.5537969851949
EZA,4.494948341449765,-3.3393571866117187
FEZ,-1.6879675675725565,2.5759106458573036
IEMG,-0.8545061982742148,-3.5809543869610687
INDA,-3.0881564643725725,1.0786966423620372
MCHI,-3.9153019723736495,-10.014741065886087
QQQ,-4.193796408844101,3.438521672992709
SMAL11.SA,17.154883142000294,-1.6470987898228338
SPY,-3.703892805604403,3.4897285612681084
VEA,-2.3088370169810677,1.6460252813054188
VT,-2.9301833883869874,2.1819398588201073
