ativo,retorno_esperado_mensal,retorno_esperado_anual,vol_mensal,vol_anual,n_nulos_retorno
ARGT,0.0215306070320557,0.2583672843846684,0.08624671000679941,0.29876736743487137,0
QQQ,0.02112062152173746,0.2534474582608495,0.06179270729367947,0.21405621713976955,0
EWT,0.017874885550662672,0.21449862660795205,0.058495703670556023,0.2026350615637926,0
SPY,0.0169563140391913,0.20347576847029558,0.05212427088563763,0.18056377096281515,0
EWY,0.01608357168404503,0.19300286020854035,0.07174759725661159,0.24854096753888133,0
VT,0.014669723900675453,0.17603668680810544,0.04812031986145066,0.1666936777529966,0
ACWI,0.014637897919514522,0.17565477503417426,0.047637790541285786,0.16502214715566213,0
XLE,0.014168560141477087,0.17002272169772503,0.08043100015074427,0.2786211575293382,0
FEZ,0.013043077855236326,0.15651693426283592,0.053645737813356395,0.18583428700450438,0
VEA,0.012843455549545045,0.15412146659454054,0.04738338273752156,0.16414085267173883,0
BOVA11.SA,0.012821406269752924,0.1538568752370351,0.06310577276829088,0.21860480937115256,0
EWJ,0.012638599163497887,0.15166318996197464,0.05076409186923724,0.17585197263522606,0
EWA,0.012117999098599223,0.14541598918319068,0.05376841811346755,0.18625926403026505,0
IEMG,0.01169701061824792,0.14036412741897505,0.04610062097167517,0.1596972355668334,0
EWG,0.01137767159265219,0.13653205911182628,0.055632126277143756,0.1927153384902012,0
EWW,0.011364399297194855,0.13637279156633825,0.060637759397407544,0.210055360266894,0
EZA,0.011257253445095004,0.13508704134114005,0.06294513575241067,0.21804834642499102,0
EWU,0.011202809591995691,0.1344337151039483,0.04666974874124975,0.16166875199263644,0
INDA,0.010897172587713826,0.1307660710525659,0.06054161180298062,0.2097222952297481,0
ECH,0.010376019582337635,0.12451223498805161,0.06400716599012207,0.2217273270867722,0
ENZL,0.010092563459416339,0.12111076151299607,0.057596560169779376,0.1995203371105116,0
SMAL11.SA,0.010041601955104186,0.12049922346125022,0.07213198999674875,0.24987254305083767,0
MCHI,0.01002508695373548,0.12030104344482576,0.07290584954249366,0.2525532711531424,0
EWH,0.009912585399482083,0.118951024793785,0.05842789430936656,0.20240016304617472,0
