ativo_1,ativo_2,correlacao
ACWI,ARGT,0.39205654342462604
ACWI,BOVA11.SA,-0.10877469687505573
ACWI,ECH,0.42722680445311245
ACWI,ENZL,0.8149495894552217
ACWI,EWA,0.8496621677597872
ACWI,EWG,0.8623470332021002
ACWI,EWH,0.6345309493923221
ACWI,EWJ,0.8865619026460618
ACWI,EWT,0.775513169782235
ACWI,EWU,0.8689556383638548
ACWI,EWW,0.5638895265104321
ACWI,EWY,0.6455305547494156
ACWI,EZA,0.5197781387792682
ACWI,FEZ,0.8618413139329683
ACWI,IEMG,0.8171762658889073
ACWI,INDA,0.718175124274381
ACWI,MCHI,0.5352838558088949
ACWI,QQQ,0.9244066869918987
ACWI,SMAL11.SA,-0.07261379220589406
ACWI,SPY,0.9831319610013215
ACWI,VEA,0.9500694041216637
ACWI,VT,0.9985133718769434
ACWI,XLE,0.49217912457949053
ARGT,ACWI,0.39205654342462604
ARGT,BOVA11.SA,0.29544326231067475
ARGT,ECH,0.4059253652194545
ARGT,ENZL,0.43085968174618416
ARGT,EWA,0.39661372098115955
ARGT,EWG,0.3943697483205512
ARGT,EWH,0.17942687214775807
ARGT,EWJ,0.29545551081267113
ARGT,EWT,0.24934176806420613
ARGT,EWU,0.3561517733147153
ARGT,EWW,0.3249641726322246
ARGT,EWY,0.290192424385301
ARGT,EZA,0.2970814473846662
ARGT,FEZ,0.38191006226662705
ARGT,IEMG,0.3283244973680373
ARGT,INDA,0.26872179784193595
ARGT,MCHI,0.11380021728827007
ARGT,QQQ,0.3400009236308803
ARGT,SMAL11.SA,0.30277088859132095
ARGT,SPY,0.37056601069091527
ARGT,VEA,0.3798858869355963
ARGT,VT,0.39923378705154894
ARGT,XLE,0.3098541726952465
BOVA11.SA,ACWI,-0.10877469687505573
BOVA11.SA,ARGT,0.29544326231067475
BOVA11.SA,ECH,0.3518704072720458
BOVA11.SA,ENZL,-0.00960790865301484
BOVA11.SA,EWA,0.10743624248620595
BOVA11.SA,EWG,0.05114807319273872
BOVA11.SA,EWH,-0.13566822992244038
BOVA11.SA,EWJ,-0.20001476855912564
BOVA11.SA,EWT,-0.06449304835130998
BOVA11.SA,EWU,-0.06379141982123383
BOVA11.SA,EWW,0.22536392641986813
BOVA11.SA,EWY,0.1423654663387036
BOVA11.SA,EZA,0.34570771995961136
BOVA11.SA,FEZ,0.03152169563505902
BOVA11.SA,IEMG,0.06128731434500943
BOVA11.SA,INDA,-0.028984758640137213
BOVA11.SA,MCHI,-0.16313287121557665
BOVA11.SA,QQQ,-0.15424255191560204
BOVA11.SA,SMAL11.SA,0.908227515886868
BOVA11.SA,SPY,-0.1477358369675606
BOVA11.SA,VEA,-0.048171314716042704
BOVA11.SA,VT,-0.08670913057571467
BOVA11.SA,XLE,0.16740904522658692
ECH,ACWI,0.42722680445311245
ECH,ARGT,0.4059253652194545
ECH,BOVA11.SA,0.3518704072720458
ECH,ENZL,0.365512012172687
