carteira,tipo,coluna_retorno,data_inicio,data_fim,n_meses,retorno_total,retorno_anualizado_media,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,melhor_mes,pior_mes,n_ativos_total,n_ativos_com_peso,peso_max,peso_min,peso_medio,peso_mediano,top1_peso,top3_peso,top5_peso,hhi,n_efetivo_ativos,gini_pesos,classificacao_concentracao,metodo_ligacao,distancia,n_clusters_finais,ordem_hrp,n_ativos_universo,n_ativos_validos,n_ativos_com_peso_manifesto,metodo_ligacao_manifesto,distancia_manifesto,n_clusters_finais_manifesto,periodo_inicio,periodo_fim,ordem_hrp_manifesto
etfs_com_tudo,hrp,etfs_com_tudo,2015-02-28,2026-04-30,135,442.8579,17.1318,16.3571,12.5274,1.367549927968646,2.343587855347907,-17.8281,0.9174860078687116,64.4444,0.14644768837815664,-0.1156846430188911,27,27,18.7947,1.0257,3.7037,2.9663,18.7947,30.3835,39.7299,0.06385370764722709,15.660797733542823,0.29779772090828627,baixa,single,correlacao,27,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | GLD | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG,27,27,27,single,correlacao,27,2015-02-28,2026-04-30,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | GLD | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc,2015-02-28,2026-04-30,135,410.1482,16.744,15.7113,13.2723,1.2615685645733374,2.234639980021948,-19.7944,0.7937263261377034,65.1852,0.15668803009673077,-0.12156088689424889,26,26,12.5503,1.0126,3.8462,3.2911,12.5503,26.4922,36.0362,0.051037733108758615,19.59334670819048,0.25420028854422183,baixa,single,correlacao,26,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | GLD | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG,26,26,26,single,correlacao,26,2015-02-28,2026-04-30,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | GLD | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo,2015-02-28,2026-04-30,135,361.589,15.7635,14.6794,12.9004,1.2219426990274598,2.0744261194610147,-17.9303,0.8186960771123215,65.9259,0.15218744841063206,-0.12435007725576917,26,26,14.6506,1.9759,3.8462,3.1342,14.6506,30.2838,38.4205,0.056491350651503264,17.701824942530198,0.2609854507788114,baixa,single,correlacao,26,BOVA11.SA | SMAL11.SA | ARGT | GLD | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG,26,26,26,single,correlacao,26,2015-02-28,2026-04-30,BOVA11.SA | SMAL11.SA | ARGT | GLD | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_ouro,hrp,etfs_com_ouro,2015-02-28,2026-04-30,135,366.1301,15.8656,14.78,13.0836,1.2126275515061589,2.084107408122304,-18.8445,0.7843155216119725,64.4444,0.15117586293068638,-0.12386016275156184,25,25,14.6764,2.0093,4.0,3.2353,14.6764,27.5987,38.3358,0.05553662224818592,18.006136482898267,0.2581602741006963,baixa,single,correlacao,25,BOVA11.SA | SMAL11.SA | ARGT | GLD | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG,25,25,25,single,correlacao,25,2015-02-28,2026-04-30,BOVA11.SA | SMAL11.SA | ARGT | GLD | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo,2015-02-28,2026-04-30,135,365.5834,16.1447,14.768,14.1489,1.1410535252365657,1.8734459095517382,-20.0108,0.7379987341525416,64.4444,0.16977566820852527,-0.13562462858049976,26,26,8.3955,1.0487,3.8462,3.4845,8.3955,19.6998,29.2691,0.043521334618965034,22.977236538243382,0.18979639893414335,baixa,single,correlacao,26,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG,26,26,26,single,correlacao,26,2015-02-28,2026-04-30,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_btc,hrp,etfs_com_btc,2015-02-28,2026-04-30,135,368.6798,16.2124,14.8361,14.248,1.1378722058424282,1.9423926663676487,-21.4345,0.6921610381192791,65.1852,0.16929296292838406,-0.13542491767481318,25,25,7.2508,1.0929,4.0,3.5796,7.2508,20.2415,31.2258,0.04510732101595458,22.169350284542446,0.19560077907483153,baixa,single,correlacao,25,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG,25,25,25,single,correlacao,25,2015-02-28,2026-04-30,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_america_norte,hrp,etfs_america_norte,2015-02-28,2026-04-30,135,606.1079,20.6782,19.1292,18.6311,1.1098743484901425,2.127151164474741,-22.4534,0.8519521084995454,60.7407,0.22413413579845354,-0.16021708388959457,3,3,39.6197,28.2051,33.3333,32.1752,39.6197,100.0,100.0,0.34004919303223125,2.940750986887994,0.07609749573690716,alta,single,correlacao,3,XLE | QQQ | SPY,3,3,3,single,correlacao,3,2015-02-28,2026-04-30,XLE | QQQ | SPY
etfs_com_petroleo,hrp,etfs_com_petroleo,2015-02-28,2026-04-30,135,321.5929,15.2089,13.7524,14.0035,1.0860812402139188,1.7362241258283586,-19.3917,0.7091921167470798,64.4444,0.16653779929549634,-0.13844953658058337,25,25,7.1426,2.188,4.0,3.4393,7.1426,20.9488,32.3425,0.04509789627699769,22.173983324141282,0.1870806706025374,baixa,single,correlacao,25,BOVA11.SA | SMAL11.SA | ARGT | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG,25,25,25,single,correlacao,25,2015-02-28,2026-04-30,BOVA11.SA | SMAL11.SA | ARGT | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_todos,hrp,etfs_todos,2015-02-28,2026-04-30,135,317.1898,15.1735,13.6455,14.2757,1.0628906711849655,1.8057839226643566,-21.9529,0.6215803839781204,64.4444,0.16975473353493675,-0.13776358112199275,24,24,7.4408,2.1414,4.1667,3.9703,7.4408,20.0061,31.69,0.046755380038794744,21.387912988200746,0.1980058249934049,baixa,single,correlacao,24,BOVA11.SA | SMAL11.SA | ARGT | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG,24,24,24,single,correlacao,24,2015-02-28,2026-04-30,BOVA11.SA | SMAL11.SA | ARGT | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_global,hrp,etfs_global,2015-02-28,2026-04-30,135,360.8484,16.4791,14.663,16.2971,1.0111657339459452,1.69003727225369,-29.5375,0.49641851656441266,60.0,0.18365254518217822,-0.1538502983384726,3,3,50.4987,24.501,33.3333,25.0002,50.4987,100.0,100.0,0.37754348936414905,2.648701482534315,0.1733180644830008,alta,single,correlacao,3,VEA | ACWI | VT,3,3,3,single,correlacao,3,2015-02-28,2026-04-30,VEA | ACWI | VT
