carteira,tipo,coluna_retorno,data_inicio,data_fim,n_meses,retorno_total,retorno_anualizado_media,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,melhor_mes,pior_mes,n_ativos_total,n_ativos_com_peso,peso_max,peso_min,peso_medio,peso_mediano,top1_peso,top3_peso,top5_peso,hhi,n_efetivo_ativos,gini_pesos,classificacao_concentracao,n_ativos_universo,n_ativos_validos,n_ativos_com_peso_manifesto,periodo_inicio,periodo_fim
etfs_com_tudo,max_sharpe,etfs_com_tudo__max_sharpe,2015-02-28,2026-04-30,135,958.6269,22.7245,23.5287,11.1775,2.0330545213374034,4.4140037391723475,-14.3037,1.644935333448027,71.8519,0.1119336353906119,-0.061626224688166635,27,6,39.7576,0.0,3.7037,0.0,39.7576,86.5989,99.8501,0.2865021762759022,3.4903748830061168,0.881319979075617,alta,27,27,6,2015-02-28,2026-04-30
etfs_com_ouro_btc,max_sharpe,etfs_com_ouro_btc__max_sharpe,2015-02-28,2026-04-30,135,1023.2538,23.3476,24.186,11.7626,1.9848911596200651,4.648080541265497,-16.5162,1.4643828155687428,70.3704,0.14614435235821033,-0.057245094998485964,26,6,39.5123,0.0,3.8462,0.0,39.5123,89.0296,98.7536,0.2941621135332206,3.399486045258738,0.880408737858047,alta,26,26,6,2015-02-28,2026-04-30
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,2015-02-28,2026-04-30,135,620.0627,19.1188,19.3382,10.2875,1.8584553072040917,4.0000274573823145,-11.7403,1.647163622375268,70.3704,0.10815289850325084,-0.05016499204463062,26,5,38.4518,0.0,3.8462,0.0,38.4518,91.4405,100.0,0.2949615951435153,3.3902718742534743,0.8812549913148997,alta,26,26,5,2015-02-28,2026-04-30
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,2015-02-28,2026-04-30,135,648.2784,19.53,19.7497,10.7355,1.8191932806945752,3.9891762252909864,-13.5828,1.4540192077431382,68.1481,0.13233801954885693,-0.05543010623394067,25,5,38.1972,0.0,4.0,0.0,38.1972,93.3825,100.0,0.3028364602936119,3.302112298599913,0.8784380898533268,alta,25,25,5,2015-02-28,2026-04-30
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,2015-02-28,2026-04-30,135,1366.6783,26.7,27.1885,15.5942,1.7121795681933791,2.9603622768339073,-25.1599,1.0806294417323674,68.8889,0.16754036591789445,-0.11995016714144623,26,7,34.0632,0.0,3.8462,0.0,34.0632,83.0547,98.653,0.2547363561522449,3.9256273234996866,0.863712065118688,alta,26,26,7,2015-02-28,2026-04-30
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,2015-02-28,2026-04-30,135,1434.0002,27.1778,27.7007,15.9915,1.6995098668294317,3.170194752616234,-27.2656,1.0159591239373245,69.6296,0.17149863655319725,-0.1017217970369753,25,6,35.4678,0.0,4.0,0.0,35.4678,85.7376,99.045,0.2705378650618196,3.696340250824016,0.866329194925852,alta,25,25,6,2015-02-28,2026-04-30
etfs_com_petroleo,max_sharpe,etfs_com_petroleo__max_sharpe,2015-02-28,2026-04-30,135,706.9238,20.969,20.5616,13.8099,1.5184032078830878,2.5793251053413995,-21.5435,0.9544224785548142,68.1481,0.15917593293255486,-0.09853109940997232,25,5,42.9213,0.0,4.0,0.0,42.9213,90.9133,100.0,0.3237470653802894,3.0888310873964224,0.8856276585603609,alta,25,25,5,2015-02-28,2026-04-30
etfs_todos,max_sharpe,etfs_todos__max_sharpe,2015-02-28,2026-04-30,135,733.9282,21.3158,20.9175,14.1195,1.5096709306200617,2.7289789233528237,-23.3413,0.8961586790515024,68.1481,0.16058723236719422,-0.09691742028548886,24,4,44.1407,0.0,4.1667,0.0,44.1407,93.7176,100.0,0.3429731828652951,2.915679854750499,0.8892546292974832,alta,24,24,4,2015-02-28,2026-04-30
etfs_exterior,max_sharpe,etfs_exterior__max_sharpe,2015-02-28,2026-04-30,135,902.4712,23.8847,22.9273,18.1504,1.3159311818825692,2.5382874899472045,-27.7508,0.8261844502264161,62.2222,0.19609783215141818,-0.16075785300418166,22,4,44.0407,0.0,4.5455,0.0,44.0407,93.6572,100.0,0.32185191331899543,3.107018969338471,0.8713840774549864,alta,22,22,4,2015-02-28,2026-04-30
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,2015-02-28,2026-04-30,135,890.3683,24.0763,22.7936,19.9174,1.2088079540869192,2.1623285652000632,-27.0869,0.8414994232582743,61.4815,0.20586456078448598,-0.16209537205826843,3,2,84.7959,0.0,33.3333,15.2041,84.7959,100.0,100.0,0.7421511486529868,1.3474344165807894,0.5653061040788037,alta,3,3,2,2015-02-28,2026-04-30
