carteira,tipo,coluna_retorno,data_inicio,data_fim,n_meses,retorno_total,retorno_anualizado_media,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,melhor_mes,pior_mes,n_ativos_total,n_ativos_com_peso,peso_max,peso_min,peso_medio,peso_mediano,top1_peso,top3_peso,top5_peso,hhi,n_efetivo_ativos,gini_pesos,classificacao_concentracao,n_ativos_no_limite_min,n_ativos_no_limite_max,pct_ativos_no_limite_min,pct_ativos_no_limite_max,n_ativos_universo,n_ativos_validos,n_ativos_com_peso_manifesto,peso_min_base,peso_max_base,peso_min_efetivo,peso_max_efetivo,ajuste_limites,periodo_inicio,periodo_fim
etfs_com_tudo,max_sharpe,etfs_com_tudo__max_sharpe,2015-02-28,2026-04-30,135,957.7502,23.5395,23.5196,14.6124,1.61092455143628,3.113671354190177,-24.3139,0.9673307967295187,64.4444,0.16103474115765531,-0.10066181811552934,27,27,10.0,2.0,3.7037,2.0,10.0,30.0,48.0545,0.06087096810747083,16.42819280012844,0.35597015772517704,baixa,19,4,70.3704,14.8148,27,27,27,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_com_ouro_btc,max_sharpe,etfs_com_ouro_btc__max_sharpe,2015-02-28,2026-04-30,135,1000.6124,23.9674,23.9598,14.9978,1.5980583783100364,3.36654899761149,-25.9731,0.9224839983737458,65.1852,0.16318347363125155,-0.09833889016858932,26,26,10.0,2.0,3.8462,2.0,10.0,30.0,48.5479,0.06440433727125877,15.526904590108442,0.36563186078463983,baixa,19,4,73.0769,15.3846,26,26,26,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,2015-02-28,2026-04-30,135,964.0018,23.8458,23.5848,15.6239,1.5262382496875992,2.785142817099583,-25.6743,0.9186145818699738,65.1852,0.17420648851254286,-0.11962558001063428,26,26,10.0,2.0,3.8462,2.0,10.0,30.0,48.6551,0.0626884804159881,15.951894085870354,0.3622701837094109,baixa,18,4,69.2308,15.3846,26,26,26,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,2015-02-28,2026-04-30,135,1000.267,24.212,23.9563,15.9643,1.5166330556376353,3.048625134181371,-27.5778,0.8686807572049742,64.4444,0.17626620755803585,-0.10576058032287246,25,25,10.0,2.0,4.0,2.0,10.0,30.0,49.0601,0.06657778321164559,15.020025476382681,0.371043868590909,baixa,18,4,72.0,16.0,25,25,25,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,2015-02-28,2026-04-30,135,474.6363,17.696,16.9514,12.7016,1.3932115004852625,2.529322561887642,-18.1226,0.9353731061332343,65.1852,0.15051994877873107,-0.10136749696574254,26,26,10.0,2.0,3.8462,2.0,10.0,30.0,46.9352,0.06242365951832711,16.019567063453042,0.3608904350864588,baixa,18,3,69.2308,11.5385,26,26,26,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,2015-02-28,2026-04-30,135,490.6636,17.9902,17.2398,12.9896,1.3849686056757986,2.709573243542787,-19.7615,0.87239454366683,65.1852,0.1522174132727757,-0.09903688082646389,25,25,10.0,2.0,4.0,2.0,10.0,30.0,48.1816,0.06628190101152026,15.0870748234302,0.3696103537203701,baixa,18,3,72.0,12.0,25,25,25,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_com_petroleo,max_sharpe,etfs_com_petroleo__max_sharpe,2015-02-28,2026-04-30,135,468.052,17.8125,16.8307,13.6966,1.3005073523700665,2.2373985829504837,-19.7289,0.8531009218013214,62.963,0.16211870708526033,-0.11337870776079582,25,25,10.0,2.0,4.0,2.0,10.0,30.0,50.0,0.06868081622953247,14.560106517342234,0.37410853901964747,baixa,17,6,68.0,24.0,25,25,25,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_todos,max_sharpe,etfs_todos__max_sharpe,2015-02-28,2026-04-30,135,476.73,17.9858,16.9895,13.9086,1.2931471206771605,2.4313030695955034,-21.4356,0.7925827177896687,63.7037,0.1637179187846082,-0.1050158298848739,24,24,10.0,2.0,4.1667,2.0,10.0,30.0,50.0,0.07039999999999977,14.204545454545501,0.3783333333333323,baixa,17,6,70.8333,25.0,24,24,24,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_exterior,max_sharpe,etfs_exterior__max_sharpe,2015-02-28,2026-04-30,135,492.319,18.6952,17.2692,16.0463,1.165083864277891,2.109415294951481,-23.7615,0.7267723775748434,62.963,0.1835924867353643,-0.16119770661525526,22,22,10.0,2.0,4.5455,2.0,10.0,30.0,50.0,0.07258656756315918,13.776653636774848,0.37783499515277064,baixa,13,6,59.0909,27.2727,22,22,22,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,2015-02-28,2026-04-30,135,621.2854,20.8982,19.3563,18.7545,1.1143045877198088,2.13241371707569,-22.7328,0.8514700097458431,61.4815,0.22748254035678786,-0.1614841420269966,3,3,33.3333,33.3333,33.3333,33.3333,33.3333,100.0,100.0,0.3333333333333333,3.0,0.0,alta,0,3,0.0,100.0,3,3,3,2.0,10.0,2.0,33.3333,ajuste_max_para_viabilidade,2015-02-28,2026-04-30
