ticker,retorno_total,cagr,volatilidade,sharpe,sortino,max_drawdown,calmar,skew,kurtosis,pct_meses_positivos,melhor_mes,pior_mes,nome_ativo,classe,subclasse,regiao,pais,tipo_ativo,grupo_universo,rank_cagr,rank_vol,rank_sharpe,rank_sortino,rank_calmar
USO,0.4474648540928565,0.03332018812256621,0.41902131711304025,0.2874282607546098,0.38741773132920565,-0.8163095601369211,0.0408180790103418,-0.4126007285664414,9.197497761914356,0.5481481481481482,0.5912886894994234,-0.48417729090731143,United States Oil Fund,ETF,Petroleo,Global,Global,etf,etfs,45.0,43.0,45.0,45.0,45.0
BTC-USD,446.6089019574228,0.7177219477098207,0.6779398849397789,1.1125834988804335,1.5383235195466016,-0.8009863458240699,0.8960476685422331,0.01833958500657166,5.579820746999323,0.5851851851851851,0.7777619642376055,-0.3654658395443061,Bitcoin USD,Crypto,Bitcoin,Global,Global,cripto,alternativos,1.0,45.0,1.0,1.0,1.0
BZ=F,2.161172292254008,0.10739419571054176,0.42583070329152867,0.4459721998264885,0.5968169929401447,-0.7016633494285995,0.15305658446888862,-0.18341682893033984,9.285930263950467,0.5407407407407407,0.6733630637093366,-0.4788325685398722,Brent Crude Oil,Commodity,Petroleo,Global,Global,commodity,alternativos,33.0,44.0,39.0,41.0,41.0
MCHI,1.6695905706343304,0.0909287502587206,0.32146793739752466,0.4212573665081516,0.6779588682509161,-0.6386349561604804,0.14237985155931776,0.633954274914704,6.365446978727922,0.562962962962963,0.31617607112505874,-0.18121142352435937,iShares MSCI China ETF,ETF,China,Asia,China,etf,etfs,38.0,39.0,41.0,38.0,42.0
XLE,3.1005538632933547,0.13322746272850772,0.33112211854118406,0.5311917166445532,0.7594280325643569,-0.5875117704690302,0.2267656061122789,-0.06669399345237746,8.253581306462749,0.5777777777777777,0.3434237173781214,-0.24011789607631384,Energy Select Sector SPDR Fund,ETF,Energia,America do Norte,Estados Unidos,etf,etfs,22.0,40.0,29.0,31.0,36.0
^HSI,1.0320599806000814,0.06486081285429157,0.24288634174230878,0.37140445766295416,0.5661073653130169,-0.5705076180585202,0.11368965251510178,0.1716920948876467,3.908193625778415,0.5333333333333333,0.2663410607374044,-0.17528363391115276,Hang Seng,Equity Index,Broad Market,Asia,Hong Kong,indice,indices,42.0,22.0,43.0,42.0,44.0
ECH,1.9177473109296237,0.09955720024573922,0.30589356972994824,0.4530147275387302,0.6514580257622432,-0.525197288438819,0.1895615275198375,0.013689149159645966,5.333621691001527,0.6074074074074074,0.21103225895901967,-0.15614136015915558,iShares MSCI Chile ETF,ETF,Chile,America Latina,Chile,etf,etfs,36.0,38.0,38.0,39.0,39.0
EWY,5.155540801649649,0.17477249459854272,0.30567670634769917,0.6621095538591507,1.0007411005894176,-0.5168554965101997,0.3381457598470054,0.1732299800047484,4.5940094928522885,0.562962962962963,0.22470796012010608,-0.21400167970783968,iShares MSCI South Korea ETF,ETF,Coreia do Sul,Asia,Coreia do Sul,etf,etfs,11.0,37.0,16.0,16.0,21.0
SMAL11.SA,1.3998461214788205,0.08067769217323173,0.2578656770279912,0.42163785375190155,0.5169538300011589,-0.5105657495201594,0.158016263819213,-1.1356642039542901,13.280718394530966,0.562962962962963,0.17532461374245,-0.3748213015843871,iShares Small Caps ETF,ETF,Brasil Small Caps,Brasil,Brasil,etf,etfs,41.0,26.0,40.0,43.0,40.0
^KS11,3.3181085624988658,0.13843164004924624,0.23910732708864815,0.6437512813797917,0.9162862412758941,-0.5096752837319516,0.2716075204503152,0.11939359702952002,6.121812460905918,0.562962962962963,0.19196919108845445,-0.22008181607375865,Kospi,Equity Index,Broad Market,Asia,Coreia do Sul,indice,indices,19.0,18.0,19.0,19.0,31.0
000001.SS,1.0232292786163093,0.06449828669365054,0.24792024716811048,0.36793696099035084,0.49348898329982804,-0.49133701466271296,0.13127097037036084,-0.234965412903121,3.7359826224051367,0.5703703703703704,0.2680522575287747,-0.21509761919765935,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,43.0,23.0,44.0,44.0,43.0
EWH,2.131882213507084,0.10648091794221748,0.2550604791035878,0.5107253901731974,0.8045627595229518,-0.4706469198049591,0.2262437369957595,0.2749009974100284,2.655286437602204,0.5777777777777777,0.23808650110271246,-0.17728395753604698,iShares MSCI Hong Kong ETF,ETF,Hong Kong,Asia,Hong Kong,etf,etfs,34.0,25.0,31.0,29.0,37.0
BOVA11.SA,3.10198915563699,0.13326261337263112,0.23013532473078427,0.6414959187559933,0.8200003634725613,-0.4693169006552962,0.2839501692493061,-0.6138223379457874,13.384363376263392,0.6,0.1734619660884924,-0.3106361876142466,iShares Ibovespa ETF,ETF,Brasil Broad Market,Brasil,Brasil,etf,etfs,21.0,10.0,20.0,27.0,27.0
^BVSP,3.076055602222131,0.13262575903669638,0.2270142391053629,0.6448406563906245,0.8214129953120506,-0.46815808848136,0.2832926789045042,-0.6869959673666605,14.926714637237177,0.6,0.16967331868953583,-0.2990438889528856,Ibovespa,Equity Index,Broad Market,Brasil,Brasil,indice,indices,24.0,8.0,18.0,26.0,28.0
^TWII,6.259468889408863,0.1922265518066648,0.23218774417071925,0.8481049198508355,1.1871475185858857,-0.4594478173758001,0.4183860376235835,-0.027211803624575703,3.6711175183993583,0.6370370370370371,0.18781295140358645,-0.18882410160000107,Taiwan Weighted,Equity Index,Broad Market,Asia,Taiwan,indice,indices,8.0,11.0,6.0,8.0,13.0
