ticker_original,ticker_analitico,usou_proxy
000001.SS,000001.SS,False
ACWI,ACWI,False
ARGT,ARGT,False
BOVA11.SA,BOVA11.SA,False
BRL=X,BRL=X,False
BTC-USD,BTC-USD,False
BZ=F,BZ=F,False
ECH,ECH,False
ENZL,ENZL,False
EWA,EWA,False
EWG,EWG,False
EWH,EWH,False
EWJ,EWJ,False
EWT,EWT,False
EWU,EWU,False
EWW,EWW,False
EWY,EWY,False
EZA,EZA,False
FEZ,FEZ,False
GC=F,GC=F,False
GLD,GLD,False
IEMG,IEMG,False
INDA,INDA,False
MCHI,MCHI,False
QQQ,QQQ,False
SMAL11.SA,SMAL11.SA,False
SPY,SPY,False
USO,USO,False
VEA,VEA,False
VT,VT,False
XLE,XLE,False
^AXJO,^AXJO,False
^BVSP,^BVSP,False
^FTSE,^FTSE,False
^GDAXI,^GDAXI,False
^GSPC,^GSPC,False
^HSI,^HSI,False
^KS11,^KS11,False
^MXX,^MXX,False
^N225,^N225,False
^NDX,^NDX,False
^NSEI,^NSEI,False
^NZ50,^NZ50,False
^STOXX50E,^STOXX50E,False
^TWII,^TWII,False
