metrica,vencedor_media,qtd_comparacoes,qtd_sig_wilcoxon,qtd_sig_permutation,media_diff_media
cagr,markowitz_puro__max_sharpe,5,5,5,0.006361681323900972
cagr,markowitz_restrito__max_sharpe,4,4,4,-0.012603276123392999
cagr,equal_weight,3,2,2,0.006905150486437399
cagr,markowitz_puro__min_vol,2,0,0,0.0006769147221759292
cagr,markowitz_restrito__min_vol,1,0,0,0.0009437400975834479
calmar,markowitz_puro__max_sharpe,5,5,5,0.08151650724224357
calmar,markowitz_puro__min_vol,4,3,3,0.08242131920140669
calmar,markowitz_restrito__max_sharpe,3,3,3,-0.03594605519256678
calmar,markowitz_restrito__min_vol,2,0,1,-0.01680670943727838
calmar,hrp,1,0,0,-0.033613418874556766
max_drawdown,markowitz_puro__min_vol,5,5,5,0.020517989889535883
max_drawdown,markowitz_restrito__min_vol,2,2,2,-0.0019098105039532078
max_drawdown,hrp,3,1,2,-0.013679611794174531
max_drawdown,markowitz_puro__max_sharpe,4,0,1,0.002070986921843975
max_drawdown,markowitz_restrito__max_sharpe,1,0,0,-0.003819621007906416
retorno_total,markowitz_puro__max_sharpe,5,5,5,0.40990134006351353
retorno_total,markowitz_restrito__max_sharpe,4,4,4,-0.8215430008547264
retorno_total,equal_weight,3,2,2,0.3329193318832186
retorno_total,markowitz_puro__min_vol,2,0,0,0.030835899632251595
retorno_total,markowitz_restrito__min_vol,1,0,0,0.039448149599060685
sharpe,markowitz_puro__max_sharpe,5,5,5,0.06032582997396696
sharpe,markowitz_puro__min_vol,4,3,3,0.028798242455101215
sharpe,markowitz_restrito__max_sharpe,3,3,3,-0.033277672535078115
sharpe,markowitz_restrito__min_vol,2,1,2,0.002690406528629759
sharpe,equal_weight,1,0,0,0.005380813057259518
sortino,markowitz_puro__max_sharpe,5,5,5,0.13948162021551438
sortino,markowitz_restrito__max_sharpe,4,3,3,-0.12469479140492465
sortino,markowitz_puro__min_vol,3,2,2,0.08075767701176906
sortino,equal_weight,2,0,0,0.025256291258389057
sortino,markowitz_restrito__min_vol,1,0,0,0.0324197403680949
vol_anual,markowitz_puro__min_vol,5,5,5,-0.008717666816488955
vol_anual,hrp,3,2,2,0.004308225669921189
vol_anual,markowitz_restrito__min_vol,4,2,2,0.0006233312715697315
vol_anual,markowitz_puro__max_sharpe,2,0,0,0.0003215058997403065
vol_anual,markowitz_restrito__max_sharpe,1,0,0,0.000643011799480613
