ticker,retorno_total,cagr,volatilidade,sharpe,sortino,max_drawdown,calmar,skew,kurtosis,pct_meses_positivos,melhor_mes,pior_mes,nome_ativo,classe,subclasse,regiao,pais,tipo_ativo,grupo_universo,rank_cagr,rank_vol,rank_sharpe,rank_sortino,rank_calmar
BTC-USD,446.6089019574228,0.7177219477098207,0.6779398849397789,1.1125834988804335,1.5383235195466016,-0.8009863458240699,0.8960476685422331,0.01833958500657166,5.579820746999323,0.5851851851851851,0.7777619642376055,-0.3654658395443061,Bitcoin USD,Crypto,Bitcoin,Global,Global,cripto,alternativos,1.0,45.0,1.0,1.0,1.0
QQQ,11.650277996552104,0.25222010483926693,0.27573073689977334,0.9262854132040381,1.3825491138153174,-0.4116513062809307,0.6127032782136728,0.29823649621754544,4.45359058453184,0.6444444444444445,0.19789118791462168,-0.15826952709207753,Invesco QQQ Trust,ETF,US Tech/Growth,America do Norte,Estados Unidos,etf,etfs,2.0,33.0,2.0,2.0,5.0
^NDX,10.638310114131714,0.2430005375936295,0.2773844873883059,0.8966371090607655,1.3378863250061472,-0.4148590134768877,0.5857424563517827,0.29364973152555524,4.396495932490119,0.6444444444444445,0.19592542009766167,-0.15886093447100613,Nasdaq 100,Equity Index,Tech/Growth,America do Norte,Estados Unidos,indice,indices,3.0,34.0,3.0,3.0,6.0
ARGT,9.717501479809556,0.23395304439631603,0.342389776009351,0.765740963061197,1.096651317655911,-0.4440216283826557,0.5268956047219764,-0.17769579384510845,9.810806537949503,0.5703703703703704,0.3683991282711585,-0.23767435610569554,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,4.0,41.0,10.0,12.0,9.0
EWT,7.746556239445969,0.2119266629446328,0.26731712177213424,0.8287322231180331,1.2621378856833974,-0.4455772716486146,0.47562269538685015,0.1714808835701301,2.8520913243224535,0.6222222222222222,0.2151926448971011,-0.19074277055248479,iShares MSCI Taiwan ETF,ETF,Taiwan,Asia,Taiwan,etf,etfs,5.0,31.0,8.0,7.0,11.0
SPY,6.729839341881304,0.19872563279838218,0.24194121006934843,0.844992446980375,1.2670894214865114,-0.31572816190997477,0.6294200415832588,0.396707033411081,5.812351963381495,0.6222222222222222,0.18001515753050756,-0.142750100840767,SPDR S&P 500 ETF,ETF,US Broad Market,America do Norte,Estados Unidos,etf,etfs,6.0,20.0,7.0,6.0,4.0
GC=F,6.6353874924061556,0.19742013013752802,0.22610105241947295,0.883672301819946,1.3134313420157495,-0.2507121216055863,0.7874375154788253,-0.04362079147544058,3.699556485542874,0.6666666666666666,0.17213138847866793,-0.1254295472837238,Ouro Spot/Front,Commodity,Ouro,Global,Global,commodity,alternativos,7.0,6.0,4.0,4.0,2.0
^TWII,6.259468889408863,0.1922265518066648,0.23218774417071925,0.8481049198508355,1.1871475185858857,-0.4594478173758001,0.4183860376235835,-0.027211803624575703,3.6711175183993583,0.6370370370370371,0.18781295140358645,-0.18882410160000107,Taiwan Weighted,Equity Index,Broad Market,Asia,Taiwan,indice,indices,8.0,11.0,6.0,8.0,13.0
GLD,6.253952354067449,0.19199364627293392,0.2276835290515015,0.8597415899614758,1.3065571707272878,-0.25107401148253616,0.76468944411751,0.011625853790655906,2.9287986898560923,0.6592592592592592,0.18699840328396578,-0.12535146877262648,SPDR Gold Shares,ETF,Ouro,Global,Global,etf,etfs,9.0,9.0,5.0,5.0,3.0
^GSPC,5.410763817804463,0.1790101484275648,0.24269794145356474,0.7770344997059673,1.1626351745629806,-0.32024252811585574,0.5589830603723045,0.3809822084292649,5.8868469478281416,0.6,0.17854887594731217,-0.14302532735929208,S&P 500,Equity Index,Broad Market,America do Norte,Estados Unidos,indice,indices,10.0,21.0,9.0,9.0,7.0
EWY,5.155540801649649,0.17477249459854272,0.30567670634769917,0.6621095538591507,1.0007411005894176,-0.5168554965101997,0.3381457598470054,0.1732299800047484,4.5940094928522885,0.562962962962963,0.22470796012010608,-0.21400167970783968,iShares MSCI South Korea ETF,ETF,Coreia do Sul,Asia,Coreia do Sul,etf,etfs,11.0,37.0,16.0,16.0,21.0
ACWI,4.9477107889308405,0.17120174490798723,0.23646195239483198,0.764124076898622,1.1467601847364068,-0.32651563255933624,0.5243293975423229,0.3188815186262213,5.223074515416037,0.6148148148148148,0.1787630285525892,-0.1475653099068781,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,12.0,13.0,11.0,10.0,10.0
VT,4.938056430661572,0.17103312286861105,0.23733037312230984,0.761626028530992,1.1384594796175986,-0.3243914213063217,0.5272430515574734,0.30371242291643563,5.4998239532248725,0.6,0.1837186484894937,-0.15112698496534938,Vanguard Total World Stock ETF,ETF,Global Equity,Global,Global,etf,etfs,13.0,15.0,12.0,11.0,8.0
VEA,3.7936814581062803,0.14902284037545788,0.23755239620516833,0.6840176830830879,1.0187770187472582,-0.3518097605525592,0.4235892720582844,0.18129847762803453,4.8867055791444685,0.6074074074074074,0.18604136547055528,-0.15828272543861066,Vanguard FTSE Developed Markets ETF,ETF,Developed Markets,Global,Desenvolvidos,etf,etfs,14.0,16.0,13.0,15.0,12.0
^N225,3.6680140327349617,0.14643470510002166,0.23812911056929661,0.6732468399428136,1.0304769189323137,-0.4076872145239736,0.35918395250879454,0.4557295124211947,5.804897973454375,0.6148148148148148,0.17830117823737845,-0.1607376987091369,Nikkei 225,Equity Index,Broad Market,Asia,Japao,indice,indices,15.0,17.0,14.0,14.0,19.0
