ticker_1,ticker_2,correlacao,frequencia,universo,nome_ativo_1,classe_1,subclasse_1,regiao_1,pais_1,tipo_ativo_1,grupo_universo_1,nome_ativo_2,classe_2,subclasse_2,regiao_2,pais_2,tipo_ativo_2,grupo_universo_2,correlacao_abs
SPY,^GSPC,0.9998277669595609,mensal,equities_alternativos,SPDR S&P 500 ETF,ETF,US Broad Market,America do Norte,Estados Unidos,etf,etfs,S&P 500,Equity Index,Broad Market,America do Norte,Estados Unidos,indice,indices,0.9998277669595609
SPY,^GSPC,0.9998277669595609,mensal,equities,SPDR S&P 500 ETF,ETF,US Broad Market,America do Norte,Estados Unidos,etf,etfs,S&P 500,Equity Index,Broad Market,America do Norte,Estados Unidos,indice,indices,0.9998277669595609
SPY,^GSPC,0.9998277669595609,mensal,total,SPDR S&P 500 ETF,ETF,US Broad Market,America do Norte,Estados Unidos,etf,etfs,S&P 500,Equity Index,Broad Market,America do Norte,Estados Unidos,indice,indices,0.9998277669595609
QQQ,^NDX,0.9998068195859919,mensal,equities_alternativos,Invesco QQQ Trust,ETF,US Tech/Growth,America do Norte,Estados Unidos,etf,etfs,Nasdaq 100,Equity Index,Tech/Growth,America do Norte,Estados Unidos,indice,indices,0.9998068195859919
QQQ,^NDX,0.9998068195859919,mensal,total,Invesco QQQ Trust,ETF,US Tech/Growth,America do Norte,Estados Unidos,etf,etfs,Nasdaq 100,Equity Index,Tech/Growth,America do Norte,Estados Unidos,indice,indices,0.9998068195859919
QQQ,^NDX,0.9998068195859919,mensal,equities,Invesco QQQ Trust,ETF,US Tech/Growth,America do Norte,Estados Unidos,etf,etfs,Nasdaq 100,Equity Index,Tech/Growth,America do Norte,Estados Unidos,indice,indices,0.9998068195859919
SPY,^GSPC,0.9992449311917059,diaria,equities_alternativos,SPDR S&P 500 ETF,ETF,US Broad Market,America do Norte,Estados Unidos,etf,etfs,S&P 500,Equity Index,Broad Market,America do Norte,Estados Unidos,indice,indices,0.9992449311917059
SPY,^GSPC,0.9992449311917059,diaria,equities,SPDR S&P 500 ETF,ETF,US Broad Market,America do Norte,Estados Unidos,etf,etfs,S&P 500,Equity Index,Broad Market,America do Norte,Estados Unidos,indice,indices,0.9992449311917059
SPY,^GSPC,0.9992449311917059,diaria,total,SPDR S&P 500 ETF,ETF,US Broad Market,America do Norte,Estados Unidos,etf,etfs,S&P 500,Equity Index,Broad Market,America do Norte,Estados Unidos,indice,indices,0.9992449311917059
QQQ,^NDX,0.9991981918951396,diaria,total,Invesco QQQ Trust,ETF,US Tech/Growth,America do Norte,Estados Unidos,etf,etfs,Nasdaq 100,Equity Index,Tech/Growth,America do Norte,Estados Unidos,indice,indices,0.9991981918951396
QQQ,^NDX,0.9991981918951396,diaria,equities,Invesco QQQ Trust,ETF,US Tech/Growth,America do Norte,Estados Unidos,etf,etfs,Nasdaq 100,Equity Index,Tech/Growth,America do Norte,Estados Unidos,indice,indices,0.9991981918951396
QQQ,^NDX,0.9991981918951396,diaria,equities_alternativos,Invesco QQQ Trust,ETF,US Tech/Growth,America do Norte,Estados Unidos,etf,etfs,Nasdaq 100,Equity Index,Tech/Growth,America do Norte,Estados Unidos,indice,indices,0.9991981918951396
ACWI,VT,0.9985141806554287,mensal,equities,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Vanguard Total World Stock ETF,ETF,Global Equity,Global,Global,etf,etfs,0.9985141806554287
ACWI,VT,0.9985141806554287,mensal,equities_alternativos,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Vanguard Total World Stock ETF,ETF,Global Equity,Global,Global,etf,etfs,0.9985141806554287
ACWI,VT,0.9985141806554287,mensal,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Vanguard Total World Stock ETF,ETF,Global Equity,Global,Global,etf,etfs,0.9985141806554287
ACWI,VT,0.9983094729625286,diaria,equities_alternativos,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Vanguard Total World Stock ETF,ETF,Global Equity,Global,Global,etf,etfs,0.9983094729625286
ACWI,VT,0.9983094729625286,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Vanguard Total World Stock ETF,ETF,Global Equity,Global,Global,etf,etfs,0.9983094729625286
ACWI,VT,0.9983094729625286,diaria,equities,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Vanguard Total World Stock ETF,ETF,Global Equity,Global,Global,etf,etfs,0.9983094729625286
BOVA11.SA,^BVSP,0.9981374733952056,mensal,equities,iShares Ibovespa ETF,ETF,Brasil Broad Market,Brasil,Brasil,etf,etfs,Ibovespa,Equity Index,Broad Market,Brasil,Brasil,indice,indices,0.9981374733952056
BOVA11.SA,^BVSP,0.9981374733952056,mensal,equities_alternativos,iShares Ibovespa ETF,ETF,Brasil Broad Market,Brasil,Brasil,etf,etfs,Ibovespa,Equity Index,Broad Market,Brasil,Brasil,indice,indices,0.9981374733952056
