ticker,retorno_total,cagr,volatilidade,sharpe,sortino,max_drawdown,calmar,skew,kurtosis,pct_meses_positivos,melhor_mes,pior_mes,nome_ativo,classe,subclasse,regiao,pais,tipo_ativo,grupo_universo,rank_cagr,rank_vol,rank_sharpe,rank_sortino,rank_calmar
BTC-USD,441.1529167027492,0.7158558287619119,0.6779388357797108,1.111029494082588,1.5363538784885582,-0.8009863458240699,0.8937178923136647,0.018631764651235637,5.579881003708897,0.5851851851851851,0.7777619642376055,-0.3654658395443061,Bitcoin USD,Crypto,Bitcoin,Global,Global,cripto,alternativos,1.0,45.0,1.0,1.0,1.0
QQQ,11.579099750116656,0.2515940223116162,0.2757162161853137,0.9245645035839246,1.379907775058464,-0.4116511654266136,0.6111825823470641,0.2985410216929081,4.455238595722859,0.6444444444444445,0.19789203289040458,-0.15826953391296517,Invesco QQQ Trust,ETF,US Tech/Growth,America do Norte,Estados Unidos,etf,etfs,2.0,33.0,2.0,2.0,5.0
^NDX,10.571220391414567,0.24236378824110894,0.2773697427533412,0.8948824694278087,1.335197222183021,-0.4148590134768877,0.5842075991308101,0.29395955079206937,4.398150462427669,0.6444444444444445,0.19592542009766167,-0.15886093447100613,Nasdaq 100,Equity Index,Tech/Growth,America do Norte,Estados Unidos,indice,indices,3.0,34.0,3.0,3.0,6.0
GC=F,6.654366551662754,0.1976836336126322,0.2260986742283836,0.8846207925520841,1.3145966360454058,-0.2507121216055863,0.7884885355628032,-0.0437937217113161,3.6998471997606077,0.6666666666666666,0.17213138847866793,-0.1254295472837238,Ouro Spot/Front,Commodity,Ouro,Global,Global,commodity,alternativos,7.0,6.0,4.0,4.0,2.0
GLD,6.281579499031434,0.1923953171191446,0.22766766609446068,0.861217249560795,1.3087023893757137,-0.25107401148253616,0.7662892546428564,0.01152543764413568,2.930272795653336,0.6592592592592592,0.18699840328396578,-0.12535146877262648,SPDR Gold Shares,ETF,Ouro,Global,Global,etf,etfs,8.0,9.0,5.0,5.0,3.0
^TWII,6.259468889408863,0.1922265518066648,0.23218774417071925,0.8481049198508355,1.1871475185858857,-0.4594478173758001,0.4183860376235835,-0.027211803624575703,3.6711175183993583,0.6370370370370371,0.18781295140358645,-0.18882410160000107,Taiwan Weighted,Equity Index,Broad Market,Asia,Taiwan,indice,indices,9.0,11.0,6.0,8.0,13.0
SPY,6.714382826378873,0.19851299298911873,0.24193820122258258,0.8442905021718001,1.266021667705154,-0.31572811542033896,0.6287466440067652,0.3968453850098822,5.812835671591008,0.6222222222222222,0.1800144350615478,-0.14274989151016426,SPDR S&P 500 ETF,ETF,US Broad Market,America do Norte,Estados Unidos,etf,etfs,6.0,20.0,7.0,6.0,4.0
EWT,7.744212976863212,0.21189788227859818,0.26731681162791626,0.8286469156165415,1.2620064371488635,-0.44557730816635166,0.47555806454912264,0.17149645580677872,2.852124306889445,0.6222222222222222,0.2151926448971011,-0.19074277055248479,iShares MSCI Taiwan ETF,ETF,Taiwan,Asia,Taiwan,etf,etfs,5.0,31.0,8.0,7.0,11.0
^GSPC,5.397821532258915,0.17879899107202402,0.2426948751441455,0.7763272486428521,1.1615622769455856,-0.32024252811585574,0.5583236933707287,0.3811214513580997,5.887360994366164,0.6,0.17854887594731217,-0.14302532735929208,S&P 500,Equity Index,Broad Market,America do Norte,Estados Unidos,indice,indices,10.0,21.0,9.0,9.0,7.0
ARGT,9.711122237431251,0.23388792961024363,0.34239072346860705,0.7655906389629571,1.0964615084764089,-0.444021713860714,0.5267488555382055,-0.17766800741976962,9.810664880688382,0.5703703703703704,0.3683991282711585,-0.23767445378358143,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs,4.0,41.0,10.0,12.0,9.0
ACWI,4.938779162442342,0.17104575467718552,0.23646122879869302,0.7635807348702307,1.145941725696607,-0.32651570281272246,0.5238515428315897,0.31898625686361975,5.223202194968261,0.6148148148148148,0.17876245334428043,-0.14756561965845993,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,12.0,13.0,11.0,10.0,10.0
VT,4.931113736075754,0.17091170795816923,0.23733018111852275,0.7612037829284134,1.1378272104670653,-0.3243912288270341,0.52686907897038,0.3037929594730398,5.499885266500662,0.6,0.1837183618804179,-0.1511271102799998,Vanguard Total World Stock ETF,ETF,Global Equity,Global,Global,etf,etfs,13.0,15.0,12.0,11.0,8.0
VEA,3.7912203958412354,0.14897054403191157,0.23755334658370234,0.6838305501109542,1.0185251714279682,-0.351809728558801,0.42344066107032863,0.1813286969529368,4.8865718055135705,0.6074074074074074,0.18604153147747926,-0.15828286976222306,Vanguard FTSE Developed Markets ETF,ETF,Developed Markets,Global,Desenvolvidos,etf,etfs,14.0,16.0,13.0,15.0,12.0
^N225,3.6680140327349617,0.14643470510002166,0.23812911056929661,0.6732468399428136,1.0304769189323137,-0.4076872145239736,0.35918395250879454,0.4557295124211947,5.804897973454375,0.6148148148148148,0.17830117823737845,-0.1607376987091369,Nikkei 225,Equity Index,Broad Market,Asia,Japao,indice,indices,15.0,17.0,14.0,14.0,19.0
EWJ,3.604968925461942,0.1449399554218891,0.2402694800611211,0.6644465722181125,1.0434588097256134,-0.35000766739117306,0.41410508661772355,0.32567872753470234,2.8944560289652617,0.6296296296296297,0.20084328258029704,-0.16152312568870497,iShares MSCI Japan ETF,ETF,Japao,Asia,Japao,etf,etfs,17.0,19.0,15.0,13.0,14.0
