nome_ativo,ticker_yahoo,classe,subclasse,regiao,pais,moeda_original,tipo_ativo,categoria_html,observacoes,grupo_universo,nome_ativo_slug,ticker_slug
Ibovespa,^BVSP,Equity Index,Broad Market,Brasil,Brasil,BRL,indice,Indices Globais,Principal índice de ações do Brasil,indices,ibovespa,bvsp
Small Caps Brasil,SMLL.SA,Equity Index,Small Caps,Brasil,Brasil,BRL,indice,Indices Globais,Proxy de small caps brasileiras,indices,small_caps_brasil,smllsa
S&P 500,^GSPC,Equity Index,Broad Market,America do Norte,Estados Unidos,USD,indice,Indices Globais,Principal índice amplo dos EUA,indices,sp_500,gspc
Nasdaq 100,^NDX,Equity Index,Tech/Growth,America do Norte,Estados Unidos,USD,indice,Indices Globais,Índice concentrado em tecnologia e growth,indices,nasdaq_100,ndx
Mexico IPC,^MXX,Equity Index,Broad Market,America Latina,Mexico,MXN,indice,Indices Globais,Principal índice do México,indices,mexico_ipc,mxx
Chile IPSA,^IPSA,Equity Index,Broad Market,America Latina,Chile,CLP,indice,Indices Globais,Principal índice do Chile,indices,chile_ipsa,ipsa
Euro Stoxx 50,^STOXX50E,Equity Index,Broad Market,Europa,Zona do Euro,EUR,indice,Indices Globais,Índice de grandes empresas da zona do euro,indices,euro_stoxx_50,stoxx50e
FTSE 100,^FTSE,Equity Index,Broad Market,Europa,Reino Unido,GBP,indice,Indices Globais,Principal índice do Reino Unido,indices,ftse_100,ftse
DAX,^GDAXI,Equity Index,Broad Market,Europa,Alemanha,EUR,indice,Indices Globais,Principal índice da Alemanha,indices,dax,gdaxi
Nikkei 225,^N225,Equity Index,Broad Market,Asia,Japao,JPY,indice,Indices Globais,Principal índice do Japão,indices,nikkei_225,n225
Shanghai Composite,000001.SS,Equity Index,Broad Market,Asia,China,CNY,indice,Indices Globais,Índice amplo da bolsa de Xangai,indices,shanghai_composite,000001ss
Hang Seng,^HSI,Equity Index,Broad Market,Asia,Hong Kong,HKD,indice,Indices Globais,Principal índice de Hong Kong,indices,hang_seng,hsi
Kospi,^KS11,Equity Index,Broad Market,Asia,Coreia do Sul,KRW,indice,Indices Globais,Principal índice da Coreia do Sul,indices,kospi,ks11
Nifty 50,^NSEI,Equity Index,Broad Market,Asia,India,INR,indice,Indices Globais,Principal índice da Índia,indices,nifty_50,nsei
Taiwan Weighted,^TWII,Equity Index,Broad Market,Asia,Taiwan,TWD,indice,Indices Globais,Principal índice de Taiwan,indices,taiwan_weighted,twii
ASX 200,^AXJO,Equity Index,Broad Market,Oceania,Australia,AUD,indice,Indices Globais,Principal índice amplo da Austrália,indices,asx_200,axjo
NZX 50,^NZ50,Equity Index,Broad Market,Oceania,Nova Zelandia,NZD,indice,Indices Globais,Principal índice da Nova Zelândia,indices,nzx_50,nz50
South Africa Top 40,^JN0U.JO,Equity Index,Broad Market,Africa,Africa do Sul,ZAR,indice,Indices Globais,Proxy do mercado acionário sul-africano,indices,south_africa_top_40,jn0ujo
iShares Ibovespa ETF,BOVA11.SA,ETF,Brasil Broad Market,Brasil,Brasil,BRL,etf,ETFs Investiveis,ETF do Ibovespa,etfs,ishares_ibovespa_etf,bova11sa
iShares Small Caps ETF,SMAL11.SA,ETF,Brasil Small Caps,Brasil,Brasil,BRL,etf,ETFs Investiveis,ETF de Small Caps Brasil,etfs,ishares_small_caps_etf,smal11sa
Vanguard Total World Stock ETF,VT,ETF,Global Equity,Global,Global,USD,etf,ETFs Investiveis,ETF global amplo,etfs,vanguard_total_world_stock_etf,vt
iShares MSCI ACWI ETF,ACWI,ETF,Global Equity,Global,Global,USD,etf,ETFs Investiveis,ETF global amplo alternativo,etfs,ishares_msci_acwi_etf,acwi
