carteira,tipo,coluna_retorno,n_ativos_universo,n_ativos_validos,n_ativos_com_peso,periodo_inicio,periodo_fim,n_meses,metodo_ligacao,distancia,n_clusters_finais,ativos_universo,ativos_validos,ordem_hrp
etfs_america_norte,hrp,etfs_america_norte,3,3,3,2015-02-28,2026-04-30,135,single,correlacao,3,QQQ | SPY | XLE,QQQ | SPY | XLE,XLE | QQQ | SPY
etfs_asia,hrp,etfs_asia,6,6,6,2015-02-28,2026-04-30,135,single,correlacao,6,EWH | EWJ | EWT | EWY | INDA | MCHI,EWH | EWJ | EWT | EWY | INDA | MCHI,EWH | MCHI | INDA | EWJ | EWT | EWY
etfs_brasil,hrp,etfs_brasil,2,2,2,2015-02-28,2026-04-30,135,single,correlacao,2,BOVA11.SA | SMAL11.SA,BOVA11.SA | SMAL11.SA,BOVA11.SA | SMAL11.SA
etfs_com_btc,hrp,etfs_com_btc,25,25,25,2015-02-28,2026-04-30,135,single,correlacao,25,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | BTC-USD,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | BTC-USD,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo,26,26,26,2015-02-28,2026-04-30,135,single,correlacao,26,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | BTC-USD | USO,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | BTC-USD | USO,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_ouro,hrp,etfs_com_ouro,25,25,25,2015-02-28,2026-04-30,135,single,correlacao,25,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD,BOVA11.SA | SMAL11.SA | ARGT | GLD | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc,26,26,26,2015-02-28,2026-04-30,135,single,correlacao,26,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | BTC-USD,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | BTC-USD,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | GLD | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo,26,26,26,2015-02-28,2026-04-30,135,single,correlacao,26,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | USO,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | USO,BOVA11.SA | SMAL11.SA | ARGT | GLD | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_petroleo,hrp,etfs_com_petroleo,25,25,25,2015-02-28,2026-04-30,135,single,correlacao,25,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | USO,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | USO,BOVA11.SA | SMAL11.SA | ARGT | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_tudo,hrp,etfs_com_tudo,27,27,27,2015-02-28,2026-04-30,135,single,correlacao,27,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | BTC-USD | USO,ACWI | ARGT | BOVA11.SA | ECH | ENZL | EWA | EWG | EWH | EWJ | EWT | EWU | EWW | EWY | EZA | FEZ | IEMG | INDA | MCHI | QQQ | SMAL11.SA | SPY | VEA | VT | XLE | GLD | BTC-USD | USO,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | GLD | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
