secao,secao_titulo,arquivo_stem,titulo_tabela,caminho_csv
00_manifestos,Manifestos e catálogos,carteiras_hrp_manifesto,Carteiras Hrp Manifesto,resultados/tabelas_finais/00_manifestos/carteiras_hrp_manifesto.csv
00_manifestos,Manifestos e catálogos,carteiras_markowitz_puro_manifesto,Carteiras Markowitz Puro Manifesto,resultados/tabelas_finais/00_manifestos/carteiras_markowitz_puro_manifesto.csv
00_manifestos,Manifestos e catálogos,carteiras_markowitz_restrito_manifesto,Carteiras Markowitz Restrito Manifesto,resultados/tabelas_finais/00_manifestos/carteiras_markowitz_restrito_manifesto.csv
01_universo_ativos,Universo de ativos,carteiras_composicao,Carteiras Composicao,resultados/tabelas_finais/01_universo_ativos/carteiras_composicao.csv
01_universo_ativos,Universo de ativos,final_classificacao_ativos,Final Classificacao Ativos,resultados/tabelas_finais/01_universo_ativos/final_classificacao_ativos.csv
01_universo_ativos,Universo de ativos,final_pca_etfs,Final Pca Etfs,resultados/tabelas_finais/01_universo_ativos/final_pca_etfs.csv
01_universo_ativos,Universo de ativos,final_pca_indices,Final Pca Indices,resultados/tabelas_finais/01_universo_ativos/final_pca_indices.csv
01_universo_ativos,Universo de ativos,metricas_completas,Metricas Completas,resultados/tabelas_finais/01_universo_ativos/metricas_completas.csv
01_universo_ativos,Universo de ativos,metricas_finais_ativos,Metricas Finais Ativos,resultados/tabelas_finais/01_universo_ativos/metricas_finais_ativos.csv
01_universo_ativos,Universo de ativos,metricas_iniciais_ativos,Metricas Iniciais Ativos,resultados/tabelas_finais/01_universo_ativos/metricas_iniciais_ativos.csv
01_universo_ativos,Universo de ativos,metricas_pos_alinhamento,Metricas Pos Alinhamento,resultados/tabelas_finais/01_universo_ativos/metricas_pos_alinhamento.csv
01_universo_ativos,Universo de ativos,resumo_conversao_brl,Resumo Conversao Brl,resultados/tabelas_finais/01_universo_ativos/resumo_conversao_brl.csv
01_universo_ativos,Universo de ativos,resumo_universo_por_grupo,Resumo Universo Por Grupo,resultados/tabelas_finais/01_universo_ativos/resumo_universo_por_grupo.csv
01_universo_ativos,Universo de ativos,resumo_universo_por_moeda,Resumo Universo Por Moeda,resultados/tabelas_finais/01_universo_ativos/resumo_universo_por_moeda.csv
01_universo_ativos,Universo de ativos,resumo_universo_por_tipo,Resumo Universo Por Tipo,resultados/tabelas_finais/01_universo_ativos/resumo_universo_por_tipo.csv
02_equal_weight,Equal Weight,carteiras_equal_weight_base100,Carteiras Equal Weight Base100,resultados/tabelas_finais/02_equal_weight/carteiras_equal_weight_base100.csv
02_equal_weight,Equal Weight,carteiras_equal_weight_base100_long,Carteiras Equal Weight Base100 Long,resultados/tabelas_finais/02_equal_weight/carteiras_equal_weight_base100_long.csv
02_equal_weight,Equal Weight,carteiras_equal_weight_drawdown,Carteiras Equal Weight Drawdown,resultados/tabelas_finais/02_equal_weight/carteiras_equal_weight_drawdown.csv
02_equal_weight,Equal Weight,carteiras_equal_weight_drawdown_long,Carteiras Equal Weight Drawdown Long,resultados/tabelas_finais/02_equal_weight/carteiras_equal_weight_drawdown_long.csv
02_equal_weight,Equal Weight,metricas_carteiras_equal_weight,Metricas Carteiras Equal Weight,resultados/tabelas_finais/02_equal_weight/metricas_carteiras_equal_weight.csv
02_equal_weight,Equal Weight,ranking_carteiras_equal_weight_cagr,Ranking Carteiras Equal Weight Cagr,resultados/tabelas_finais/02_equal_weight/ranking_carteiras_equal_weight_cagr.csv
02_equal_weight,Equal Weight,ranking_carteiras_equal_weight_drawdown,Ranking Carteiras Equal Weight Drawdown,resultados/tabelas_finais/02_equal_weight/ranking_carteiras_equal_weight_drawdown.csv
02_equal_weight,Equal Weight,ranking_carteiras_equal_weight_sharpe,Ranking Carteiras Equal Weight Sharpe,resultados/tabelas_finais/02_equal_weight/ranking_carteiras_equal_weight_sharpe.csv
02_equal_weight,Equal Weight,resumo_visual_carteiras_equal_weight,Resumo Visual Carteiras Equal Weight,resultados/tabelas_finais/02_equal_weight/resumo_visual_carteiras_equal_weight.csv
03_markowitz_puro,Markowitz puro,carteiras_markowitz_puro_base100,Carteiras Markowitz Puro Base100,resultados/tabelas_finais/03_markowitz_puro/carteiras_markowitz_puro_base100.csv
03_markowitz_puro,Markowitz puro,carteiras_markowitz_puro_base100_long,Carteiras Markowitz Puro Base100 Long,resultados/tabelas_finais/03_markowitz_puro/carteiras_markowitz_puro_base100_long.csv
03_markowitz_puro,Markowitz puro,carteiras_markowitz_puro_drawdown,Carteiras Markowitz Puro Drawdown,resultados/tabelas_finais/03_markowitz_puro/carteiras_markowitz_puro_drawdown.csv
03_markowitz_puro,Markowitz puro,carteiras_markowitz_puro_drawdown_long,Carteiras Markowitz Puro Drawdown Long,resultados/tabelas_finais/03_markowitz_puro/carteiras_markowitz_puro_drawdown_long.csv
03_markowitz_puro,Markowitz puro,carteiras_markowitz_puro_heatmap_pesos,Carteiras Markowitz Puro Heatmap Pesos,resultados/tabelas_finais/03_markowitz_puro/carteiras_markowitz_puro_heatmap_pesos.csv
03_markowitz_puro,Markowitz puro,carteiras_markowitz_puro_pesos_pct,Carteiras Markowitz Puro Pesos Pct,resultados/tabelas_finais/03_markowitz_puro/carteiras_markowitz_puro_pesos_pct.csv
03_markowitz_puro,Markowitz puro,carteiras_markowitz_puro_pesos_pct_wide,Carteiras Markowitz Puro Pesos Pct Wide,resultados/tabelas_finais/03_markowitz_puro/carteiras_markowitz_puro_pesos_pct_wide.csv
03_markowitz_puro,Markowitz puro,carteiras_markowitz_puro_pesos_raw,Carteiras Markowitz Puro Pesos Raw,resultados/tabelas_finais/03_markowitz_puro/carteiras_markowitz_puro_pesos_raw.csv
03_markowitz_puro,Markowitz puro,carteiras_markowitz_puro_top10_pesos,Carteiras Markowitz Puro Top10 Pesos,resultados/tabelas_finais/03_markowitz_puro/carteiras_markowitz_puro_top10_pesos.csv
03_markowitz_puro,Markowitz puro,carteiras_markowitz_puro_top_pesos,Carteiras Markowitz Puro Top Pesos,resultados/tabelas_finais/03_markowitz_puro/carteiras_markowitz_puro_top_pesos.csv
03_markowitz_puro,Markowitz puro,carteiras_markowitz_puro_validacao_soma_pesos,Carteiras Markowitz Puro Validacao Soma Pesos,resultados/tabelas_finais/03_markowitz_puro/carteiras_markowitz_puro_validacao_soma_pesos.csv
03_markowitz_puro,Markowitz puro,metricas_markowitz_puro,Metricas Markowitz Puro,resultados/tabelas_finais/03_markowitz_puro/metricas_markowitz_puro.csv
03_markowitz_puro,Markowitz puro,metricas_markowitz_puro_exibicao,Metricas Markowitz Puro Exibicao,resultados/tabelas_finais/03_markowitz_puro/metricas_markowitz_puro_exibicao.csv
03_markowitz_puro,Markowitz puro,metricas_pesos_markowitz_puro,Metricas Pesos Markowitz Puro,resultados/tabelas_finais/03_markowitz_puro/metricas_pesos_markowitz_puro.csv
03_markowitz_puro,Markowitz puro,ranking_markowitz_puro_cagr,Ranking Markowitz Puro Cagr,resultados/tabelas_finais/03_markowitz_puro/ranking_markowitz_puro_cagr.csv
