ativo,pc1,pc2
000001.SS,-3.9496230798882785,-6.500356277459912
ACWI,-2.995393239835258,2.1900282682657237
ARGT,6.544002719767349,11.767444044176706
BOVA11.SA,16.215923451823787,-2.408697182107265
BRL=X,-5.971215590980527,0.8879784161186338
ECH,6.581831346142583,-2.2268839643335343
ENZL,-2.0090672521864636,1.034361036614746
EWA,-0.8588817934568629,1.7902804613797363
EWG,-1.5992000177444265,2.454303869065804
EWH,-2.8869773162286587,-5.411841598907386
EWJ,-3.962333549712101,1.4189217057108618
EWT,-2.9276856994347424,-2.1167874570434946
EWU,-2.423370000595057,1.8371576801191942
EWW,1.4215828616023756,3.027717052744613
EWY,-0.16121935507562196,-3.5583016720515155
EZA,4.49272239963347,-3.331962772652737
FEZ,-1.6876341233796455,2.576615931500031
IEMG,-0.8538688062103682,-3.580875668481075
INDA,-3.090092317049765,1.0838836390729194
MCHI,-3.91398556471592,-10.023124250374877
QQQ,-4.1859568714683935,3.428190052851073
SMAL11.SA,17.1611981610805,-1.6524100885050532
SPY,-3.7019342842524288,3.48633505723934
VEA,-2.3093487100957373,1.647428591106096
VT,-2.929473367739803,2.1805951259513807
