ativo,pc1,pc2
^AXJO,0.10507075060083208,-0.3929325746356171
^BVSP,20.071199497501404,-1.3579178981969746
^FTSE,-1.2001070146064878,1.0317418808342134
^GDAXI,-1.5769038514594869,3.713905091399345
^GSPC,-4.001892811530477,1.414985075754779
^HSI,-0.586950053461852,-11.328868534729379
^KS11,-0.44713538356373705,-0.9775813405928268
^MXX,3.236613943282636,9.117787110814335
^N225,-3.3051857184873876,1.5475650083645478
^NDX,-5.087634177534216,0.19989562814988604
^NSEI,-1.3359285565366525,-0.1298196482521813
^NZ50,-1.4538814055760665,-3.502823674936935
^STOXX50E,-1.3966188900840746,3.8965086092294214
^TWII,-3.0206463285444367,-3.2324447332026147
