data,carteira,base100
2015-02-28,etfs_com_tudo__max_sharpe,111.1933635390612
2015-03-31,etfs_com_tudo__max_sharpe,116.97721470947029
2015-04-30,etfs_com_tudo__max_sharpe,115.32664051373975
2015-05-31,etfs_com_tudo__max_sharpe,119.23844626767695
2015-06-30,etfs_com_tudo__max_sharpe,117.95326475753909
2015-07-31,etfs_com_tudo__max_sharpe,119.71866118068704
2015-08-31,etfs_com_tudo__max_sharpe,120.83963167413611
2015-09-30,etfs_com_tudo__max_sharpe,128.52059606491352
2015-10-31,etfs_com_tudo__max_sharpe,130.9848762485034
2015-11-30,etfs_com_tudo__max_sharpe,127.57843462075063
2015-12-31,etfs_com_tudo__max_sharpe,128.2337517869516
2016-01-31,etfs_com_tudo__max_sharpe,126.99816163593256
2016-02-29,etfs_com_tudo__max_sharpe,133.10522391392124
2016-03-31,etfs_com_tudo__max_sharpe,132.71512408523924
2016-04-30,etfs_com_tudo__max_sharpe,136.63397365297038
2016-05-31,etfs_com_tudo__max_sharpe,134.72731974404073
2016-06-30,etfs_com_tudo__max_sharpe,134.5022716959711
2016-07-31,etfs_com_tudo__max_sharpe,141.15161890401268
2016-08-31,etfs_com_tudo__max_sharpe,138.2489100157684
2016-09-30,etfs_com_tudo__max_sharpe,141.34785124468888
2016-10-31,etfs_com_tudo__max_sharpe,143.59459327800738
2016-11-30,etfs_com_tudo__max_sharpe,145.3999009111326
2016-12-31,etfs_com_tudo__max_sharpe,140.75878081234725
2017-01-31,etfs_com_tudo__max_sharpe,143.83800589462558
2017-02-28,etfs_com_tudo__max_sharpe,149.7008427260564
2017-03-31,etfs_com_tudo__max_sharpe,148.5311471739922
2017-04-30,etfs_com_tudo__max_sharpe,153.86825167932417
2017-05-31,etfs_com_tudo__max_sharpe,162.50143351405387
2017-06-30,etfs_com_tudo__max_sharpe,162.8216890885192
2017-07-31,etfs_com_tudo__max_sharpe,165.81184430222063
2017-08-31,etfs_com_tudo__max_sharpe,178.5480368672531
2017-09-30,etfs_com_tudo__max_sharpe,179.49194768293148
2017-10-31,etfs_com_tudo__max_sharpe,191.38129102255547
2017-11-30,etfs_com_tudo__max_sharpe,196.64062193875046
2017-12-31,etfs_com_tudo__max_sharpe,210.96219596750254
2018-01-31,etfs_com_tudo__max_sharpe,215.05465595238897
2018-02-28,etfs_com_tudo__max_sharpe,215.99555730908318
2018-03-31,etfs_com_tudo__max_sharpe,214.16608488095537
2018-04-30,etfs_com_tudo__max_sharpe,226.0945481780277
2018-05-31,etfs_com_tudo__max_sharpe,228.2090038602012
2018-06-30,etfs_com_tudo__max_sharpe,226.97535910341566
2018-07-31,etfs_com_tudo__max_sharpe,229.12223096318917
2018-08-31,etfs_com_tudo__max_sharpe,244.0192772804838
2018-09-30,etfs_com_tudo__max_sharpe,240.12226146261116
2018-10-31,etfs_com_tudo__max_sharpe,230.48818597323182
2018-11-30,etfs_com_tudo__max_sharpe,230.0402523945368
2018-12-31,etfs_com_tudo__max_sharpe,228.23950063907716
2019-01-31,etfs_com_tudo__max_sharpe,235.17428572797127
2019-02-28,etfs_com_tudo__max_sharpe,240.3460884817911
2019-03-31,etfs_com_tudo__max_sharpe,248.26746149666815
2019-04-30,etfs_com_tudo__max_sharpe,258.96438188307394
2019-05-31,etfs_com_tudo__max_sharpe,267.3570594722523
2019-06-30,etfs_com_tudo__max_sharpe,280.09652816514847
2019-07-31,etfs_com_tudo__max_sharpe,279.3029694445162
2019-08-31,etfs_com_tudo__max_sharpe,305.0643269709604
2019-09-30,etfs_com_tudo__max_sharpe,301.0446185478836
2019-10-31,etfs_com_tudo__max_sharpe,301.5106797015706
2019-11-30,etfs_com_tudo__max_sharpe,308.0248538830459
2019-12-31,etfs_com_tudo__max_sharpe,312.6086932489474
2020-01-31,etfs_com_tudo__max_sharpe,333.77946189827696
2020-02-29,etfs_com_tudo__max_sharpe,329.9983190221701
2020-03-31,etfs_com_tudo__max_sharpe,309.66176846739256
2020-04-30,etfs_com_tudo__max_sharpe,341.7305160645477
2020-05-31,etfs_com_tudo__max_sharpe,371.68985804800997
2020-06-30,etfs_com_tudo__max_sharpe,390.7746142720844
2020-07-31,etfs_com_tudo__max_sharpe,415.68849170143176
2020-08-31,etfs_com_tudo__max_sharpe,433.95061637113986
2020-09-30,etfs_com_tudo__max_sharpe,424.5626591161443
2020-10-31,etfs_com_tudo__max_sharpe,433.7882057714111
2020-11-30,etfs_com_tudo__max_sharpe,448.2349469779906
2020-12-31,etfs_com_tudo__max_sharpe,484.69767057298793
2021-01-31,etfs_com_tudo__max_sharpe,495.0649244200313
2021-02-28,etfs_com_tudo__max_sharpe,499.39602087126343
2021-03-31,etfs_com_tudo__max_sharpe,533.1455271726849
2021-04-30,etfs_com_tudo__max_sharpe,521.933515900154
2021-05-31,etfs_com_tudo__max_sharpe,528.8667092992862
2021-06-30,etfs_com_tudo__max_sharpe,501.7818365920342
2021-07-31,etfs_com_tudo__max_sharpe,519.3423039868294
2021-08-31,etfs_com_tudo__max_sharpe,529.1420790283007
2021-09-30,etfs_com_tudo__max_sharpe,523.251586559789
2021-10-31,etfs_com_tudo__max_sharpe,556.5998593122387
2021-11-30,etfs_com_tudo__max_sharpe,543.0732011348175
2021-12-31,etfs_com_tudo__max_sharpe,551.2012023165518
2022-01-31,etfs_com_tudo__max_sharpe,536.8430590368835
2022-02-28,etfs_com_tudo__max_sharpe,539.8679403596947
2022-03-31,etfs_com_tudo__max_sharpe,533.0746547273278
2022-04-30,etfs_com_tudo__max_sharpe,507.1549600480092
2022-05-31,etfs_com_tudo__max_sharpe,490.1956812812318
2022-06-30,etfs_com_tudo__max_sharpe,476.9852083486553
2022-07-31,etfs_com_tudo__max_sharpe,493.5510967660262
2022-08-31,etfs_com_tudo__max_sharpe,483.0205987263484
2022-09-30,etfs_com_tudo__max_sharpe,482.63453989693863
2022-10-31,etfs_com_tudo__max_sharpe,488.2863399003507
2022-11-30,etfs_com_tudo__max_sharpe,497.22276330306335
2022-12-31,etfs_com_tudo__max_sharpe,491.8434059953406
2023-01-31,etfs_com_tudo__max_sharpe,518.143643745955
2023-02-28,etfs_com_tudo__max_sharpe,499.0256997283738
2023-03-31,etfs_com_tudo__max_sharpe,518.0858984623842
2023-04-30,etfs_com_tudo__max_sharpe,517.3388469630789
2023-05-31,etfs_com_tudo__max_sharpe,525.765102006402
2023-06-30,etfs_com_tudo__max_sharpe,533.5684447457098
2023-07-31,etfs_com_tudo__max_sharpe,540.5414757748338
2023-08-31,etfs_com_tudo__max_sharpe,538.293736894425
2023-09-30,etfs_com_tudo__max_sharpe,539.6504925743374
2023-10-31,etfs_com_tudo__max_sharpe,557.366844208312
2023-11-30,etfs_com_tudo__max_sharpe,584.2925216655146
2023-12-31,etfs_com_tudo__max_sharpe,600.7439043970028
2024-01-31,etfs_com_tudo__max_sharpe,601.5647383674177
2024-02-29,etfs_com_tudo__max_sharpe,630.3498857489091
2024-03-31,etfs_com_tudo__max_sharpe,664.5176443862387
2024-04-30,etfs_com_tudo__max_sharpe,669.0853546644524
2024-05-31,etfs_com_tudo__max_sharpe,685.1251221036964
2024-06-30,etfs_com_tudo__max_sharpe,722.1792844664709
2024-07-31,etfs_com_tudo__max_sharpe,753.0964693561534
2024-08-31,etfs_com_tudo__max_sharpe,771.6835698954532
2024-09-30,etfs_com_tudo__max_sharpe,764.8691608007124
2024-10-31,etfs_com_tudo__max_sharpe,814.3173339622164
2024-11-30,etfs_com_tudo__max_sharpe,848.67854087451
2024-12-31,etfs_com_tudo__max_sharpe,851.1373889939598
2025-01-31,etfs_com_tudo__max_sharpe,866.470928873858
2025-02-28,etfs_com_tudo__max_sharpe,846.5411838178806
2025-03-31,etfs_com_tudo__max_sharpe,875.3182049421879
2025-04-30,etfs_com_tudo__max_sharpe,888.4956608206624
2025-05-31,etfs_com_tudo__max_sharpe,921.6154827311298
2025-06-30,etfs_com_tudo__max_sharpe,921.6480397378975
2025-07-31,etfs_com_tudo__max_sharpe,932.5527795291634
2025-08-31,etfs_com_tudo__max_sharpe,944.3679486357379
2025-09-30,etfs_com_tudo__max_sharpe,997.023480838717
2025-10-31,etfs_com_tudo__max_sharpe,1030.5494827152681
2025-11-30,etfs_com_tudo__max_sharpe,1053.0301570900115
2025-12-31,etfs_com_tudo__max_sharpe,1077.8751614354662
2026-01-31,etfs_com_tudo__max_sharpe,1135.5549263558846
2026-02-28,etfs_com_tudo__max_sharpe,1166.5987742364168
2026-03-31,etfs_com_tudo__max_sharpe,1167.5780805208472
2026-04-30,etfs_com_tudo__max_sharpe,1177.1228652103905
2015-02-28,etfs_com_ouro_btc__max_sharpe,111.49183625721584
2015-03-31,etfs_com_ouro_btc__max_sharpe,117.65874919310326
2015-04-30,etfs_com_ouro_btc__max_sharpe,115.02042174368047
2015-05-31,etfs_com_ouro_btc__max_sharpe,118.61010724967203
2015-06-30,etfs_com_ouro_btc__max_sharpe,117.34796405250071
2015-07-31,etfs_com_ouro_btc__max_sharpe,120.45128398767575
2015-08-31,etfs_com_ouro_btc__max_sharpe,120.83928536856578
2015-09-30,etfs_com_ouro_btc__max_sharpe,128.464857181335
2015-10-31,etfs_com_ouro_btc__max_sharpe,131.97304364893793
2015-11-30,etfs_com_ouro_btc__max_sharpe,129.62452946220392
2015-12-31,etfs_com_ouro_btc__max_sharpe,131.0625855298409
2016-01-31,etfs_com_ouro_btc__max_sharpe,130.31362200338296
2016-02-29,etfs_com_ouro_btc__max_sharpe,137.2774295443272
2016-03-31,etfs_com_ouro_btc__max_sharpe,137.21406813560205
2016-04-30,etfs_com_ouro_btc__max_sharpe,140.40123245420924
