carteira,tipo,coluna_retorno,carteira_tipo,ativo,peso,peso_pct
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,etfs_america_norte__max_sharpe,QQQ,0.846594985775639,84.6595
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,etfs_america_norte__max_sharpe,XLE,0.15340501422436098,15.3405
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,etfs_america_norte__max_sharpe,SPY,5.219763095781487e-17,0.0
etfs_america_norte,min_vol,etfs_america_norte__min_vol,etfs_america_norte__min_vol,SPY,0.8701150407036536,87.0115
etfs_america_norte,min_vol,etfs_america_norte__min_vol,etfs_america_norte__min_vol,XLE,0.12988495929634616,12.9885
etfs_america_norte,min_vol,etfs_america_norte__min_vol,etfs_america_norte__min_vol,QQQ,2.262033256791786e-16,0.0
etfs_asia,max_sharpe,etfs_asia__max_sharpe,etfs_asia__max_sharpe,EWT,0.7877178021579947,78.7718
etfs_asia,max_sharpe,etfs_asia__max_sharpe,etfs_asia__max_sharpe,EWJ,0.21228219784200528,21.2282
etfs_asia,max_sharpe,etfs_asia__max_sharpe,etfs_asia__max_sharpe,EWH,9.501889272158795e-17,0.0
etfs_asia,max_sharpe,etfs_asia__max_sharpe,etfs_asia__max_sharpe,MCHI,2.220100221123556e-17,0.0
etfs_asia,max_sharpe,etfs_asia__max_sharpe,etfs_asia__max_sharpe,EWY,0.0,0.0
etfs_asia,max_sharpe,etfs_asia__max_sharpe,etfs_asia__max_sharpe,INDA,0.0,0.0
etfs_asia,min_vol,etfs_asia__min_vol,etfs_asia__min_vol,EWJ,0.47898257915048364,47.8983
etfs_asia,min_vol,etfs_asia__min_vol,etfs_asia__min_vol,EWH,0.262304586264225,26.2305
etfs_asia,min_vol,etfs_asia__min_vol,etfs_asia__min_vol,INDA,0.16994020641587662,16.994
etfs_asia,min_vol,etfs_asia__min_vol,etfs_asia__min_vol,EWT,0.08877262816941463,8.8773
etfs_asia,min_vol,etfs_asia__min_vol,etfs_asia__min_vol,EWY,0.0,0.0
etfs_asia,min_vol,etfs_asia__min_vol,etfs_asia__min_vol,MCHI,0.0,0.0
etfs_brasil,max_sharpe,etfs_brasil__max_sharpe,etfs_brasil__max_sharpe,BOVA11.SA,1.0,100.0
etfs_brasil,max_sharpe,etfs_brasil__max_sharpe,etfs_brasil__max_sharpe,SMAL11.SA,1.1102230246251565e-16,0.0
etfs_brasil,min_vol,etfs_brasil__min_vol,etfs_brasil__min_vol,BOVA11.SA,1.0,100.0
etfs_brasil,min_vol,etfs_brasil__min_vol,etfs_brasil__min_vol,SMAL11.SA,4.163336342344337e-17,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,BOVA11.SA,0.3546885390421981,35.4689
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,QQQ,0.3029016647487674,30.2902
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,EWT,0.20073860038222235,20.0739
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,BTC-USD,0.10987555847537171,10.9876
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,ARGT,0.023035012087541114,2.3035
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,MCHI,0.008760625263898586,0.8761
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,FEZ,2.1690116822218744e-16,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,EWG,1.2561116011558158e-16,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,EWJ,9.805623517479864e-17,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,ENZL,8.991994251198776e-17,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,EWH,3.3179692108656296e-17,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,EWY,2.749600319695493e-17,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,VEA,8.706855717490838e-18,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,EZA,4.489873665478906e-18,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,ACWI,0.0,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,ECH,0.0,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,EWA,0.0,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,EWU,0.0,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,EWW,0.0,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,IEMG,0.0,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,INDA,0.0,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,SMAL11.SA,0.0,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,SPY,0.0,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,VT,0.0,0.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,etfs_com_btc__max_sharpe,XLE,0.0,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,BOVA11.SA,0.36945177514557365,36.9452
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,EWJ,0.26141479444141114,26.1415
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,EWU,0.1426190672085456,14.2619
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,EWH,0.10464272420914827,10.4643
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,SPY,0.09223150759213099,9.2232
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,MCHI,0.029640131403190127,2.964
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,ECH,6.760975919044345e-17,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,EWT,2.7105184086450954e-17,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,ENZL,2.446269177988025e-17,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,VT,2.2207070531186968e-17,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,EZA,1.3623825325945915e-17,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,EWW,1.2116535372018757e-17,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,INDA,1.1627809237491608e-17,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,XLE,9.235844934615374e-18,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,EWY,7.595192214805437e-18,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,BTC-USD,5.25765208822006e-18,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,FEZ,3.056074167489912e-18,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,IEMG,9.879623462208896e-19,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,ACWI,0.0,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,ARGT,0.0,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,EWA,0.0,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,EWG,0.0,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,QQQ,0.0,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,SMAL11.SA,0.0,0.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,etfs_com_btc__min_vol,VEA,0.0,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,BOVA11.SA,0.3405481012472741,34.0548
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,QQQ,0.29116875540641346,29.1169
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,EWT,0.19951518736905058,19.9515
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,BTC-USD,0.10775422627769028,10.7754
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,USO,0.04837330803606153,4.8373
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,ARGT,0.011998174240896916,1.1998
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,MCHI,0.0006422474226121041,0.0642
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,EWJ,2.9928443678358127e-16,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,INDA,2.0204931607330351e-16,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,VT,1.1848957134381292e-16,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,SMAL11.SA,9.98114902516335e-17,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,ECH,8.530808920293294e-17,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,IEMG,8.462322017834313e-17,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,FEZ,5.898341693301258e-17,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,EWU,5.380513012554297e-17,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,EWW,3.301960716840215e-17,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,VEA,1.8126200387050195e-17,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,ACWI,0.0,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,ENZL,0.0,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,EWA,0.0,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,EWG,0.0,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,EWH,0.0,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,EWY,0.0,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,EZA,0.0,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,SPY,0.0,0.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__max_sharpe,XLE,0.0,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,BOVA11.SA,0.3609779114781971,36.0978
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,EWJ,0.2903893039580401,29.0389
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,EWH,0.13997251085152948,13.9973
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,SPY,0.09579389151404946,9.5794
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,EWU,0.06012024047422275,6.012
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,USO,0.043530229945760224,4.353
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,MCHI,0.009215911778200823,0.9216
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,SMAL11.SA,6.151132414660084e-17,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,ACWI,4.0555459947414856e-17,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,INDA,1.642565208979564e-17,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,IEMG,4.291733066810383e-18,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,ARGT,0.0,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,BTC-USD,0.0,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,ECH,0.0,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,ENZL,0.0,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,EWA,0.0,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,EWG,0.0,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,EWT,0.0,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,EWW,0.0,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,EWY,0.0,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,EZA,0.0,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,FEZ,0.0,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,QQQ,0.0,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,VEA,0.0,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,VT,0.0,0.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,etfs_com_btc_petroleo__min_vol,XLE,0.0,0.0
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,etfs_com_ouro__max_sharpe,GLD,0.38302260127613624,38.3023
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,etfs_com_ouro__max_sharpe,BOVA11.SA,0.31031145944554056,31.0311
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,etfs_com_ouro__max_sharpe,QQQ,0.2394988674829715,23.9499
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,etfs_com_ouro__max_sharpe,ARGT,0.03827949493602593,3.8279
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,etfs_com_ouro__max_sharpe,XLE,0.028887576859315832,2.8888
