carteira,tipo,coluna_retorno,carteira_tipo,ativo,peso,peso_pct
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,etfs_america_norte__max_sharpe,QQQ,0.846594985775639,84.6594985775639
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,etfs_america_norte__max_sharpe,XLE,0.15340501422436098,15.340501422436098
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,etfs_america_norte__max_sharpe,SPY,5.219763095781487e-17,5.219763095781486e-15
etfs_america_norte,min_vol,etfs_america_norte__min_vol,etfs_america_norte__min_vol,SPY,0.8701150407036536,87.01150407036536
etfs_america_norte,min_vol,etfs_america_norte__min_vol,etfs_america_norte__min_vol,XLE,0.12988495929634616,12.988495929634617
etfs_america_norte,min_vol,etfs_america_norte__min_vol,etfs_america_norte__min_vol,QQQ,2.262033256791786e-16,2.2620332567917862e-14
etfs_asia,max_sharpe,etfs_asia__max_sharpe,etfs_asia__max_sharpe,EWT,0.7877178021579947,78.77178021579947
etfs_asia,max_sharpe,etfs_asia__max_sharpe,etfs_asia__max_sharpe,EWJ,0.21228219784200528,21.228219784200526
etfs_asia,max_sharpe,etfs_asia__max_sharpe,etfs_asia__max_sharpe,EWH,9.501889272158795e-17,9.501889272158795e-15
etfs_asia,max_sharpe,etfs_asia__max_sharpe,etfs_asia__max_sharpe,MCHI,2.220100221123556e-17,2.220100221123556e-15
etfs_asia,max_sharpe,etfs_asia__max_sharpe,etfs_asia__max_sharpe,EWY,0.0,0.0
etfs_asia,max_sharpe,etfs_asia__max_sharpe,etfs_asia__max_sharpe,INDA,0.0,0.0
etfs_asia,min_vol,etfs_asia__min_vol,etfs_asia__min_vol,EWJ,0.47898257915048364,47.89825791504836
etfs_asia,min_vol,etfs_asia__min_vol,etfs_asia__min_vol,EWH,0.262304586264225,26.230458626422497
etfs_asia,min_vol,etfs_asia__min_vol,etfs_asia__min_vol,INDA,0.16994020641587662,16.994020641587664
etfs_asia,min_vol,etfs_asia__min_vol,etfs_asia__min_vol,EWT,0.08877262816941463,8.877262816941462
