carteira,tipo,coluna_retorno,data_inicio,data_fim,n_meses,retorno_total,retorno_anualizado_media,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,melhor_mes,pior_mes,n_ativos_total,n_ativos_com_peso,peso_max,peso_min,peso_medio,peso_mediano,top1_peso,top3_peso,top5_peso,hhi,n_efetivo_ativos,gini_pesos,classificacao_concentracao,n_ativos_universo,n_ativos_validos,n_ativos_com_peso_manifesto,periodo_inicio,periodo_fim
etfs_com_tudo,max_sharpe,etfs_com_tudo__max_sharpe,2015-02-28,2026-04-30,135,956.8789,22.7075,23.5105,11.1707,2.0327777329974936,4.382137647458068,-14.2545,1.649335422193161,71.1111,0.11178006789135302,-0.06166838664534405,27,6,39.8623,0.0,3.7037,0.0,39.8623,86.5515,99.8284,0.28679699342676074,3.4867869012558868,0.8813612021397994,alta,27,27,6,2015-02-28,2026-04-30
etfs_com_ouro_btc,max_sharpe,etfs_com_ouro_btc__max_sharpe,2015-02-28,2026-04-30,135,1020.6834,23.3248,24.1605,11.755,1.984236467153564,4.647093718569822,-16.4528,1.4684768151919247,70.3704,0.14618871877232148,-0.05701938709846896,26,6,39.6125,0.0,3.8462,0.0,39.6125,88.9486,98.7409,0.2942434994805478,3.398545768268057,0.8803920214748195,alta,26,26,6,2015-02-28,2026-04-30
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,2015-02-28,2026-04-30,135,619.5527,19.1108,19.3306,10.2828,1.858520361407419,3.937692591276147,-11.6914,1.6534009420609288,68.8889,0.10800819076197574,-0.05018156769731723,26,5,38.5593,0.0,3.8462,0.0,38.5593,91.3819,100.0,0.2950432100187186,3.3893340569896746,0.8813359958167186,alta,26,26,5,2015-02-28,2026-04-30
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,2015-02-28,2026-04-30,135,647.3892,19.5176,19.7369,10.7303,1.8189297725618818,3.98607625773769,-13.5163,1.4602278439357295,68.1481,0.13241714005981292,-0.05519439467959827,25,5,38.3023,0.0,4.0,0.0,38.3023,93.2833,100.0,0.30265903430654545,3.304048076051016,0.8784241610674479,alta,25,25,5,2015-02-28,2026-04-30
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,2015-02-28,2026-04-30,135,1361.4893,26.6664,27.1482,15.5874,1.7107718050175926,2.9547719093345153,-25.1357,1.0800616311480737,68.8889,0.16748338412714264,-0.12012709537212016,26,7,34.0548,0.0,3.8462,0.0,34.0548,83.1232,98.736,0.254653882256873,3.9268987032025127,0.8637846617798464,alta,26,26,7,2015-02-28,2026-04-30
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,2015-02-28,2026-04-30,135,1428.0969,27.1412,27.6566,15.9842,1.6980068208197094,3.1646073573921223,-27.2491,1.0149559058356532,69.6296,0.17150344064304743,-0.10182551395039374,25,6,35.4689,0.0,4.0,0.0,35.4689,85.8329,99.1239,0.2705293626060396,3.6964564229438466,0.8664041027512812,alta,25,25,6,2015-02-28,2026-04-30
etfs_com_petroleo,max_sharpe,etfs_com_petroleo__max_sharpe,2015-02-28,2026-04-30,135,704.1,20.9356,20.5237,13.8,1.5170711337286424,2.5760064138812093,-21.5265,0.9534176087286365,68.1481,0.1591283960185464,-0.09867470932950363,25,5,42.7326,0.0,4.0,0.0,42.7326,90.902,100.0,0.32259590153618506,3.0998533931709966,0.8852946399006987,alta,25,25,5,2015-02-28,2026-04-30
etfs_todos,max_sharpe,etfs_todos__max_sharpe,2015-02-28,2026-04-30,135,730.8109,21.2801,20.8769,14.1091,1.5082586984119821,2.737829659525492,-23.3324,0.8947617859072834,68.8889,0.16054052400585844,-0.09682786037601175,24,4,43.957,0.0,4.1667,0.0,43.957,93.7255,100.0,0.34189485044032447,2.9248758754690383,0.8889533895943409,alta,24,24,4,2015-02-28,2026-04-30
etfs_exterior,max_sharpe,etfs_exterior__max_sharpe,2015-02-28,2026-04-30,135,898.3174,23.8436,22.8816,18.135,1.314782201534902,2.5356889557263553,-27.6856,0.8264784014652006,62.2222,0.19599399283480062,-0.16088206083424572,22,4,43.651,0.0,4.5455,0.0,43.651,93.5496,100.0,0.32009846651851187,3.124038708702056,0.8708417026702031,alta,22,22,4,2015-02-28,2026-04-30
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,2015-02-28,2026-04-30,135,885.5338,24.03,22.7398,19.9088,1.2069996371981742,2.159589012477888,-27.0203,0.8415835397585051,61.4815,0.2060861046598624,-0.1621297258290635,3,2,84.6595,0.0,33.3333,15.3405,84.6595,100.0,100.0,0.7402561683296307,1.3508837113191163,0.5643966571837593,alta,3,3,2,2015-02-28,2026-04-30
