carteira,tipo,coluna_retorno,pct_ativos_no_limite_min,pct_ativos_no_limite_max,peso_min_efetivo,peso_max_efetivo,ajuste_limites
etfs_com_tudo,max_sharpe,etfs_com_tudo__max_sharpe,0.7037037037037037,0.14814814814814814,0.02,0.1,nenhum
etfs_com_ouro_btc,max_sharpe,etfs_com_ouro_btc__max_sharpe,0.7307692307692307,0.15384615384615385,0.02,0.1,nenhum
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,0.6923076923076923,0.15384615384615385,0.02,0.1,nenhum
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,0.72,0.16,0.02,0.1,nenhum
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,0.6923076923076923,0.11538461538461539,0.02,0.1,nenhum
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,0.72,0.12,0.02,0.1,nenhum
etfs_com_petroleo,max_sharpe,etfs_com_petroleo__max_sharpe,0.68,0.24,0.02,0.1,nenhum
etfs_todos,max_sharpe,etfs_todos__max_sharpe,0.7083333333333334,0.25,0.02,0.1,nenhum
etfs_exterior,max_sharpe,etfs_exterior__max_sharpe,0.5909090909090909,0.2727272727272727,0.02,0.1,nenhum
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,0.0,1.0,0.02,0.3333333333333333,ajuste_max_para_viabilidade
etfs_global,max_sharpe,etfs_global__max_sharpe,0.0,1.0,0.02,0.3333333333333333,ajuste_max_para_viabilidade
etfs_desenvolvidos_emergentes,max_sharpe,etfs_desenvolvidos_emergentes__max_sharpe,0.0,1.0,0.02,0.5,ajuste_max_para_viabilidade
etfs_latam,max_sharpe,etfs_latam__max_sharpe,0.0,1.0,0.02,0.3333333333333333,ajuste_max_para_viabilidade
etfs_asia,max_sharpe,etfs_asia__max_sharpe,0.0,1.0,0.02,0.16666666666666666,ajuste_max_para_viabilidade
etfs_europa,max_sharpe,etfs_europa__max_sharpe,0.0,1.0,0.02,0.3333333333333333,ajuste_max_para_viabilidade
etfs_oceania,max_sharpe,etfs_oceania__max_sharpe,0.0,1.0,0.02,0.5,ajuste_max_para_viabilidade
etfs_brasil,max_sharpe,etfs_brasil__max_sharpe,0.0,1.0,0.02,0.5,ajuste_max_para_viabilidade
etfs_com_tudo,min_vol,etfs_com_tudo__min_vol,0.7037037037037037,0.18518518518518517,0.02,0.1,nenhum
etfs_com_ouro_btc,min_vol,etfs_com_ouro_btc__min_vol,0.6923076923076923,0.19230769230769232,0.02,0.1,nenhum
etfs_com_ouro_petroleo,min_vol,etfs_com_ouro_petroleo__min_vol,0.6923076923076923,0.15384615384615385,0.02,0.1,nenhum
etfs_com_ouro,min_vol,etfs_com_ouro__min_vol,0.64,0.24,0.02,0.1,nenhum
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,0.6538461538461539,0.19230769230769232,0.02,0.1,nenhum
etfs_com_btc,min_vol,etfs_com_btc__min_vol,0.6,0.2,0.02,0.1,nenhum
etfs_com_petroleo,min_vol,etfs_com_petroleo__min_vol,0.6,0.2,0.02,0.1,nenhum
etfs_todos,min_vol,etfs_todos__min_vol,0.5833333333333334,0.20833333333333334,0.02,0.1,nenhum
etfs_america_norte,min_vol,etfs_america_norte__min_vol,0.0,1.0,0.02,0.3333333333333333,ajuste_max_para_viabilidade
etfs_global,min_vol,etfs_global__min_vol,0.0,1.0,0.02,0.3333333333333333,ajuste_max_para_viabilidade
etfs_exterior,min_vol,etfs_exterior__min_vol,0.5454545454545454,0.2727272727272727,0.02,0.1,nenhum
etfs_desenvolvidos_emergentes,min_vol,etfs_desenvolvidos_emergentes__min_vol,0.0,1.0,0.02,0.5,ajuste_max_para_viabilidade
etfs_latam,min_vol,etfs_latam__min_vol,0.0,1.0,0.02,0.3333333333333333,ajuste_max_para_viabilidade
etfs_asia,min_vol,etfs_asia__min_vol,0.0,1.0,0.02,0.16666666666666666,ajuste_max_para_viabilidade
etfs_europa,min_vol,etfs_europa__min_vol,0.0,1.0,0.02,0.3333333333333333,ajuste_max_para_viabilidade
etfs_oceania,min_vol,etfs_oceania__min_vol,0.0,1.0,0.02,0.5,ajuste_max_para_viabilidade
etfs_brasil,min_vol,etfs_brasil__min_vol,0.0,1.0,0.02,0.5,ajuste_max_para_viabilidade
