ativo,etfs_america_norte__max_sharpe,etfs_america_norte__min_vol,etfs_asia__max_sharpe,etfs_asia__min_vol,etfs_brasil__max_sharpe,etfs_brasil__min_vol,etfs_com_btc__max_sharpe,etfs_com_btc__min_vol,etfs_com_btc_petroleo__max_sharpe,etfs_com_btc_petroleo__min_vol,etfs_com_ouro__max_sharpe,etfs_com_ouro__min_vol,etfs_com_ouro_btc__max_sharpe,etfs_com_ouro_btc__min_vol,etfs_com_ouro_petroleo__max_sharpe,etfs_com_ouro_petroleo__min_vol,etfs_com_petroleo__max_sharpe,etfs_com_petroleo__min_vol,etfs_com_tudo__max_sharpe,etfs_com_tudo__min_vol,etfs_desenvolvidos_emergentes__max_sharpe,etfs_desenvolvidos_emergentes__min_vol,etfs_europa__max_sharpe,etfs_europa__min_vol,etfs_exterior__max_sharpe,etfs_exterior__min_vol,etfs_global__max_sharpe,etfs_global__min_vol,etfs_latam__max_sharpe,etfs_latam__min_vol,etfs_oceania__max_sharpe,etfs_oceania__min_vol,etfs_todos__max_sharpe,etfs_todos__min_vol
ACWI,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.8627,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.3225,2.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,5.0158,33.3333,33.3333,0.0,0.0,0.0,0.0,6.0,7.2588
ARGT,0.0,0.0,0.0,0.0,0.0,0.0,7.2819,2.0,6.1092,2.0,9.445,2.0,5.2355,2.0,8.4716,2.0,10.0,2.0,3.4582,2.0,0.0,0.0,0.0,0.0,10.0,5.8212,0.0,0.0,33.3333,33.3333,0.0,0.0,10.0,2.0
BOVA11.SA,0.0,0.0,0.0,0.0,50.0,50.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
BTC-USD,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,10.0,2.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECH,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0094,2.0,3.4217,2.0,2.2288,2.0,2.0,2.0,2.8789,2.0,3.8804,2.0,2.4915,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,33.3333,33.3333,0.0,0.0,2.0,2.5666
ENZL,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,50.0,50.0,2.0,2.0
EWA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,50.0,50.0,2.0,2.0
EWG,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,33.3333,33.3333,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
EWH,0.0,0.0,16.6667,16.6667,0.0,0.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,9.6844,2.0,9.7403,2.0,10.0,2.0,10.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0
EWJ,0.0,0.0,16.6667,16.6667,0.0,0.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0
EWT,0.0,0.0,16.6667,16.6667,0.0,0.0,10.0,2.0,10.0,2.0,8.3757,2.0,8.2816,2.0,8.4254,2.0,10.0,2.0,5.9427,2.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0
EWU,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,4.5141,2.0,10.0,2.0,2.3855,0.0,0.0,33.3333,33.3333,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0
EWW,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.451,2.0,2.0,2.0,3.1094,2.0,2.0605,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.633,10.0,0.0,0.0,33.3333,33.3333,0.0,0.0,2.0,4.1186
EWY,0.0,0.0,16.6667,16.6667,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.1787,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
EZA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.2851,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
FEZ,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,33.3333,33.3333,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
GLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEMG,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.9111,2.0,2.5494,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.3988,2.0,2.0,50.0,50.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0151
INDA,0.0,0.0,16.6667,16.6667,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
MCHI,0.0,0.0,16.6667,16.6667,0.0,0.0,2.0,3.7658,2.0,3.76,2.0,2.0,2.0,2.2551,2.0,2.0,2.0,2.7263,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0409
QQQ,33.3333,33.3333,0.0,0.0,0.0,0.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0
SMAL11.SA,0.0,0.0,0.0,0.0,50.0,50.0,9.0107,10.0,8.5984,10.0,8.7139,10.0,8.4829,10.0,8.4266,10.0,10.0,10.0,7.9833,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
SPY,33.3333,33.3333,0.0,0.0,0.0,0.0,7.7073,2.0,4.8052,2.0,7.4654,2.6619,2.0,2.0,5.1162,2.0,10.0,3.8589,2.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0
USO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4872,6.2689,0.0,0.0,0.0,0.0,3.5603,6.8667,3.6775,6.1357,4.6158,7.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,50.0,50.0,0.0,0.0,2.0,2.0,33.3333,33.3333,0.0,0.0,0.0,0.0,2.0,2.0
VT,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,33.3333,33.3333,0.0,0.0,0.0,0.0,2.0,2.0
XLE,33.3333,33.3333,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,7.1883,2.878,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
