carteira,tipo,carteira_tipo,ativo,peso_%
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,QQQ,33.3333
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,SPY,33.3333
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,XLE,33.3333
etfs_america_norte,min_vol,etfs_america_norte__min_vol,QQQ,33.3333
etfs_america_norte,min_vol,etfs_america_norte__min_vol,SPY,33.3333
etfs_america_norte,min_vol,etfs_america_norte__min_vol,XLE,33.3333
etfs_asia,max_sharpe,etfs_asia__max_sharpe,EWH,16.6667
etfs_asia,max_sharpe,etfs_asia__max_sharpe,EWJ,16.6667
etfs_asia,max_sharpe,etfs_asia__max_sharpe,EWT,16.6667
etfs_asia,max_sharpe,etfs_asia__max_sharpe,EWY,16.6667
etfs_asia,max_sharpe,etfs_asia__max_sharpe,INDA,16.6667
etfs_asia,max_sharpe,etfs_asia__max_sharpe,MCHI,16.6667
etfs_asia,min_vol,etfs_asia__min_vol,EWH,16.6667
etfs_asia,min_vol,etfs_asia__min_vol,EWJ,16.6667
etfs_asia,min_vol,etfs_asia__min_vol,EWT,16.6667
etfs_asia,min_vol,etfs_asia__min_vol,EWY,16.6667
etfs_asia,min_vol,etfs_asia__min_vol,INDA,16.6667
etfs_asia,min_vol,etfs_asia__min_vol,MCHI,16.6667
etfs_brasil,max_sharpe,etfs_brasil__max_sharpe,BOVA11.SA,50.0
etfs_brasil,max_sharpe,etfs_brasil__max_sharpe,SMAL11.SA,50.0
etfs_brasil,min_vol,etfs_brasil__min_vol,BOVA11.SA,50.0
etfs_brasil,min_vol,etfs_brasil__min_vol,SMAL11.SA,50.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,BOVA11.SA,10.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,BTC-USD,10.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,EWT,10.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,QQQ,10.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,SMAL11.SA,9.0107
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,SPY,7.7073
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,ARGT,7.2819
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,ACWI,2.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,ECH,2.0
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,ENZL,2.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,BOVA11.SA,10.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,EWH,10.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,EWJ,10.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,EWU,10.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,SMAL11.SA,10.0
etfs_com_btc,min_vol,etfs_com_btc__min_vol,IEMG,6.9111
etfs_com_btc,min_vol,etfs_com_btc__min_vol,EWW,4.451
etfs_com_btc,min_vol,etfs_com_btc__min_vol,MCHI,3.7658
etfs_com_btc,min_vol,etfs_com_btc__min_vol,ACWI,2.8627
etfs_com_btc,min_vol,etfs_com_btc__min_vol,ECH,2.0094
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,BOVA11.SA,10.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,BTC-USD,10.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,EWT,10.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,QQQ,10.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,SMAL11.SA,8.5984
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,ARGT,6.1092
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,SPY,4.8052
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,USO,4.4872
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,ACWI,2.0
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,ECH,2.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,BOVA11.SA,10.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,EWH,10.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,EWJ,10.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,EWU,10.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,SMAL11.SA,10.0
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,USO,6.2689
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,MCHI,3.76
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,ECH,3.4217
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,IEMG,2.5494
etfs_com_btc_petroleo,min_vol,etfs_com_btc_petroleo__min_vol,ACWI,2.0
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,BOVA11.SA,10.0
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,GLD,10.0
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,QQQ,10.0
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,ARGT,9.445
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,SMAL11.SA,8.7139
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,EWT,8.3757
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,SPY,7.4654
