carteira,tipo,coluna_retorno,data_inicio,data_fim,n_meses,retorno_total,retorno_anualizado_media,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,melhor_mes,pior_mes,n_ativos_total,n_ativos_com_peso,peso_max,peso_min,peso_medio,peso_mediano,top1_peso,top3_peso,top5_peso,hhi,n_efetivo_ativos,gini_pesos,classificacao_concentracao,n_ativos_no_limite_min,n_ativos_no_limite_max,pct_ativos_no_limite_min,pct_ativos_no_limite_max,n_ativos_universo,n_ativos_validos,n_ativos_com_peso_manifesto,peso_min_base,peso_max_base,peso_min_efetivo,peso_max_efetivo,ajuste_limites,periodo_inicio,periodo_fim
etfs_com_tudo,max_sharpe,etfs_com_tudo__max_sharpe,2015-02-28,2026-04-30,135,956.197,23.5271,23.5033,14.6155,1.6097421867055206,3.1109581160598685,-24.3204,0.9664029017578898,64.4444,0.16110697554310888,-0.10088120568685487,27,27,10.0,2.0,3.7037,2.0,10.0,30.0,47.9833,0.060831321639975205,16.438899781241176,0.35588963772328985,baixa,19,4,70.3704,14.8148,27,27,27,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_com_ouro_btc,max_sharpe,etfs_com_ouro_btc__max_sharpe,2015-02-28,2026-04-30,135,998.8246,23.9539,23.9417,15.0019,1.5967254319248207,3.3650538700628627,-25.9781,0.9216104260232126,65.1852,0.16326364992627157,-0.0985375707379954,26,26,10.0,2.0,3.8462,2.0,10.0,30.0,48.4829,0.06439551472736284,15.529031862448669,0.36557497863181365,baixa,19,4,73.0769,15.3846,26,26,26,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_com_btc_petroleo,max_sharpe,etfs_com_btc_petroleo__max_sharpe,2015-02-28,2026-04-30,135,961.7932,23.8278,23.5618,15.6257,1.5249122420548635,2.781824489338777,-25.6618,0.9181670517621288,65.1852,0.17426754201133232,-0.1196470013496966,26,26,10.0,2.0,3.8462,2.0,10.0,30.0,48.5984,0.06264797722375945,15.962207310035012,0.36216832648908115,baixa,18,4,69.2308,15.3846,26,26,26,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_com_btc,max_sharpe,etfs_com_btc__max_sharpe,2015-02-28,2026-04-30,135,997.8152,24.1927,23.9315,15.9672,1.5151479193176731,3.0465889736425145,-27.5821,0.8676449738348919,64.4444,0.17633900482684103,-0.10588732528279822,25,25,10.0,2.0,4.0,2.0,10.0,30.0,49.0107,0.06656228195590745,15.02352339215812,0.3709830292395091,baixa,18,4,72.0,16.0,25,25,25,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_com_ouro_petroleo,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,2015-02-28,2026-04-30,135,474.4696,17.6945,16.9483,12.7057,1.3926441124386595,2.525710975006041,-18.1089,0.9359101103502853,65.1852,0.1505929343085208,-0.10162533093594381,26,26,10.0,2.0,3.8462,2.0,10.0,30.0,46.8982,0.0624612911791787,16.00991559926874,0.36087156543370624,baixa,18,3,69.2308,11.5385,26,26,26,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_com_ouro,max_sharpe,etfs_com_ouro__max_sharpe,2015-02-28,2026-04-30,135,490.5004,17.9892,17.2369,12.9961,1.3841974672490684,2.708443852597669,-19.7692,0.8719087656774723,65.1852,0.15230839401953009,-0.09926402036979456,25,25,10.0,2.0,4.0,2.0,10.0,30.0,48.159,0.06630247881739047,15.082392360535849,0.3697109137261576,baixa,18,3,72.0,12.0,25,25,25,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_com_petroleo,max_sharpe,etfs_com_petroleo__max_sharpe,2015-02-28,2026-04-30,135,467.184,17.7984,16.8147,13.6948,1.2996451494681516,2.230742659867568,-19.7092,0.8531425206466117,62.2222,0.16210030916725685,-0.11358228684390707,25,25,10.0,2.0,4.0,2.0,10.0,30.0,50.0,0.06869180016420316,14.55777833175964,0.3741419967946862,baixa,17,6,68.0,24.0,25,25,25,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_todos,max_sharpe,etfs_todos__max_sharpe,2015-02-28,2026-04-30,135,475.7683,17.9706,16.972,13.9078,1.2921236932315627,2.4292537150135356,-21.4356,0.791767237760784,63.7037,0.16371789591326055,-0.10501587274133148,24,24,10.0,2.0,4.1667,2.0,10.0,30.0,50.0,0.0703999999999998,14.204545454545496,0.37833333333333274,baixa,17,6,70.8333,25.0,24,24,24,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_exterior,max_sharpe,etfs_exterior__max_sharpe,2015-02-28,2026-04-30,135,491.2306,18.6782,17.2499,16.0383,1.164601040661555,2.107268781805924,-23.6386,0.7297339913888922,62.963,0.18370473173921598,-0.16119044827298293,22,22,10.0,2.0,4.5455,2.0,10.0,30.0,50.0,0.07269742600909257,13.755645211907858,0.3781904883165579,baixa,13,6,59.0909,27.2727,22,22,22,2.0,10.0,2.0,10.0,nenhum,2015-02-28,2026-04-30
etfs_america_norte,max_sharpe,etfs_america_norte__max_sharpe,2015-02-28,2026-04-30,135,621.0104,20.8949,19.3522,18.7552,1.1140839106766454,2.132228977351142,-22.7328,0.8512908161582319,61.4815,0.2274823782803579,-0.1614841201723512,3,3,33.3333,33.3333,33.3333,33.3333,33.3333,100.0,100.0,0.3333333333333333,3.0,0.0,alta,0,3,0.0,100.0,3,3,3,2.0,10.0,2.0,33.3333,ajuste_max_para_viabilidade,2015-02-28,2026-04-30
