carteira,tipo,n_ativos_total,n_ativos_com_peso,peso_max,peso_min,peso_medio,peso_mediano,top1_peso,top3_peso,top5_peso,hhi,n_efetivo_ativos,gini_pesos,classificacao_concentracao,n_ativos_no_limite_min,n_ativos_no_limite_max,pct_ativos_no_limite_min,pct_ativos_no_limite_max
etfs_america_norte,max_sharpe,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,3.0,0.0,alta,0,3,0.0,1.0
etfs_america_norte,min_vol,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,3.0,0.0,alta,0,3,0.0,1.0
etfs_asia,max_sharpe,6,6,0.16666666666666669,0.16666666666666669,0.1666666666666667,0.16666666666666669,0.16666666666666669,0.5,0.8333333333333335,0.1666666666666667,5.999999999999998,-4.440892098500626e-16,media,0,6,0.0,1.0
etfs_asia,min_vol,6,6,0.16666666666666669,0.16666666666666669,0.1666666666666667,0.16666666666666669,0.16666666666666669,0.5,0.8333333333333335,0.1666666666666667,5.999999999999998,-4.440892098500626e-16,media,0,6,0.0,1.0
etfs_brasil,max_sharpe,2,2,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,2.0,0.0,alta,0,2,0.0,1.0
etfs_brasil,min_vol,2,2,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,2.0,0.0,alta,0,2,0.0,1.0
etfs_com_btc,max_sharpe,25,25,0.09999999999999996,0.01999999999999999,0.04,0.020000000000000084,0.09999999999999996,0.2999999999999999,0.4901071944711043,0.06656228195590745,15.02352339215812,0.3709830292395091,baixa,18,4,0.72,0.16
etfs_com_btc,min_vol,25,25,0.09999999999999998,0.019999999999999997,0.04,0.02000000000000001,0.09999999999999998,0.2999999999999998,0.49999999999999956,0.06539889771189407,15.29077759697669,0.3691134341583213,baixa,15,5,0.6,0.2
etfs_com_btc_petroleo,max_sharpe,26,26,0.09999999999999992,0.019999999999999983,0.038461538461538464,0.020000000000000073,0.09999999999999992,0.2999999999999997,0.4859839300474332,0.06264797722375945,15.962207310035012,0.36216832648908115,baixa,18,4,0.6923076923076923,0.15384615384615385
etfs_com_btc_petroleo,min_vol,26,26,0.09999999999999998,0.019999999999999997,0.03846153846153846,0.020000000000000056,0.09999999999999998,0.2999999999999999,0.49999999999999967,0.06396443785811523,15.633686990545936,0.3644218748174257,baixa,17,5,0.6538461538461539,0.19230769230769232
etfs_com_ouro,max_sharpe,25,25,0.09999999999999937,0.019999999999999872,0.04,0.019999999999999872,0.09999999999999937,0.2999999999999981,0.48158973075341077,0.06630247881739047,15.082392360535849,0.3697109137261576,baixa,18,3,0.72,0.12
etfs_com_ouro,min_vol,25,25,0.1,0.02,0.04,0.02000000000000001,0.1,0.30000000000000004,0.5,0.06857211262068476,14.583187855559087,0.3735045071788681,baixa,16,6,0.64,0.24
etfs_com_ouro_btc,max_sharpe,26,26,0.09999999999999998,0.019999999999999997,0.03846153846153846,0.020000000000000216,0.09999999999999998,0.29999999999999827,0.48482942874054774,0.06439551472736284,15.529031862448669,0.36557497863181365,baixa,19,4,0.7307692307692307,0.15384615384615385
etfs_com_ouro_btc,min_vol,26,26,0.09999999999999998,0.019999999999999997,0.038461538461538464,0.020000000000000018,0.09999999999999998,0.29999999999999993,0.4999999999999998,0.06751189252299952,14.812205118665965,0.3689414688430517,baixa,18,5,0.6923076923076923,0.19230769230769232
etfs_com_ouro_petroleo,max_sharpe,26,26,0.09999999999999767,0.019999999999999536,0.038461538461538464,0.019999999999999536,0.09999999999999767,0.29999999999999305,0.46898199279841407,0.0624612911791787,16.00991559926874,0.36087156543370624,baixa,18,3,0.6923076923076923,0.11538461538461539
