carteira,tipo,carteira_tipo,ativo,peso_%
etfs_america_norte,hrp,etfs_america_norte__hrp,SPY,39.6558
etfs_america_norte,hrp,etfs_america_norte__hrp,XLE,32.1271
etfs_america_norte,hrp,etfs_america_norte__hrp,QQQ,28.2171
etfs_asia,hrp,etfs_asia__hrp,EWJ,29.3592
etfs_asia,hrp,etfs_asia__hrp,EWH,22.6884
etfs_asia,hrp,etfs_asia__hrp,INDA,15.8476
etfs_asia,hrp,etfs_asia__hrp,EWT,12.7209
etfs_asia,hrp,etfs_asia__hrp,MCHI,10.9282
etfs_asia,hrp,etfs_asia__hrp,EWY,8.4557
etfs_brasil,hrp,etfs_brasil__hrp,BOVA11.SA,50.0
etfs_brasil,hrp,etfs_brasil__hrp,SMAL11.SA,50.0
etfs_com_btc,hrp,etfs_com_btc__hrp,EWW,7.2516
etfs_com_btc,hrp,etfs_com_btc__hrp,EWH,6.7755
etfs_com_btc,hrp,etfs_com_btc__hrp,BOVA11.SA,6.2186
etfs_com_btc,hrp,etfs_com_btc__hrp,ECH,6.1889
etfs_com_btc,hrp,etfs_com_btc__hrp,INDA,4.8014
etfs_com_btc,hrp,etfs_com_btc__hrp,SMAL11.SA,4.7597
etfs_com_btc,hrp,etfs_com_btc__hrp,ARGT,4.7507
etfs_com_btc,hrp,etfs_com_btc__hrp,EWG,4.613
etfs_com_btc,hrp,etfs_com_btc__hrp,ENZL,4.5412
etfs_com_btc,hrp,etfs_com_btc__hrp,EZA,4.4417
etfs_com_btc,hrp,etfs_com_btc__hrp,XLE,3.9194
etfs_com_btc,hrp,etfs_com_btc__hrp,QQQ,3.8027
etfs_com_btc,hrp,etfs_com_btc__hrp,IEMG,3.5786
etfs_com_btc,hrp,etfs_com_btc__hrp,EWU,3.4942
etfs_com_btc,hrp,etfs_com_btc__hrp,VEA,3.4337
etfs_com_btc,hrp,etfs_com_btc__hrp,EWJ,3.3569
etfs_com_btc,hrp,etfs_com_btc__hrp,EWY,3.1375
etfs_com_btc,hrp,etfs_com_btc__hrp,ACWI,3.0837
etfs_com_btc,hrp,etfs_com_btc__hrp,MCHI,3.0386
etfs_com_btc,hrp,etfs_com_btc__hrp,VT,3.0222
etfs_com_btc,hrp,etfs_com_btc__hrp,EWA,2.9923
etfs_com_btc,hrp,etfs_com_btc__hrp,SPY,2.8375
etfs_com_btc,hrp,etfs_com_btc__hrp,FEZ,2.6445
etfs_com_btc,hrp,etfs_com_btc__hrp,EWT,2.2227
etfs_com_btc,hrp,etfs_com_btc__hrp,BTC-USD,1.0934
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,ECH,8.3979
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,BOVA11.SA,5.9661
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,EWW,5.3411
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,EZA,4.9567
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,XLE,4.6084
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,EWH,4.5961
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,SMAL11.SA,4.5664
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,EWG,4.5445
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,ENZL,4.4738
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,ARGT,4.4374
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,INDA,4.2808
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,QQQ,3.7462
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,IEMG,3.5254
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,EWU,3.4423
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,VEA,3.3827
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,EWJ,3.3071
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,EWY,3.1749
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,MCHI,3.0748
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,ACWI,3.0379
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,VT,2.9773
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,EWA,2.9478
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,SPY,2.7953
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,FEZ,2.6052
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,USO,2.5755
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,EWT,2.1896
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,BTC-USD,1.049
etfs_com_ouro,hrp,etfs_com_ouro__hrp,GLD,14.6648
etfs_com_ouro,hrp,etfs_com_ouro__hrp,ECH,6.8653
etfs_com_ouro,hrp,etfs_com_ouro__hrp,BOVA11.SA,6.0649
etfs_com_ouro,hrp,etfs_com_ouro__hrp,EWW,5.5534
etfs_com_ouro,hrp,etfs_com_ouro__hrp,EWH,5.1887
etfs_com_ouro,hrp,etfs_com_ouro__hrp,XLE,4.3478
etfs_com_ouro,hrp,etfs_com_ouro__hrp,EWG,4.1695
etfs_com_ouro,hrp,etfs_com_ouro__hrp,ENZL,4.1046
etfs_com_ouro,hrp,etfs_com_ouro__hrp,INDA,3.677
etfs_com_ouro,hrp,etfs_com_ouro__hrp,SMAL11.SA,3.5763
etfs_com_ouro,hrp,etfs_com_ouro__hrp,QQQ,3.4371
etfs_com_ouro,hrp,etfs_com_ouro__hrp,EZA,3.4015
etfs_com_ouro,hrp,etfs_com_ouro__hrp,IEMG,3.2345
etfs_com_ouro,hrp,etfs_com_ouro__hrp,EWU,3.1583
etfs_com_ouro,hrp,etfs_com_ouro__hrp,VEA,3.1036
etfs_com_ouro,hrp,etfs_com_ouro__hrp,EWJ,3.0342
etfs_com_ouro,hrp,etfs_com_ouro__hrp,ACWI,2.7872
etfs_com_ouro,hrp,etfs_com_ouro__hrp,VT,2.7316
etfs_com_ouro,hrp,etfs_com_ouro__hrp,EWA,2.7046
etfs_com_ouro,hrp,etfs_com_ouro__hrp,SPY,2.5647
etfs_com_ouro,hrp,etfs_com_ouro__hrp,ARGT,2.5015
etfs_com_ouro,hrp,etfs_com_ouro__hrp,EWY,2.4027
etfs_com_ouro,hrp,etfs_com_ouro__hrp,FEZ,2.3903
etfs_com_ouro,hrp,etfs_com_ouro__hrp,MCHI,2.327
etfs_com_ouro,hrp,etfs_com_ouro__hrp,EWT,2.009
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,GLD,12.5426
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,ECH,8.1836
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,BOVA11.SA,5.7613
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,ARGT,5.1339
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,SMAL11.SA,4.4096
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,EWG,4.1773
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,EWW,4.1709
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,ENZL,4.1124
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,EZA,3.8707
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,XLE,3.5987
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,EWH,3.5891
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,QQQ,3.4435
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,INDA,3.3429
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,IEMG,3.2406
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,EWU,3.1642
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,VEA,3.1094
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,EWJ,3.0399
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,ACWI,2.7925
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,VT,2.7367
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,EWA,2.7097
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,SPY,2.5695
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,EWY,2.4793
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,MCHI,2.4012
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,FEZ,2.3948
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,EWT,2.0127
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,BTC-USD,1.013
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,GLD,14.6389
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,ECH,9.9559
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,BOVA11.SA,5.6817
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,EWG,4.1003
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,ENZL,4.0365
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,EWW,3.9485
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,EZA,3.6643
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,XLE,3.4068
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,EWH,3.3977
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,QQQ,3.38
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,SMAL11.SA,3.3503
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,IEMG,3.1808
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,INDA,3.1646
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,EWU,3.1058
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,USO,3.0533
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,VEA,3.052
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,EWJ,2.9838
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,ACWI,2.741
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,VT,2.6863
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,EWA,2.6597
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,SPY,2.5221
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,FEZ,2.3506
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,EWY,2.3471
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,ARGT,2.3434
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,MCHI,2.2731
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,EWT,1.9756
