ativo,etfs_america_norte,etfs_asia,etfs_brasil,etfs_com_btc,etfs_com_btc_petroleo,etfs_com_ouro,etfs_com_ouro_btc,etfs_com_ouro_petroleo,etfs_com_petroleo,etfs_com_tudo,etfs_desenvolvidos_emergentes,etfs_europa,etfs_exterior,etfs_global,etfs_latam,etfs_oceania,etfs_todos
ACWI,0.0,0.0,0.0,3.0837,3.0379,2.7872,2.7925,2.741,3.0349,2.6647,0.0,0.0,3.2377,24.9998,0.0,0.0,2.8832
ARGT,0.0,0.0,0.0,4.7507,4.4374,2.5015,5.1339,2.3434,2.7489,5.7585,0.0,0.0,3.8713,0.0,17.779,0.0,2.6075
BOVA11.SA,0.0,0.0,50.0,6.2186,5.9661,6.0649,5.7613,5.6817,6.6647,5.8409,0.0,0.0,0.0,0.0,0.0,0.0,6.3219
BTC-USD,0.0,0.0,0.0,1.0934,1.049,0.0,1.013,0.0,0.0,1.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECH,0.0,0.0,0.0,6.1889,8.3979,6.8653,8.1836,9.9559,7.1412,4.8807,0.0,0.0,7.0289,0.0,32.28,0.0,7.4442
ENZL,0.0,0.0,0.0,4.5412,4.4738,4.1046,4.1124,4.0365,4.4694,2.5047,0.0,0.0,3.8236,0.0,0.0,50.0,4.5595
EWA,0.0,0.0,0.0,2.9923,2.9478,2.7046,2.7097,2.6597,2.945,2.8741,0.0,0.0,4.3875,0.0,0.0,50.0,4.8358
EWG,0.0,0.0,0.0,4.613,4.5445,4.1695,4.1773,4.1003,4.5401,2.2064,0.0,20.5442,5.1066,0.0,0.0,0.0,2.5263
EWH,0.0,22.6884,0.0,6.7755,4.5961,5.1887,3.5891,3.3977,6.6744,3.0773,0.0,0.0,3.8886,0.0,0.0,0.0,4.4964
EWJ,0.0,29.3592,0.0,3.3569,3.3071,3.0342,3.0399,2.9838,3.3039,2.6499,0.0,0.0,6.1329,0.0,0.0,0.0,3.034
EWT,0.0,12.7209,0.0,2.2227,2.1896,2.009,2.0127,1.9756,2.1875,1.9207,0.0,0.0,2.44,0.0,0.0,0.0,2.1728
EWU,0.0,0.0,0.0,3.4942,3.4423,3.1583,3.1642,3.1058,3.439,2.9884,0.0,57.362,4.2472,0.0,0.0,0.0,3.7533
EWW,0.0,0.0,0.0,7.2516,5.3411,5.5534,4.1709,3.9485,7.1434,4.0948,0.0,0.0,5.3003,0.0,49.941,0.0,6.2455
EWY,0.0,8.4557,0.0,3.1375,3.1749,2.4027,2.4793,2.3471,3.0906,2.9498,0.0,0.0,4.503,0.0,0.0,0.0,2.9383
EZA,0.0,0.0,0.0,4.4417,4.9567,3.4015,3.8707,3.6643,4.3755,3.1634,0.0,0.0,4.9188,0.0,0.0,0.0,5.7795
FEZ,0.0,0.0,0.0,2.6445,2.6052,2.3903,2.3948,2.3506,2.6027,2.2617,0.0,22.0938,5.3331,0.0,0.0,0.0,4.7128
GLD,0.0,0.0,0.0,0.0,0.0,14.6648,12.5426,14.6389,0.0,18.7767,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEMG,0.0,0.0,0.0,3.5786,3.5254,3.2345,3.2406,3.1808,3.522,3.0923,50.0,0.0,3.9285,0.0,0.0,0.0,3.4983
INDA,0.0,15.8476,0.0,4.8014,4.2808,3.677,3.3429,3.1646,4.7298,3.4196,0.0,0.0,6.547,0.0,0.0,0.0,4.1879
MCHI,0.0,10.9282,0.0,3.0386,3.0748,2.327,2.4012,2.2731,2.9932,1.9764,0.0,0.0,2.4975,0.0,0.0,0.0,4.504
QQQ,28.2171,0.0,0.0,3.8027,3.7462,3.4371,3.4435,3.38,3.7426,3.286,0.0,0.0,2.4227,0.0,0.0,0.0,2.1409
SMAL11.SA,0.0,0.0,50.0,4.7597,4.5664,3.5763,4.4096,3.3503,3.93,4.4706,0.0,0.0,0.0,0.0,0.0,0.0,3.7278
SPY,39.6558,0.0,0.0,2.8375,2.7953,2.5647,2.5695,2.5221,2.7926,2.4519,0.0,0.0,2.7043,0.0,0.0,0.0,2.4082
USO,0.0,0.0,0.0,0.0,2.5755,0.0,0.0,3.0533,3.0524,3.7573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEA,0.0,0.0,0.0,3.4337,3.3827,3.1036,3.1094,3.052,3.3794,2.9671,50.0,0.0,6.477,50.4992,0.0,0.0,5.7677
VT,0.0,0.0,0.0,3.0222,2.9773,2.7316,2.7367,2.6863,2.9744,2.6115,0.0,0.0,6.6302,24.501,0.0,0.0,5.9042
XLE,32.1271,0.0,0.0,3.9194,4.6084,4.3478,3.5987,3.4068,4.5225,2.3274,0.0,0.0,4.5732,0.0,0.0,0.0,3.5498
