carteira,tipo,carteira_tipo,ativo,peso_%
etfs_america_norte,hrp,etfs_america_norte__hrp,SPY,39.6558
etfs_america_norte,hrp,etfs_america_norte__hrp,XLE,32.1271
etfs_america_norte,hrp,etfs_america_norte__hrp,QQQ,28.2171
etfs_asia,hrp,etfs_asia__hrp,EWJ,29.3592
etfs_asia,hrp,etfs_asia__hrp,EWH,22.6884
etfs_asia,hrp,etfs_asia__hrp,INDA,15.8476
etfs_asia,hrp,etfs_asia__hrp,EWT,12.7209
etfs_asia,hrp,etfs_asia__hrp,MCHI,10.9282
etfs_asia,hrp,etfs_asia__hrp,EWY,8.4557
etfs_brasil,hrp,etfs_brasil__hrp,BOVA11.SA,50.0
etfs_brasil,hrp,etfs_brasil__hrp,SMAL11.SA,50.0
etfs_com_btc,hrp,etfs_com_btc__hrp,EWW,7.2516
etfs_com_btc,hrp,etfs_com_btc__hrp,EWH,6.7755
etfs_com_btc,hrp,etfs_com_btc__hrp,BOVA11.SA,6.2186
etfs_com_btc,hrp,etfs_com_btc__hrp,ECH,6.1889
etfs_com_btc,hrp,etfs_com_btc__hrp,INDA,4.8014
etfs_com_btc,hrp,etfs_com_btc__hrp,SMAL11.SA,4.7597
etfs_com_btc,hrp,etfs_com_btc__hrp,ARGT,4.7507
etfs_com_btc,hrp,etfs_com_btc__hrp,EWG,4.613
etfs_com_btc,hrp,etfs_com_btc__hrp,ENZL,4.5412
etfs_com_btc,hrp,etfs_com_btc__hrp,EZA,4.4417
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,ECH,8.3979
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,BOVA11.SA,5.9661
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,EWW,5.3411
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,EZA,4.9567
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,XLE,4.6084
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,EWH,4.5961
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,SMAL11.SA,4.5664
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,EWG,4.5445
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,ENZL,4.4738
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo__hrp,ARGT,4.4374
etfs_com_ouro,hrp,etfs_com_ouro__hrp,GLD,14.6648
etfs_com_ouro,hrp,etfs_com_ouro__hrp,ECH,6.8653
etfs_com_ouro,hrp,etfs_com_ouro__hrp,BOVA11.SA,6.0649
etfs_com_ouro,hrp,etfs_com_ouro__hrp,EWW,5.5534
etfs_com_ouro,hrp,etfs_com_ouro__hrp,EWH,5.1887
etfs_com_ouro,hrp,etfs_com_ouro__hrp,XLE,4.3478
etfs_com_ouro,hrp,etfs_com_ouro__hrp,EWG,4.1695
etfs_com_ouro,hrp,etfs_com_ouro__hrp,ENZL,4.1046
etfs_com_ouro,hrp,etfs_com_ouro__hrp,INDA,3.677
etfs_com_ouro,hrp,etfs_com_ouro__hrp,SMAL11.SA,3.5763
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,GLD,12.5426
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,ECH,8.1836
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,BOVA11.SA,5.7613
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,ARGT,5.1339
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,SMAL11.SA,4.4096
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,EWG,4.1773
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,EWW,4.1709
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,ENZL,4.1124
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,EZA,3.8707
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc__hrp,XLE,3.5987
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,GLD,14.6389
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,ECH,9.9559
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,BOVA11.SA,5.6817
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,EWG,4.1003
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,ENZL,4.0365
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,EWW,3.9485
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,EZA,3.6643
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,XLE,3.4068
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,EWH,3.3977
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo__hrp,QQQ,3.38
etfs_com_petroleo,hrp,etfs_com_petroleo__hrp,EWW,7.1434
etfs_com_petroleo,hrp,etfs_com_petroleo__hrp,ECH,7.1412
etfs_com_petroleo,hrp,etfs_com_petroleo__hrp,EWH,6.6744
etfs_com_petroleo,hrp,etfs_com_petroleo__hrp,BOVA11.SA,6.6647
etfs_com_petroleo,hrp,etfs_com_petroleo__hrp,INDA,4.7298
etfs_com_petroleo,hrp,etfs_com_petroleo__hrp,EWG,4.5401
etfs_com_petroleo,hrp,etfs_com_petroleo__hrp,XLE,4.5225
etfs_com_petroleo,hrp,etfs_com_petroleo__hrp,ENZL,4.4694
etfs_com_petroleo,hrp,etfs_com_petroleo__hrp,EZA,4.3755
etfs_com_petroleo,hrp,etfs_com_petroleo__hrp,SMAL11.SA,3.93
etfs_com_tudo,hrp,etfs_com_tudo__hrp,GLD,18.7767
etfs_com_tudo,hrp,etfs_com_tudo__hrp,BOVA11.SA,5.8409
etfs_com_tudo,hrp,etfs_com_tudo__hrp,ARGT,5.7585
etfs_com_tudo,hrp,etfs_com_tudo__hrp,ECH,4.8807
etfs_com_tudo,hrp,etfs_com_tudo__hrp,SMAL11.SA,4.4706
etfs_com_tudo,hrp,etfs_com_tudo__hrp,EWW,4.0948
etfs_com_tudo,hrp,etfs_com_tudo__hrp,USO,3.7573
etfs_com_tudo,hrp,etfs_com_tudo__hrp,INDA,3.4196
etfs_com_tudo,hrp,etfs_com_tudo__hrp,QQQ,3.286
etfs_com_tudo,hrp,etfs_com_tudo__hrp,EZA,3.1634
etfs_desenvolvidos_emergentes,hrp,etfs_desenvolvidos_emergentes__hrp,IEMG,50.0
etfs_desenvolvidos_emergentes,hrp,etfs_desenvolvidos_emergentes__hrp,VEA,50.0
etfs_europa,hrp,etfs_europa__hrp,EWU,57.362
etfs_europa,hrp,etfs_europa__hrp,FEZ,22.0938
etfs_europa,hrp,etfs_europa__hrp,EWG,20.5442
etfs_exterior,hrp,etfs_exterior__hrp,ECH,7.0289
etfs_exterior,hrp,etfs_exterior__hrp,VT,6.6302
etfs_exterior,hrp,etfs_exterior__hrp,INDA,6.547
etfs_exterior,hrp,etfs_exterior__hrp,VEA,6.477
etfs_exterior,hrp,etfs_exterior__hrp,EWJ,6.1329
etfs_exterior,hrp,etfs_exterior__hrp,FEZ,5.3331
etfs_exterior,hrp,etfs_exterior__hrp,EWW,5.3003
etfs_exterior,hrp,etfs_exterior__hrp,EWG,5.1066
etfs_exterior,hrp,etfs_exterior__hrp,EZA,4.9188
etfs_exterior,hrp,etfs_exterior__hrp,XLE,4.5732
etfs_global,hrp,etfs_global__hrp,VEA,50.4992
etfs_global,hrp,etfs_global__hrp,ACWI,24.9998
etfs_global,hrp,etfs_global__hrp,VT,24.501
etfs_latam,hrp,etfs_latam__hrp,EWW,49.941
etfs_latam,hrp,etfs_latam__hrp,ECH,32.28
etfs_latam,hrp,etfs_latam__hrp,ARGT,17.779
etfs_oceania,hrp,etfs_oceania__hrp,ENZL,50.0
etfs_oceania,hrp,etfs_oceania__hrp,EWA,50.0
etfs_todos,hrp,etfs_todos__hrp,ECH,7.4442
etfs_todos,hrp,etfs_todos__hrp,BOVA11.SA,6.3219
etfs_todos,hrp,etfs_todos__hrp,EWW,6.2455
etfs_todos,hrp,etfs_todos__hrp,VT,5.9042
etfs_todos,hrp,etfs_todos__hrp,EZA,5.7795
etfs_todos,hrp,etfs_todos__hrp,VEA,5.7677
etfs_todos,hrp,etfs_todos__hrp,EWA,4.8358
etfs_todos,hrp,etfs_todos__hrp,FEZ,4.7128
etfs_todos,hrp,etfs_todos__hrp,ENZL,4.5595
etfs_todos,hrp,etfs_todos__hrp,MCHI,4.504
