carteira,tipo,coluna_retorno,data_inicio,data_fim,n_meses,retorno_total,retorno_anualizado_media,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,melhor_mes,pior_mes,n_ativos_total,n_ativos_com_peso,peso_max,peso_min,peso_medio,peso_mediano,top1_peso,top3_peso,top5_peso,hhi,n_efetivo_ativos,gini_pesos,classificacao_concentracao,metodo_ligacao,distancia,n_clusters_finais,ordem_hrp,n_ativos_universo,n_ativos_validos,n_ativos_com_peso_manifesto,metodo_ligacao_manifesto,distancia_manifesto,n_clusters_finais_manifesto,periodo_inicio,periodo_fim,ordem_hrp_manifesto
etfs_com_tudo,hrp,etfs_com_tudo,2015-02-28,2026-04-30,135,442.757,17.1304,16.3551,12.5281,1.3673610285991922,2.3433719728859574,-17.8305,0.9172559653706785,64.4444,0.14647201358292447,-0.11567604090952953,27,27,18.7767,1.027,3.7037,2.9671,18.7767,30.3762,39.7275,0.06380396562192717,15.673007002817632,0.2977299619676186,baixa,single,correlacao,27,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | GLD | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG,27,27,27,single,correlacao,27,2015-02-28,2026-04-30,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | GLD | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_ouro_btc,hrp,etfs_com_ouro_btc,2015-02-28,2026-04-30,135,410.1785,16.7447,15.7119,13.2728,1.261573835484776,2.2345611024694083,-19.7982,0.7936041896696036,65.1852,0.1566996295920622,-0.12157207249741038,26,26,12.5426,1.013,3.8462,3.2917,12.5426,26.4875,36.031,0.051026831276327504,19.59753280748833,0.25415584686650683,baixa,single,correlacao,26,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | GLD | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG,26,26,26,single,correlacao,26,2015-02-28,2026-04-30,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | GLD | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_ouro_petroleo,hrp,etfs_com_ouro_petroleo,2015-02-28,2026-04-30,135,361.355,15.7592,14.6742,12.9012,1.221530338109553,2.073631188996993,-17.9348,0.8182002902444728,65.9259,0.15220205687633037,-0.12435741113048043,26,26,14.6389,1.9756,3.8462,3.1352,14.6389,30.2764,38.4132,0.05646992423617762,17.70854155599074,0.2609068325707409,baixa,single,correlacao,26,BOVA11.SA | SMAL11.SA | ARGT | GLD | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG,26,26,26,single,correlacao,26,2015-02-28,2026-04-30,BOVA11.SA | SMAL11.SA | ARGT | GLD | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_ouro,hrp,etfs_com_ouro,2015-02-28,2026-04-30,135,365.9956,15.8631,14.7771,13.0838,1.212422420746018,2.083759436042941,-18.8484,0.783993415624497,64.4444,0.15118859130241777,-0.12385693355682885,25,25,14.6648,2.009,4.0,3.2345,14.6648,27.595,38.3371,0.05551579461456815,18.012891771481293,0.25809930416639904,baixa,single,correlacao,25,BOVA11.SA | SMAL11.SA | ARGT | GLD | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG,25,25,25,single,correlacao,25,2015-02-28,2026-04-30,BOVA11.SA | SMAL11.SA | ARGT | GLD | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_btc_petroleo,hrp,etfs_com_btc_petroleo,2015-02-28,2026-04-30,135,365.7523,16.148,14.7717,14.1488,1.1412966197672383,1.8738686903666988,-20.0134,0.7380906554474775,64.4444,0.16977908122617083,-0.13563042724347468,26,26,8.3979,1.049,3.8462,3.4838,8.3979,19.705,29.2702,0.043524690762951845,22.975464787246658,0.1898395317784547,baixa,single,correlacao,26,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG,26,26,26,single,correlacao,26,2015-02-28,2026-04-30,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_btc,hrp,etfs_com_btc,2015-02-28,2026-04-30,135,368.9906,16.2184,14.8429,14.2477,1.138313031897382,1.9431072689159998,-21.437,0.6923972247077115,65.1852,0.1692971262656175,-0.13542405392962248,25,25,7.2516,1.0934,4.0,3.5786,7.2516,20.2457,31.236,0.04511253435313912,22.166788329204472,0.1956703420940804,baixa,single,correlacao,25,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG,25,25,25,single,correlacao,25,2015-02-28,2026-04-30,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_america_norte,hrp,etfs_america_norte,2015-02-28,2026-04-30,135,606.5063,20.6829,19.1352,18.6284,1.1102874682636186,2.128044545315824,-22.4499,0.8523515929768322,60.7407,0.22404784696051402,-0.16019941091156456,3,3,39.6558,28.2171,33.3333,32.1271,39.6558,100.0,100.0,0.3400937737963183,2.9403655022479143,0.07625803566660494,alta,single,correlacao,3,XLE | QQQ | SPY,3,3,3,single,correlacao,3,2015-02-28,2026-04-30,XLE | QQQ | SPY
etfs_com_petroleo,hrp,etfs_com_petroleo,2015-02-28,2026-04-30,135,321.6579,15.2103,13.754,14.0031,1.0862079849200097,1.7364568541495906,-19.3922,0.709254537749819,64.4444,0.1665410157658348,-0.1384440103444511,25,25,7.1434,2.1875,4.0,3.439,7.1434,20.959,32.3535,0.045103942863238544,22.17101070370144,0.1871317658286229,baixa,single,correlacao,25,BOVA11.SA | SMAL11.SA | ARGT | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG,25,25,25,single,correlacao,25,2015-02-28,2026-04-30,BOVA11.SA | SMAL11.SA | ARGT | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_todos,hrp,etfs_todos,2015-02-28,2026-04-30,135,317.3515,15.177,13.6495,14.2756,1.0631444614396675,1.8062199863425823,-21.9551,0.6216974449834352,64.4444,0.16975898029010586,-0.137761990785267,24,24,7.4442,2.1409,4.1667,3.9706,7.4442,20.0117,31.6954,0.04676056227474544,21.385542674282224,0.1981002201152915,baixa,single,correlacao,24,BOVA11.SA | SMAL11.SA | ARGT | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG,24,24,24,single,correlacao,24,2015-02-28,2026-04-30,BOVA11.SA | SMAL11.SA | ARGT | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_global,hrp,etfs_global,2015-02-28,2026-04-30,135,361.2731,16.4874,14.6724,16.2972,1.0116689382843647,1.6908906462252002,-29.5375,0.4967385514034313,60.0,0.18365270457122987,-0.1538501623879144,3,3,50.4992,24.501,33.3333,24.9998,50.4992,100.0,100.0,0.37754573420573084,2.648685733673483,0.17332136355366812,alta,single,correlacao,3,VEA | ACWI | VT,3,3,3,single,correlacao,3,2015-02-28,2026-04-30,VEA | ACWI | VT
