carteira,tipo,n_ativos_total,n_ativos_com_peso,peso_max,peso_min,peso_medio,peso_mediano,top1_peso,top3_peso,top5_peso,hhi,n_efetivo_ativos,gini_pesos,classificacao_concentracao,metodo_ligacao,distancia,n_clusters_finais,ordem_hrp
etfs_america_norte,hrp,3,3,0.39619692481026747,0.28205068120490684,0.3333333333333333,0.3217523939848257,0.39619692481026747,1.0,1.0,0.34004919303223125,2.940750986887994,0.07609749573690716,alta,single,correlacao,3,XLE | QQQ | SPY
etfs_asia,hrp,6,6,0.293520558721879,0.08470934555910614,0.16666666666666666,0.14282708010221537,0.293520558721879,0.6788437363784943,0.9152906544408939,0.1980169072794143,5.050073823185902,0.2380097803788115,media,single,correlacao,6,EWH | MCHI | INDA | EWJ | EWT | EWY
etfs_brasil,hrp,2,2,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,2.0,0.0,alta,single,correlacao,2,BOVA11.SA | SMAL11.SA
etfs_com_btc,hrp,25,25,0.07250816688505678,0.010928904376730195,0.04,0.035795742775122534,0.07250816688505678,0.20241486164691366,0.3122582297901694,0.04510732101595458,22.169350284542446,0.19560077907483153,baixa,single,correlacao,25,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_btc_petroleo,hrp,26,26,0.08395524031180839,0.010486573014621742,0.038461538461538464,0.03484542175566842,0.08395524031180839,0.1969983393362928,0.2926907660217013,0.043521334618965034,22.977236538243382,0.18979639893414335,baixa,single,correlacao,26,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_ouro,hrp,25,25,0.1467642458635856,0.020092623871740642,0.04000000000000001,0.03235254756222831,0.1467642458635856,0.2759871316213194,0.38335776540666233,0.05553662224818592,18.006136482898267,0.2581602741006963,baixa,single,correlacao,25,BOVA11.SA | SMAL11.SA | ARGT | GLD | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_ouro_btc,hrp,26,26,0.12550264998101235,0.010125513563981085,0.038461538461538464,0.032911174414970615,0.12550264998101235,0.26492174646147965,0.3603621887565144,0.051037733108758615,19.59334670819048,0.25420028854422183,baixa,single,correlacao,26,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | GLD | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_ouro_petroleo,hrp,26,26,0.14650597544991978,0.019758795135772073,0.03846153846153846,0.03134245440686659,0.14650597544991978,0.30283844515381786,0.38420502111523563,0.056491350651503264,17.701824942530198,0.2609854507788114,baixa,single,correlacao,26,BOVA11.SA | SMAL11.SA | ARGT | GLD | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_petroleo,hrp,25,25,0.07142616915463347,0.021879678555312213,0.04,0.03439318763461156,0.07142616915463347,0.20948785038290063,0.32342456526405394,0.04509789627699769,22.173983324141282,0.1870806706025374,baixa,single,correlacao,25,BOVA11.SA | SMAL11.SA | ARGT | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_com_tudo,hrp,27,27,0.18794654799246732,0.010256601840361005,0.037037037037037035,0.029663472789949602,0.18794654799246732,0.30383546885105894,0.3972987612593166,0.06385370764722709,15.660797733542823,0.29779772090828627,baixa,single,correlacao,27,BTC-USD | BOVA11.SA | SMAL11.SA | ARGT | GLD | USO | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_desenvolvidos_emergentes,hrp,2,2,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,2.0,0.0,alta,single,correlacao,2,VEA | IEMG
etfs_europa,hrp,3,3,0.5736564784457583,0.20542247059679825,0.3333333333333333,0.22092105095744347,0.5736564784457583,1.0,1.0,0.42008625744502254,2.3804634935739877,0.24548933856597333,alta,single,correlacao,3,EWU | EWG | FEZ
etfs_exterior,hrp,22,22,0.07027935411195978,0.02423049595838045,0.045454545454545456,0.044461013343086456,0.07027935411195978,0.20205313749316395,0.32815528365342794,0.04970938699481862,20.116924799419344,0.17430352855239106,baixa,single,correlacao,22,ARGT | ECH | XLE | EWW | EZA | INDA | EWH | MCHI | EWY | ENZL | EWA | EWJ | EWG | FEZ | EWU | QQQ | VEA | SPY | ACWI | VT | EWT | IEMG
etfs_global,hrp,3,3,0.5049874362544066,0.24501033952990559,0.3333333333333333,0.25000222421568785,0.5049874362544066,1.0,1.0,0.37754348936414905,2.648701482534315,0.1733180644830008,alta,single,correlacao,3,VEA | ACWI | VT
etfs_latam,hrp,3,3,0.49942299876016993,0.17778173173398643,0.3333333333333333,0.32279526950584364,0.49942299876016993,1.0,1.0,0.38522646184428605,2.5958756706703445,0.21442751135078897,alta,single,correlacao,3,EWW | ARGT | ECH
