carteira,metodo,tipo,estrategia,cenario_alternativos,detalhe_alternativos,grupo_familia,retorno_total,cagr,vol_anual,sharpe,sortino,max_drawdown,calmar,pct_meses_positivos,peso_max,top3_peso,hhi,n_efetivo_ativos,n_clusters_finais,rank_sharpe,rank_cagr,rank_mdd,rank_calmar,rank_vol,score_final
etfs_com_tudo,equal_weight,equal_weight,etfs_com_tudo,com_alternativos,ouro+btc+petroleo,alternativos,4.905224061594626,0.17235622825607733,0.1440016796321268,1.2715594923273479,2.1990752919216017,-0.23695812190062482,0.7273699963251729,0.6296296296296297,,,,,,29.0,25.0,47.0,43.0,38.0,182.0
etfs_com_ouro_btc,equal_weight,equal_weight,etfs_com_ouro_btc,com_alternativos,ouro+btc,alternativos,5.055208814386859,0.1749921764533937,0.14649346411688438,1.2680498358084566,2.301529969808619,-0.24993710644261702,0.7001448442133186,0.6370370370370371,,,,,,31.0,21.0,53.0,48.0,42.0,195.0
etfs_com_btc_petroleo,equal_weight,equal_weight,etfs_com_btc_petroleo,com_alternativos,btc+petroleo,alternativos,4.827223592867842,0.17096120137334747,0.1474405200507297,1.239603954284959,2.1280251952357867,-0.2419908895426568,0.7064778417751607,0.6296296296296297,,,,,,34.0,26.0,50.0,47.0,43.0,200.0
etfs_com_btc,equal_weight,equal_weight,etfs_com_btc,com_alternativos,btc,alternativos,4.9775870074705075,0.17363550754605872,0.1499754726945394,1.2367654941087156,2.244152374315299,-0.255629459426015,0.6792468596379159,0.6370370370370371,,,,,,35.0,22.0,59.0,51.0,44.0,211.0
etfs_com_ouro_petroleo,equal_weight,equal_weight,etfs_com_ouro_petroleo,com_alternativos,ouro+petroleo,alternativos,3.569257986680592,0.14573775756317575,0.14048669758901125,1.1336861688884787,1.8721200352406542,-0.21354096130481992,0.6824815092741939,0.6444444444444445,,,,,,46.0,54.0,29.0,50.0,31.0,210.0
etfs_com_ouro,equal_weight,equal_weight,etfs_com_ouro,com_alternativos,ouro,alternativos,3.6433236071549384,0.1473886132429778,0.14268853278622096,1.1286799627767488,1.9756572952209115,-0.22647847798922505,0.6507841917322933,0.6592592592592592,,,,,,47.0,51.0,39.0,53.0,35.0,225.0
etfs_america_norte,equal_weight,equal_weight,etfs_america_norte,sem_alternativos,nenhum,regional,6.173079693011697,0.19295294128616103,0.18777423983189015,1.1106035453152714,2.1138830585128043,-0.226587516852659,0.851560332918211,0.6074074074074074,,,,,,51.0,17.0,40.0,27.0,93.0,228.0
etfs_com_petroleo,equal_weight,equal_weight,etfs_com_petroleo,com_alternativos,petroleo,alternativos,3.4603315561405745,0.1432650713302508,0.14384543382946186,1.097988898957424,1.7952702120466308,-0.21794988941096372,0.657330323577783,0.6444444444444445,,,,,,53.0,58.0,34.0,52.0,37.0,234.0
etfs_todos,equal_weight,equal_weight,etfs_todos,sem_alternativos,nenhum,amplo_base,3.5307787611913923,0.1448704501162843,0.14605855350293956,1.0934432342484701,1.8990931886163034,-0.23156453502164198,0.6256158789719019,0.6518518518518519,,,,,,54.0,57.0,44.0,56.0,39.0,250.0
etfs_exterior,equal_weight,equal_weight,etfs_exterior,sem_alternativos,nenhum,amplo_base,3.5323201470987042,0.14490532109553667,0.1561844666927013,1.0367252367961648,1.7335400471459572,-0.2524855771824779,0.5739152418627455,0.6222222222222222,,,,,,59.0,56.0,56.0,63.0,54.0,288.0
etfs_global,equal_weight,equal_weight,etfs_global,sem_alternativos,nenhum,global_macro,3.8133551042180844,0.1510895705969293,0.16346637535195085,1.03206220915005,1.7471285122260907,-0.2898539823682681,0.5212609789330598,0.5925925925925926,,,,,,60.0,40.0,71.0,66.0,63.0,300.0
etfs_desenvolvidos_emergentes,equal_weight,equal_weight,etfs_desenvolvidos_emergentes,sem_alternativos,nenhum,global_macro,2.8806864203835367,0.12910214057280744,0.15524069172688146,0.9502850839298949,1.4833888848423014,-0.3139025909907759,0.41128090139466594,0.6444444444444445,,,,,,70.0,77.0,84.0,79.0,51.0,361.0
etfs_latam,equal_weight,equal_weight,etfs_latam,sem_alternativos,nenhum,regional,3.674171825117437,0.14806912916026116,0.18605477122862873,0.9249132889209893,1.4484572056262093,-0.25645652532561036,0.5773654188454164,0.6222222222222222,,,,,,77.0,48.0,60.0,61.0,86.0,332.0
etfs_asia,equal_weight,equal_weight,etfs_asia,sem_alternativos,nenhum,regional,3.1307538528037426,0.13543357629645336,0.17322353474110644,0.8949073388932091,1.4306708638531747,-0.3716563038072177,0.3644054329472756,0.6444444444444445,,,,,,78.0,69.0,95.0,89.0,71.0,402.0
etfs_europa,equal_weight,equal_weight,etfs_europa,sem_alternativos,nenhum,regional,2.527874946130015,0.11950625281952365,0.17427705611952443,0.8194471587991194,1.2851120757478796,-0.33654649467557285,0.35509581799307216,0.6074074074074074,,,,,,88.0,88.0,89.0,90.0,74.0,429.0
etfs_oceania,equal_weight,equal_weight,etfs_oceania,sem_alternativos,nenhum,regional,2.1392519741629843,0.10786745861955027,0.18460896685479145,0.7308340832643169,1.322557433927916,-0.3090700123633605,0.34900654966401295,0.5555555555555556,,,,,,93.0,99.0,79.0,93.0,85.0,449.0
etfs_brasil,equal_weight,equal_weight,etfs_brasil,sem_alternativos,nenhum,amplo_base,2.213691843384489,0.11019480249160862,0.2287898219275925,0.604151582708863,0.8007991837866979,-0.3988778474947454,0.2762620265419986,0.5703703703703704,,,,,,99.0,95.0,99.0,99.0,99.0,491.0
etfs_com_tudo,markowitz_puro,max_sharpe,etfs_com_tudo__max_sharpe,com_alternativos,ouro+btc+petroleo,alternativos,9.586269069888134,0.235287433582811,0.11177495773452023,2.0330545213374034,4.4140037391723475,-0.14303749746174754,1.644935333448027,0.7185185185185186,0.39757580626967415,0.8659885640739855,0.2865021762759022,3.4903748830061168,,1.0,7.0,7.0,4.0,7.0,26.0
etfs_com_ouro_btc,markowitz_puro,max_sharpe,etfs_com_ouro_btc__max_sharpe,com_alternativos,ouro+btc,alternativos,10.232537739524869,0.2418600221721825,0.11762637195824324,1.9848911596200651,4.648080541265497,-0.1651617456861838,1.4643828155687428,0.7037037037037037,0.39512302278819256,0.8902956243634306,0.2941621135332206,3.399486045258738,,2.0,3.0,11.0,5.0,10.0,31.0
etfs_com_ouro_petroleo,markowitz_puro,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,com_alternativos,ouro+petroleo,alternativos,6.200626621486776,0.19338185188850732,0.10287479273606312,1.8584553072040917,4.0000274573823145,-0.11740293997608076,1.647163622375268,0.7037037037037037,0.38451801097342436,0.9144052073858837,0.2949615951435153,3.3902718742534743,,3.0,16.0,3.0,3.0,5.0,30.0
etfs_com_ouro,markowitz_puro,max_sharpe,etfs_com_ouro__max_sharpe,com_alternativos,ouro,alternativos,6.482784393045035,0.19749668340113513,0.10735516159679293,1.8191932806945752,3.9891762252909864,-0.13582811172603448,1.4540192077431382,0.6814814814814815,0.38197219442456476,0.9338246563687047,0.3028364602936119,3.302112298599913,,4.0,13.0,6.0,6.0,6.0,35.0
etfs_com_btc_petroleo,markowitz_puro,max_sharpe,etfs_com_btc_petroleo__max_sharpe,com_alternativos,btc+petroleo,alternativos,13.666782520002588,0.27188515148973624,0.1559415809430484,1.7121795681933791,2.9603622768339073,-0.2515988746835127,1.0806294417323674,0.6888888888888889,0.34063202162887185,0.8305472185960537,0.2547363561522449,3.9256273234996866,,5.0,2.0,54.0,9.0,53.0,123.0
etfs_com_btc,markowitz_puro,max_sharpe,etfs_com_btc__max_sharpe,com_alternativos,btc,alternativos,14.340001940121203,0.27700712591061083,0.15991536619276775,1.6995098668294317,3.170194752616234,-0.2726557785485272,1.0159591239373245,0.6962962962962963,0.35467781031972323,0.8573758598462149,0.2705378650618196,3.696340250824016,,7.0,1.0,65.0,10.0,58.0,141.0
etfs_com_petroleo,markowitz_puro,max_sharpe,etfs_com_petroleo__max_sharpe,com_alternativos,petroleo,alternativos,7.069237941292771,0.2056156657476853,0.13809875093559978,1.5184032078830878,2.5793251053413995,-0.2154346427999353,0.9544224785548142,0.6814814814814815,0.42921275303992007,0.9091331586802367,0.3237470653802894,3.0888310873964224,,14.0,12.0,32.0,12.0,28.0,98.0
etfs_todos,markowitz_puro,max_sharpe,etfs_todos__max_sharpe,sem_alternativos,nenhum,amplo_base,7.339281857452104,0.20917492657412362,0.14119475179746335,1.5096709306200617,2.7289789233528237,-0.2334128223759604,0.8961586790515024,0.6814814814814815,0.44140651207326953,0.9371761384388408,0.3429731828652951,2.915679854750499,,16.0,11.0,46.0,18.0,32.0,123.0
etfs_exterior,markowitz_puro,max_sharpe,etfs_exterior__max_sharpe,sem_alternativos,nenhum,amplo_base,9.024711970567276,0.22927268116011512,0.18150440943958593,1.3159311818825692,2.5382874899472045,-0.27750786292005725,0.8261844502264161,0.6222222222222222,0.4404069045474687,0.936572085278403,0.32185191331899543,3.107018969338471,,22.0,9.0,67.0,31.0,80.0,209.0
etfs_america_norte,markowitz_puro,max_sharpe,etfs_america_norte__max_sharpe,sem_alternativos,nenhum,regional,8.90368311938187,0.2279362689984521,0.19917431060836946,1.2088079540869192,2.1623285652000632,-0.27086919218065053,0.8414994232582743,0.6148148148148148,0.847959156118205,1.0,0.7421511486529868,1.3474344165807894,,40.0,10.0,64.0,30.0,95.0,239.0
etfs_asia,markowitz_puro,max_sharpe,etfs_asia__max_sharpe,sem_alternativos,nenhum,regional,5.601661169915558,0.18413653748693215,0.1882720511261956,1.068697786415581,1.8390229763381958,-0.38162677085545893,0.4825042464242474,0.6222222222222222,0.788452137281095,1.0,0.6664092710040633,1.5005793639295013,,56.0,20.0,98.0,73.0,94.0,341.0
etfs_global,markowitz_puro,max_sharpe,etfs_global__max_sharpe,sem_alternativos,nenhum,global_macro,4.204756474449557,0.15919169495187457,0.16502214715566213,1.0644315206278498,1.8657652989544367,-0.2805816737761425,0.5673631239326167,0.6148148148148148,1.0,1.0,1.0,1.0,,57.0,36.0,69.0,64.0,67.0,293.0
etfs_latam,markowitz_puro,max_sharpe,etfs_latam__max_sharpe,sem_alternativos,nenhum,regional,4.7943235085865314,0.17038461298956697,0.20382703204422997,0.9557270154225771,1.554846758003884,-0.2189096000853682,0.7783332157343582,0.6370370370370371,0.4916553413491064,0.9999999999999999,0.40147044944287946,2.4908433519520554,,68.0,27.0,35.0,36.0,96.0,262.0
etfs_desenvolvidos_emergentes,markowitz_puro,max_sharpe,etfs_desenvolvidos_emergentes__max_sharpe,sem_alternativos,nenhum,global_macro,2.9527085251110337,0.13097567651877262,0.15696620375076892,0.9539685188304871,1.4914278226568691,-0.3125909857423481,0.4190001711269077,0.6370370370370371,0.6815772555963729,1.0,0.5659405994998212,1.7669698920413217,,69.0,74.0,83.0,77.0,56.0,359.0
etfs_europa,markowitz_puro,max_sharpe,etfs_europa__max_sharpe,sem_alternativos,nenhum,regional,2.6830648523000034,0.12384214992479037,0.169123969190869,0.8624532967709706,1.375630266981013,-0.29472502083372043,0.42019557611520303,0.6148148148148148,0.5174883972072294,1.0,0.5006116880737553,1.99755623734592,,84.0,86.0,74.0,76.0,70.0,390.0
etfs_oceania,markowitz_puro,max_sharpe,etfs_oceania__max_sharpe,sem_alternativos,nenhum,regional,2.4881974255519035,0.1183845000435193,0.18625926403026505,0.7807181561694682,1.4811712057011843,-0.24253317754023507,0.48811672384030796,0.5925925925925926,1.0,1.0,1.0,1.0,,91.0,91.0,51.0,71.0,87.0,391.0
etfs_brasil,markowitz_puro,max_sharpe,etfs_brasil__max_sharpe,sem_alternativos,nenhum,amplo_base,2.8764248573645657,0.12900365149258874,0.21860480937115256,0.7038128560832033,0.968175538935241,-0.3765171592094706,0.3426235653202174,0.6,1.0,1.0,1.0,1.0,,97.0,78.0,96.0,94.0,97.0,462.0
etfs_com_tudo,markowitz_puro,min_vol,etfs_com_tudo__min_vol,com_alternativos,ouro+btc+petroleo,alternativos,4.547163246927932,0.16582461079001032,0.09743559689707872,1.710074596341904,2.864529470189996,-0.08986717682621659,1.8452188735235195,0.6518518518518519,0.36349229468751937,0.791090691836934,0.2615953353283714,3.8226981331480365,,6.0,31.0,2.0,1.0,1.0,41.0
etfs_com_ouro_petroleo,markowitz_puro,min_vol,etfs_com_ouro_petroleo__min_vol,com_alternativos,ouro+petroleo,alternativos,4.482128099240307,0.1645940136397337,0.09744423224171167,1.6988720089600398,2.8495464990270403,-0.08923470807254474,1.8445066633257143,0.6518518518518519,0.3632151047536003,0.7900094773251505,0.26172977131680264,3.8207346262859074,,8.0,32.0,1.0,2.0,2.0,45.0
etfs_com_ouro_btc,markowitz_puro,min_vol,etfs_com_ouro_btc__min_vol,com_alternativos,ouro+btc,alternativos,4.388584094925775,0.16280045723640746,0.10071111470438669,1.6356856890154325,3.0608538950144006,-0.12334707983573623,1.3198565985770565,0.674074074074074,0.3440789723104754,0.8051693009130495,0.2602243628451515,3.842837730743365,,9.0,34.0,5.0,8.0,4.0,60.0
etfs_com_ouro,markowitz_puro,min_vol,etfs_com_ouro__min_vol,com_alternativos,ouro,alternativos,4.388584028239967,0.1628004559477414,0.10071111470438303,1.6356856786476999,3.060853786490857,-0.12334707727908689,1.3198566154866136,0.674074074074074,0.3440789469274394,0.8051691846791754,0.2602243320551976,3.84283818543104,,10.0,35.0,4.0,7.0,3.0,59.0
etfs_com_petroleo,markowitz_puro,min_vol,etfs_com_petroleo__min_vol,com_alternativos,petroleo,alternativos,3.3578416164797487,0.14090159907667754,0.11675983424332628,1.288826730333371,1.9236696455452207,-0.16123335311940945,0.8738985845709343,0.6888888888888889,0.3609634677324018,0.7913823621873184,0.24899464627050313,4.016150607967766,,25.0,61.0,8.0,20.0,8.0,122.0
etfs_com_btc_petroleo,markowitz_puro,min_vol,etfs_com_btc_petroleo__min_vol,com_alternativos,btc+petroleo,alternativos,3.3578412452911968,0.14090159037410221,0.11675983424334445,1.2888266646973694,1.9236695814463824,-0.16123343893063158,0.8738980654920047,0.6888888888888889,0.3609634792788407,0.7913829333224753,0.2489948657367786,4.016147068097123,,26.0,62.0,9.0,21.0,9.0,127.0
etfs_todos,markowitz_puro,min_vol,etfs_todos__min_vol,sem_alternativos,nenhum,amplo_base,3.3393773166661322,0.14046786338662476,0.11785215467573587,1.2764263793078672,2.1352092370993887,-0.18090292771422112,0.7764819793769557,0.6962962962962963,0.3694108240072126,0.7736519641707147,0.24552676644360039,4.072875696954648,,27.0,63.0,15.0,37.0,11.0,153.0
etfs_com_btc,markowitz_puro,min_vol,etfs_com_btc__min_vol,com_alternativos,btc,alternativos,3.339377127465749,0.14046785893361036,0.11785215467574922,1.2764263465972474,2.1352092819479473,-0.18090298176513397,0.776481722761096,0.6962962962962963,0.36941086568517845,0.7736520941225808,0.24552688300272868,4.072873763435862,,28.0,64.0,16.0,38.0,12.0,158.0
etfs_america_norte,markowitz_puro,min_vol,etfs_america_norte__min_vol,sem_alternativos,nenhum,regional,5.609314760226697,0.18425941180352923,0.17770162824033123,1.1205980313021124,2.1727968190959417,-0.20196273323549407,0.9123436232598303,0.5777777777777777,0.870156110606876,1.0,0.7740310924392197,1.2919377655084627,,48.0,19.0,27.0,17.0,79.0,190.0
etfs_global,markowitz_puro,min_vol,etfs_global__min_vol,sem_alternativos,nenhum,global_macro,3.561585181349634,0.14557966132837685,0.16249019283295546,1.0076534321587263,1.6752926051325425,-0.2967333586155987,0.4906076688093808,0.6,0.5536062685087435,1.0,0.505747264046863,1.977272189271476,,65.0,55.0,77.0,70.0,61.0,328.0
etfs_exterior,markowitz_puro,min_vol,etfs_exterior__min_vol,sem_alternativos,nenhum,amplo_base,2.7410756184936287,0.1254160855158093,0.14614761345682667,0.9815867779506359,1.5220603655600706,-0.23301510198241848,0.5382315757597215,0.6370370370370371,0.3372579023543863,0.7282448658281025,0.22535004664162483,4.437540683496304,,67.0,84.0,45.0,65.0,41.0,302.0
etfs_desenvolvidos_emergentes,markowitz_puro,min_vol,etfs_desenvolvidos_emergentes__min_vol,sem_alternativos,nenhum,global_macro,2.8260859704745442,0.12768288783497206,0.15503497128573263,0.9422313682237379,1.4914509010485673,-0.3210780047505998,0.3976693698908179,0.6592592592592592,0.5846082134648085,1.0,0.5143170995714134,1.9443257881826446,,74.0,83.0,88.0,83.0,47.0,375.0
etfs_asia,markowitz_puro,min_vol,etfs_asia__min_vol,sem_alternativos,nenhum,regional,2.734580477691539,0.12524096979493415,0.16395909612974938,0.8850544162334677,1.3469894054807483,-0.2989098759054295,0.4189924117280035,0.6444444444444445,0.4788625944420695,0.9111525108197209,0.334909536478845,2.985880935233286,,82.0,85.0,78.0,78.0,66.0,389.0
etfs_europa,markowitz_puro,min_vol,etfs_europa__min_vol,sem_alternativos,nenhum,regional,2.2967707179060106,0.11274591068354933,0.16166875199263644,0.8315380272748774,1.3763439590132354,-0.2521338855099976,0.4471668314455049,0.5777777777777777,1.0,1.0,1.0,1.0,,86.0,93.0,55.0,74.0,60.0,368.0
etfs_latam,markowitz_puro,min_vol,etfs_latam__min_vol,sem_alternativos,nenhum,regional,2.594951658004958,0.12140776026627842,0.17682254669052244,0.8291059021141083,1.168931700863546,-0.2796463259174745,0.43414752497805625,0.6222222222222222,0.49225796762268453,1.0,0.4063004942420692,2.4612325462843554,,87.0,87.0,68.0,75.0,77.0,394.0
etfs_oceania,markowitz_puro,min_vol,etfs_oceania__min_vol,sem_alternativos,nenhum,regional,2.2520844876448205,0.11138680833233172,0.1831069414201421,0.7542067919602864,1.3808037305262097,-0.2812061847228221,0.39610369324601774,0.5851851851851851,0.6990157669653848,1.0,0.5792145510016407,1.7264759634762137,,92.0,94.0,70.0,84.0,81.0,421.0
etfs_brasil,markowitz_puro,min_vol,etfs_brasil__min_vol,sem_alternativos,nenhum,amplo_base,2.8764248573645657,0.12900365149258874,0.21860480937115256,0.7038128560832033,0.968175538935241,-0.3765171592094706,0.3426235653202174,0.6,1.0,1.0,1.0,1.0,,97.0,78.0,96.0,94.0,97.0,462.0
etfs_com_tudo,markowitz_restrito,max_sharpe,etfs_com_tudo__max_sharpe,com_alternativos,ouro+btc+petroleo,alternativos,9.577502263107482,0.23519578900906635,0.14612391276876563,1.61092455143628,3.113671354190177,-0.24313894461361896,0.9673307967295187,0.6444444444444445,0.09999999999999985,0.29999999999999954,0.06087096810747083,16.42819280012844,,11.0,8.0,52.0,11.0,40.0,122.0
etfs_com_ouro_btc,markowitz_restrito,max_sharpe,etfs_com_ouro_btc__max_sharpe,com_alternativos,ouro+btc,alternativos,10.00612444186837,0.23959750724855766,0.14997828131657842,1.5980583783100364,3.36654899761149,-0.2597308003943114,0.9224839983737458,0.6518518518518519,0.09999999999999996,0.2999999999999999,0.06440433727125877,15.526904590108442,,12.0,4.0,62.0,14.0,45.0,137.0
etfs_com_btc_petroleo,markowitz_restrito,max_sharpe,etfs_com_btc_petroleo__max_sharpe,com_alternativos,btc+petroleo,alternativos,9.64001778556133,0.2358477946357067,0.15623928699082162,1.5262382496875992,2.785142817099583,-0.25674292493333184,0.9186145818699738,0.6518518518518519,0.09999999999999985,0.29999999999999954,0.0626884804159881,15.951894085870354,,13.0,6.0,61.0,15.0,55.0,150.0
etfs_com_btc,markowitz_restrito,max_sharpe,etfs_com_btc__max_sharpe,com_alternativos,btc,alternativos,10.00267032577769,0.2395626637538919,0.15964296683017895,1.5166330556376353,3.048625134181371,-0.27577756473471027,0.8686807572049742,0.6444444444444445,0.09999999999999992,0.29999999999999966,0.06657778321164559,15.020025476382681,,15.0,5.0,66.0,23.0,57.0,166.0
etfs_com_ouro_petroleo,markowitz_restrito,max_sharpe,etfs_com_ouro_petroleo__max_sharpe,com_alternativos,ouro+petroleo,alternativos,4.746363140546453,0.1695137962119282,0.12701570200814155,1.3932115004852625,2.529322561887642,-0.181225860675732,0.9353731061332343,0.6518518518518519,0.09999999999999941,0.2999999999999982,0.06242365951832711,16.019567063453042,,17.0,29.0,17.0,13.0,18.0,94.0
etfs_com_ouro,markowitz_restrito,max_sharpe,etfs_com_ouro__max_sharpe,com_alternativos,ouro,alternativos,4.9066360942793485,0.1723984703382042,0.129895757095743,1.3849686056757986,2.709573243542787,-0.1976152551500181,0.87239454366683,0.6518518518518519,0.09999999999999919,0.29999999999999755,0.06628190101152026,15.0870748234302,,18.0,24.0,23.0,22.0,22.0,109.0
etfs_com_petroleo,markowitz_restrito,max_sharpe,etfs_com_petroleo__max_sharpe,com_alternativos,petroleo,alternativos,4.680519797922233,0.168307437106608,0.13696583782783875,1.3005073523700665,2.2373985829504837,-0.1972890109545622,0.8531009218013214,0.6296296296296297,0.09999999999999994,0.2999999999999998,0.06868081622953247,14.560106517342234,,23.0,30.0,22.0,25.0,27.0,127.0
