carteira_ancora,crise,familia_estrategia,retorno_periodo
etfs_todos,stress_2015_2016,equal_weight,0.06220442466965559
etfs_todos,stress_2015_2016,markowitz_puro__min_vol,-0.022956375994319766
etfs_todos,stress_2015_2016,markowitz_puro__max_sharpe,0.04665436971302328
etfs_todos,stress_2015_2016,markowitz_restrito__min_vol,0.01922409721760232
etfs_todos,stress_2015_2016,markowitz_restrito__max_sharpe,0.05401975461667208
etfs_todos,stress_2015_2016,hrp,0.04442330349963175
etfs_todos,covid_2020,equal_weight,-0.09796654363403312
etfs_todos,covid_2020,markowitz_puro__min_vol,-0.13140347351748283
etfs_todos,covid_2020,markowitz_puro__max_sharpe,-0.10896005854274227
etfs_todos,covid_2020,markowitz_restrito__min_vol,-0.1172824974841834
etfs_todos,covid_2020,markowitz_restrito__max_sharpe,-0.12071458722455997
etfs_todos,covid_2020,hrp,-0.11233817038343119
etfs_todos,inflacao_2022,equal_weight,-0.1720500418978217
etfs_todos,inflacao_2022,markowitz_puro__min_vol,-0.11299398004372074
etfs_todos,inflacao_2022,markowitz_puro__max_sharpe,-0.16713589837992004
etfs_todos,inflacao_2022,markowitz_restrito__min_vol,-0.15286373235923367
etfs_todos,inflacao_2022,markowitz_restrito__max_sharpe,-0.15001143777905523
etfs_todos,inflacao_2022,hrp,-0.1492804446178484
etfs_com_tudo,stress_2015_2016,equal_weight,0.09293569193437623
etfs_com_tudo,stress_2015_2016,markowitz_puro__min_vol,0.0506719021330726
etfs_com_tudo,stress_2015_2016,markowitz_puro__max_sharpe,0.15415851290720095
etfs_com_tudo,stress_2015_2016,markowitz_restrito__min_vol,0.02701133228135344
etfs_com_tudo,stress_2015_2016,markowitz_restrito__max_sharpe,0.1437360212814378
etfs_com_tudo,stress_2015_2016,hrp,0.09907127399621518
etfs_com_tudo,covid_2020,equal_weight,-0.10533960357346461
etfs_com_tudo,covid_2020,markowitz_puro__min_vol,-0.08159816678604903
etfs_com_tudo,covid_2020,markowitz_puro__max_sharpe,-0.07225637339613955
etfs_com_tudo,covid_2020,markowitz_restrito__min_vol,-0.12645146084231895
etfs_com_tudo,covid_2020,markowitz_restrito__max_sharpe,-0.11983151789531521
etfs_com_tudo,covid_2020,hrp,-0.08160894656342066
etfs_com_tudo,inflacao_2022,equal_weight,-0.17415914033972557
etfs_com_tudo,inflacao_2022,markowitz_puro__min_vol,-0.04288926389050218
etfs_com_tudo,inflacao_2022,markowitz_puro__max_sharpe,-0.10088301378153641
etfs_com_tudo,inflacao_2022,markowitz_restrito__min_vol,-0.1230419301295117
etfs_com_tudo,inflacao_2022,markowitz_restrito__max_sharpe,-0.1898635157290488
etfs_com_tudo,inflacao_2022,hrp,-0.12110674559845092
