familia_estrategia,cenario_alternativos,qtd_estrategias,retorno_total_medio,cagr_medio,vol_anual_media,sharpe_medio,sortino_medio,max_drawdown_medio,calmar_medio,score_medio
equal_weight,com_alternativos,7,4.345174582130345,0.1611334179987578,0.1449914571916142,1.196271654527568,2.07309398956373,-0.23464068656593381,0.6860252978271015,208.28571428571428
equal_weight,sem_alternativos,10,3.3594918141208807,0.13834541692033442,0.175561680473966,0.9194999904589306,1.5260696241901495,-0.29870014161807334,0.4904287368882462,353.1
hrp,com_alternativos,7,3.7665445622586793,0.1498347408108583,0.13454876386204245,1.2040993877669308,2.0412605806715596,-0.19319172738557885,0.7790822602499442,170.0
hrp,sem_alternativos,10,3.1475653602120977,0.13332997103274152,0.17291179661058723,0.9048731949940356,1.477860535962527,-0.29157906159363217,0.4824316752790028,358.6
markowitz_puro__max_sharpe,com_alternativos,7,9.6259863821483,0.2315243238968619,0.1275861819271628,1.8029020133837577,3.6640551279499394,-0.18546622379113017,1.3256965955848725,69.28571428571429
markowitz_puro__max_sharpe,sem_alternativos,10,5.072496749036416,0.16804050317918748,0.18093113655256013,1.0418583954333716,1.8006418977220275,-0.28869321719993213,0.6060649242234672,307.2
markowitz_puro__min_vol,com_alternativos,7,3.982335250382857,0.15407984285112472,0.1068039659780504,1.5053574143014181,2.5420738618699317,-0.13267515774411434,1.2659909292340699,87.14285714285714
markowitz_puro__min_vol,sem_alternativos,10,3.082463835059202,0.13231133371520004,0.1663359533785444,0.9331981087069782,1.523776476057308,-0.27220689576867124,0.5154335496795237,338.0
markowitz_restrito__max_sharpe,com_alternativos,7,7.638262704978103,0.2084833584063894,0.14372402090278297,1.474716358451251,2.8241889909393287,-0.23018539471122038,0.9049695357217846,129.42857142857142
markowitz_restrito__max_sharpe,sem_alternativos,10,3.6155995025502614,0.14336798363323566,0.17535576581703083,0.9507382706165413,1.6148185745576051,-0.29532549020293186,0.5224356685076397,336.0
markowitz_restrito__min_vol,com_alternativos,7,3.676317136108079,0.14787001433319355,0.1251844802720988,1.2623625178578108,2.065048448793548,-0.1946138887138009,0.7668962583091441,159.14285714285714
markowitz_restrito__min_vol,sem_alternativos,10,3.2777864128359204,0.1363096377329987,0.1735229452827521,0.9205224469057098,1.5163225869028962,-0.2945722216262284,0.49290489330114395,350.0
