metrica,vencedor_media,qtd_comparacoes,qtd_sig_wilcoxon,qtd_sig_permutation,media_diff_media
cagr,markowitz_puro__max_sharpe,5,5,5,0.00637523039873601
cagr,markowitz_restrito__max_sharpe,4,4,4,-0.012640158429948494
cagr,equal_weight,3,2,2,0.006935792738385589
cagr,markowitz_puro__min_vol,2,0,0,0.0006231065443619288
cagr,markowitz_restrito__min_vol,1,0,0,0.0009769401276684946
calmar,markowitz_puro__max_sharpe,5,5,4,0.08118119225178975
calmar,markowitz_puro__min_vol,4,3,3,0.0821322869200565
calmar,markowitz_restrito__max_sharpe,3,3,3,-0.03586809650409777
calmar,markowitz_restrito__min_vol,2,0,1,-0.01672658837501878
calmar,hrp,1,0,0,-0.03345317675003756
max_drawdown,markowitz_puro__min_vol,5,5,5,0.0205818905941205
max_drawdown,hrp,3,2,2,-0.01369645816467601
max_drawdown,markowitz_restrito__min_vol,2,2,2,-0.001867118484713764
max_drawdown,markowitz_puro__max_sharpe,4,0,1,0.0019425478157764568
max_drawdown,markowitz_restrito__max_sharpe,1,0,0,-0.003734236969427527
retorno_total,markowitz_puro__max_sharpe,5,5,5,0.4120346404878739
retorno_total,markowitz_restrito__max_sharpe,4,4,4,-0.8245680320176021
retorno_total,equal_weight,3,2,2,0.33438011020189023
retorno_total,markowitz_puro__min_vol,2,0,0,0.0285980456494691
retorno_total,markowitz_restrito__min_vol,1,0,0,0.04088645274884435
sharpe,markowitz_puro__max_sharpe,5,5,5,0.06025715589292698
sharpe,markowitz_puro__min_vol,4,3,3,0.02850829146219351
sharpe,markowitz_restrito__max_sharpe,3,3,3,-0.03332764851421259
sharpe,markowitz_restrito__min_vol,2,1,2,0.002775858112113746
sharpe,equal_weight,1,0,0,0.005551716224227493
sortino,markowitz_puro__max_sharpe,5,5,5,0.1406590683310858
sortino,markowitz_restrito__max_sharpe,4,3,3,-0.12504778406984535
sortino,markowitz_puro__min_vol,3,2,2,0.08105728946831965
sortino,equal_weight,2,0,0,0.025235181427700107
sortino,markowitz_restrito__min_vol,1,0,0,0.0323126605993866
vol_anual,markowitz_puro__min_vol,5,5,5,-0.008727718415629823
vol_anual,hrp,3,2,2,0.004327905831066916
vol_anual,markowitz_restrito__min_vol,4,2,2,0.0006410335278464353
vol_anual,markowitz_puro__max_sharpe,2,0,0,0.00032497307666932073
vol_anual,markowitz_restrito__max_sharpe,1,0,0,0.0006499461533386417
